<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2010.12.20;7.31;7.36;7.17;7.27;1990;3213917;1
2010.12.21;7.27;7.56;7.27;7.50;3292;7330636;1
2010.12.22;7.53;7.56;7.30;7.43;2266;5143270;1
2010.12.23;7.37;7.52;7.35;7.46;1442;3001493;1
2010.12.27;7.43;7.51;7.31;7.45;1673;3114719;1
2010.12.28;7.44;7.49;7.31;7.35;3062;5303589;1
2010.12.29;7.36;7.53;7.33;7.39;2485;4788563;1
2010.12.30;7.46;7.62;7.40;7.46;3802;8732443;1
2011.01.03;7.60;7.64;7.51;7.56;4119;5675835;1
2011.01.04;7.61;7.66;7.48;7.55;4519;8338152;1
2011.01.05;7.52;7.60;7.42;7.44;4044;7468914;1
2011.01.06;7.44;7.50;7.34;7.43;5241;11101173;1
2011.01.07;7.43;7.51;7.32;7.35;2605;4756499;1
2011.01.10;7.35;7.43;7.33;7.38;3598;6539561;1
2011.01.11;7.42;7.45;7.33;7.36;3466;6010000;1
2011.01.12;7.27;7.30;7.12;7.16;7702;15583619;1
2011.01.13;7.18;7.19;7.04;7.05;4536;8566104;1
2011.01.14;7.07;7.15;6.88;6.92;6044;9535035;1
2011.01.17;6.93;7.08;6.89;7.04;2895;4863208;1
2011.01.18;7.05;7.07;6.76;6.81;8590;15912771;1
2011.01.19;6.82;6.83;6.68;6.78;5130;9535037;1
2011.01.20;6.76;6.89;6.70;6.74;5242;11819599;1
2011.01.21;6.77;6.82;6.57;6.59;6176;10421305;1
2011.01.24;6.62;6.77;6.59;6.77;3810;6204387;1
2011.01.26;6.78;6.92;6.78;6.91;4837;8976422;1
2011.01.27;6.92;6.97;6.85;6.90;4580;10652771;1
2011.01.28;6.86;6.91;6.52;6.70;5751;9654275;1
2011.01.31;6.72;6.77;6.59;6.61;4831;8231437;1
2011.02.01;6.60;6.64;6.47;6.56;4621;11521506;1
2011.02.02;6.59;6.69;6.50;6.61;5389;7509994;1
2011.02.03;6.61;6.63;6.45;6.54;3164;6048579;1
2011.02.04;6.50;6.57;6.40;6.43;3891;5971420;1
2011.02.07;6.45;6.52;6.40;6.47;3150;4884756;1
2011.02.08;6.45;6.57;6.45;6.51;4236;9083137;1
2011.02.09;6.52;6.59;6.29;6.35;4395;7228936;1
2011.02.10;6.35;6.38;6.23;6.25;5494;11361686;1
2011.02.11;6.26;6.51;6.22;6.47;6670;10585634;1
2011.02.14;6.53;6.59;6.40;6.47;4060;7812094;1
2011.02.15;6.47;6.62;6.44;6.57;2456;4940863;1
2011.02.16;6.56;6.75;6.53;6.70;4391;7457888;1
