<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2010.12.20;08:00:00;7.31;7.36;7.24;7.34;309;430860;1
2010.12.20;12:00:00;7.35;7.35;7.17;7.33;1238;1533561;1
2010.12.20;16:00:00;7.33;7.34;7.26;7.27;443;1249496;1
2010.12.21;08:00:00;7.27;7.35;7.27;7.33;211;206412;1
2010.12.21;12:00:00;7.33;7.50;7.31;7.48;1809;3963914;1
2010.12.21;16:00:00;7.48;7.56;7.46;7.50;1272;3160310;1
2010.12.22;08:00:00;7.53;7.56;7.45;7.50;281;424347;1
2010.12.22;12:00:00;7.51;7.51;7.30;7.42;1366;2934859;1
2010.12.22;16:00:00;7.42;7.45;7.38;7.43;619;1784064;1
2010.12.23;08:00:00;7.37;7.43;7.35;7.38;137;212925;1
2010.12.23;12:00:00;7.38;7.52;7.36;7.47;762;1788571;1
2010.12.23;16:00:00;7.47;7.47;7.43;7.46;543;999997;1
2010.12.27;08:00:00;7.43;7.46;7.39;7.42;113;145290;1
2010.12.27;12:00:00;7.41;7.51;7.31;7.45;1019;1644283;1
2010.12.27;16:00:00;7.45;7.50;7.45;7.45;541;1325146;1
2010.12.28;08:00:00;7.44;7.49;7.38;7.40;353;764526;1
2010.12.28;12:00:00;7.40;7.44;7.31;7.32;2276;3605699;1
2010.12.28;16:00:00;7.32;7.39;7.31;7.35;433;933364;1
2010.12.29;08:00:00;7.36;7.41;7.36;7.37;144;224949;1
2010.12.29;12:00:00;7.37;7.53;7.33;7.52;1664;2938870;1
2010.12.29;16:00:00;7.52;7.53;7.39;7.39;677;1624744;1
2010.12.30;08:00:00;7.46;7.50;7.40;7.43;218;233967;1
2010.12.30;12:00:00;7.45;7.62;7.41;7.54;2267;3231450;1
2010.12.30;16:00:00;7.54;7.57;7.46;7.46;1317;5267026;1
2011.01.03;08:00:00;7.60;7.61;7.52;7.52;516;725950;1
2011.01.03;12:00:00;7.53;7.62;7.51;7.62;2529;2274540;1
2011.01.03;16:00:00;7.62;7.64;7.55;7.56;1074;2675345;1
2011.01.04;08:00:00;7.61;7.66;7.57;7.57;374;727453;1
2011.01.04;12:00:00;7.57;7.65;7.48;7.50;3096;3720426;1
2011.01.04;16:00:00;7.50;7.55;7.50;7.55;1049;3890273;1
2011.01.05;08:00:00;7.52;7.60;7.52;7.55;359;891782;1
2011.01.05;12:00:00;7.55;7.56;7.48;7.49;1943;2758506;1
2011.01.05;16:00:00;7.50;7.50;7.42;7.44;1742;3818626;1
2011.01.06;08:00:00;7.44;7.47;7.35;7.37;536;1130759;1
2011.01.06;12:00:00;7.36;7.50;7.34;7.45;3471;4886756;1
2011.01.06;16:00:00;7.45;7.46;7.41;7.43;1234;5083658;1
2011.01.07;08:00:00;7.43;7.47;7.43;7.46;200;220440;1
2011.01.07;12:00:00;7.46;7.51;7.35;7.36;1337;1974442;1
2011.01.07;16:00:00;7.36;7.37;7.32;7.35;1068;2561617;1
2011.01.10;08:00:00;7.35;7.43;7.34;7.38;355;340179;1
2011.01.10;12:00:00;7.38;7.38;7.33;7.36;2000;2467425;1
2011.01.10;16:00:00;7.36;7.38;7.34;7.38;1243;3731957;1
2011.01.11;08:00:00;7.42;7.43;7.36;7.38;364;566130;1
2011.01.11;12:00:00;7.38;7.40;7.33;7.40;1832;2867725;1
2011.01.11;16:00:00;7.40;7.45;7.36;7.36;1270;2576145;1
2011.01.12;08:00:00;7.27;7.30;7.17;7.22;1528;3463918;1
2011.01.12;12:00:00;7.21;7.22;7.12;7.13;4143;6495466;1
2011.01.12;16:00:00;7.13;7.16;7.12;7.16;2031;5624235;1
2011.01.13;08:00:00;7.18;7.19;7.14;7.14;451;677352;1
2011.01.13;12:00:00;7.14;7.14;7.06;7.09;2479;3931348;1
2011.01.13;16:00:00;7.09;7.14;7.04;7.05;1606;3957404;1
2011.01.14;08:00:00;7.07;7.15;7.06;7.14;299;605208;1
2011.01.14;12:00:00;7.14;7.14;6.91;6.91;3335;5182346;1
2011.01.14;16:00:00;6.91;6.92;6.88;6.92;2410;3747481;1
2011.01.17;08:00:00;6.93;6.98;6.89;6.98;310;497493;1
2011.01.17;12:00:00;6.98;7.08;6.98;7.08;1763;2840169;1
2011.01.17;16:00:00;7.08;7.08;7.03;7.04;822;1525546;1
2011.01.18;08:00:00;7.05;7.07;6.99;7.00;697;1195887;1
2011.01.18;12:00:00;7.00;7.01;6.76;6.82;5443;9610187;1
2011.01.18;16:00:00;6.82;6.83;6.77;6.81;2450;5106697;1
2011.01.19;08:00:00;6.82;6.83;6.79;6.81;550;941379;1
2011.01.19;12:00:00;6.80;6.81;6.68;6.76;3203;5160802;1
2011.01.19;16:00:00;6.76;6.79;6.74;6.78;1377;3432856;1
2011.01.20;08:00:00;6.76;6.89;6.76;6.87;833;1804101;1
2011.01.20;12:00:00;6.87;6.87;6.70;6.74;3105;6235450;1
2011.01.20;16:00:00;6.73;6.75;6.71;6.74;1304;3780048;1
2011.01.21;08:00:00;6.77;6.82;6.76;6.80;425;740979;1
2011.01.21;12:00:00;6.80;6.81;6.59;6.62;3949;5801079;1
2011.01.21;16:00:00;6.62;6.65;6.57;6.59;1802;3879247;1
2011.01.24;08:00:00;6.62;6.65;6.59;6.63;393;728955;1
2011.01.24;12:00:00;6.63;6.74;6.62;6.73;2115;3420328;1
2011.01.24;16:00:00;6.73;6.77;6.71;6.77;1302;2055104;1
2011.01.26;08:00:00;6.78;6.86;6.78;6.85;648;1709915;1
2011.01.26;12:00:00;6.85;6.91;6.84;6.85;2868;4695373;1
2011.01.26;16:00:00;6.86;6.92;6.84;6.91;1321;2571134;1
2011.01.27;08:00:00;6.92;6.94;6.85;6.90;658;1364223;1
2011.01.27;12:00:00;6.88;6.97;6.85;6.89;2516;5477938;1
2011.01.27;16:00:00;6.89;6.91;6.85;6.90;1406;3810610;1
2011.01.28;08:00:00;6.86;6.91;6.75;6.79;513;1239976;1
2011.01.28;12:00:00;6.77;6.84;6.52;6.66;3781;6202884;1
2011.01.28;16:00:00;6.66;6.71;6.61;6.70;1457;2211415;1
2011.01.31;08:00:00;6.72;6.77;6.61;6.63;250;375750;1
2011.01.31;12:00:00;6.63;6.69;6.62;6.64;2634;4259006;1
2011.01.31;16:00:00;6.64;6.66;6.59;6.61;1947;3596681;1
2011.02.01;08:00:00;6.60;6.64;6.58;6.59;463;861220;1
2011.02.01;12:00:00;6.58;6.62;6.47;6.50;2901;5984448;1
2011.02.01;16:00:00;6.50;6.58;6.50;6.56;1257;4675838;1
2011.02.02;08:00:00;6.59;6.59;6.50;6.53;311;443886;1
2011.02.02;12:00:00;6.53;6.69;6.53;6.63;3877;5119721;1
2011.02.02;16:00:00;6.64;6.64;6.60;6.61;1201;1946387;1
2011.02.03;08:00:00;6.61;6.63;6.58;6.59;233;234969;1
2011.02.03;12:00:00;6.59;6.61;6.45;6.49;2059;3261011;1
2011.02.03;16:00:00;6.49;6.55;6.49;6.54;872;2552599;1
2011.02.04;08:00:00;6.50;6.57;6.50;6.53;344;551100;1
2011.02.04;12:00:00;6.54;6.54;6.40;6.45;2535;3824634;1
2011.02.04;16:00:00;6.45;6.48;6.43;6.43;1012;1595686;1
2011.02.07;08:00:00;6.45;6.49;6.40;6.44;269;379257;1
2011.02.07;12:00:00;6.44;6.52;6.41;6.48;1854;2000995;1
