Date,Open,High,Low,Close,Ticks,Volume,Spread
2010.12.01,7.31,7.62,7.17,7.46,20012,40628630,1
2011.01.01,7.6,7.66,6.52,6.61,97716,179846104,1
2011.02.01,6.6,6.87,6.22,6.53,80998,146119243,1
2011.03.01,6.57,6.99,6.52,6.8,86070,154185847,1
2011.04.01,6.81,7.55,6.71,7.5,71499,132455962,1
2011.05.01,7.46,7.89,7.27,7.3,76107,147278312,1
2011.06.01,7.28,7.78,7.16,7.69,69675,121126049,1
2011.07.01,7.75,7.98,6.88,6.92,83770,152003804,1
2011.08.01,6.98,8.45,6.65,8.36,148839,244137019,1
2011.09.01,8.44,8.8,7.95,8.57,125216,186700817,1
2011.10.01,8.53,9.12,8.4,8.79,119958,164797428,1
2011.11.01,8.73,9.42,8.66,9.25,87727,127495598,1
2011.12.01,9.33,10.36,9.3,10.31,97403,128851675,1
2012.01.01,10.34,10.42,9.53,9.81,101247,147846077,1
2012.02.01,9.85,10.65,9.65,10.59,98723,129026329,1
2012.03.01,10.65,12.6,10.52,11.72,124024,153071959,1
2012.04.01,11.74,12.99,11.35,12.46,106373,125195285,1
2012.05.01,12.34,12.59,11.53,11.97,136201,180679901,1
2012.06.01,11.8,12.38,11.19,12.07,162326,193603782,1
2012.07.01,12.07,12.64,11.44,12.27,121728,119260319,1
2012.08.01,12.28,12.62,11.54,12.0,122638,134242731,1
2012.09.01,12.02,12.25,11.64,12.13,117942,149202274,1
2012.10.01,12.43,13.46,12.32,13.06,106139,151213862,1
2012.11.01,13.2,13.94,12.63,13.92,100298,116841826,1
2012.12.01,14.08,14.16,13.3,13.63,107207,135024425,1
2013.01.01,13.84,14.93,13.57,14.93,105648,133700284,1
2013.02.01,14.91,15.01,13.63,14.1,97078,127234230,1
2013.03.01,14.05,14.66,13.3,13.54,122100,150557739,1
2013.04.01,13.63,13.65,12.28,13.3,149922,211761958,1
2013.05.01,13.25,14.21,12.93,13.16,154148,199403536,1
2013.06.01,13.1,13.55,12.09,13.41,163948,266385100,1
2013.07.01,13.41,13.85,12.79,13.81,124386,144286500,1
2013.08.01,13.84,14.26,12.81,13.36,202836,243994227,1
2013.09.01,13.43,14.25,12.88,13.83,165235,194940825,1
2013.10.01,13.92,14.14,13.29,13.52,148486,172042209,1
2013.11.01,13.59,14.4,13.23,14.21,289692,202123576,1
2013.12.01,14.08,14.34,13.12,14.01,305112,157373534,1
2014.01.01,14.0,14.22,12.73,13.22,414251,225544290,1
2014.02.01,13.08,13.99,12.44,13.87,393725,174229750,1
2014.03.01,13.79,14.09,13.36,13.92,473012,185867179,1
2014.04.01,13.89,14.76,13.4,13.5,506538,230836044,1
2014.05.01,13.41,14.1,13.13,13.13,504362,226090800,1
2014.06.01,13.19,13.66,12.78,13.05,371088,191854200,1
2014.07.01,13.07,13.98,12.83,13.09,463293,241445100,1
2014.08.01,13.11,14.03,12.54,13.62,484431,258626100,1
2014.09.01,13.72,13.84,12.93,13.4,603652,261111100,1
2014.10.01,13.24,14.15,12.49,13.9,720437,406133300,1
2014.11.01,13.73,14.79,13.31,14.28,424589,222443300,1
2014.12.01,14.05,14.21,12.71,13.86,464024,225132400,1
2015.01.01,13.78,15.34,13.27,15.13,446998,253204700,1
2015.02.01,15.04,16.21,14.73,15.74,347167,184944400,1
2015.03.01,15.79,16.36,15.09,15.91,465163,233903500,1
2015.04.01,16.08,16.98,15.88,16.33,470243,214289100,1
2015.05.01,16.41,17.49,15.65,15.87,407732,196991100,1
2015.06.01,15.95,16.59,15.6,16.47,411454,224170700,1
2015.07.01,16.43,17.15,15.86,16.78,464623,222606400,1
2015.08.01,16.68,17.3,14.62,16.46,549410,271565000,1
2015.09.01,16.08,17.4,16.05,16.87,569017,312094700,1
2015.10.01,16.87,17.78,15.87,16.59,511019,286223600,1
2015.11.01,16.6,17.2,15.81,16.2,419234,224535600,1
2015.12.01,16.23,16.58,15.34,15.62,438236,224960600,1
2016.01.01,15.52,16.33,13.99,16.33,583194,261121600,1
2016.02.01,16.13,16.58,15.39,15.54,458043,231493200,1
2016.03.01,15.66,17.24,15.56,16.58,844799,420225100,1
2016.04.01,16.32,17.2,15.99,17.08,537360,262520100,1
2016.05.01,17.04,17.36,16.12,16.83,520282,269301900,1
2016.06.01,16.73,17.26,15.92,16.78,476648,281397000,1
2016.07.01,16.81,17.31,16.59,16.67,424909,240029300,1
2016.08.01,16.75,17.81,16.37,17.02,489782,273480600,1
2016.09.01,16.89,17.73,16.84,17.57,485924,240754500,1
2016.10.01,17.48,17.61,16.6,16.7,465251,268313100,1
2016.11.01,16.8,16.85,15.23,15.34,616478,293148800,1
2016.12.01,15.2,15.26,14.29,14.84,521065,277888700,1
2017.01.01,14.79,15.87,14.63,15.63,401207,215265900,1
2017.02.01,15.69,16.89,15.25,16.21,373687,187548900,1
2017.03.01,16.34,16.69,15.22,16.57,468012,265268000,1
2017.04.01,16.54,16.72,15.81,16.59,365000,232210700,1
2017.05.01,16.69,18.1,16.4,17.0,659328,342857600,1
2017.06.01,17.01,17.45,16.04,16.78,524753,341194300,1
2017.07.01,16.83,17.79,16.24,17.55,346299,205750300,1
2017.08.01,17.56,18.33,17.5,18.2,476346,237231800,1
2017.09.01,18.27,19.89,17.97,19.29,475720,298211200,1
2017.10.01,19.18,20.81,18.77,19.16,517785,312545700,1
2017.11.01,19.25,19.45,18.2,18.85,498709,269236800,1
2017.12.01,18.74,19.93,18.61,19.75,422807,261877200,1
2018.01.01,19.8,20.66,19.65,20.38,498579,219399300,1
2018.02.01,20.52,21.25,19.65,20.49,476075,339109200,1
2018.03.01,21.12,22.67,20.51,22.42,491857,271025500,1
2018.04.01,22.42,22.87,21.21,21.73,500776,267467200,1
2018.05.01,21.58,21.75,18.06,18.34,680582,472518400,1
2018.06.01,18.25,18.92,16.71,16.89,645879,360700500,1
2018.07.01,16.84,19.07,16.72,18.23,494692,292107600,1
2018.08.01,18.27,18.51,17.44,17.71,583482,333244600,1
2018.09.01,17.75,18.02,16.8,17.23,445715,257705600,1
2018.10.01,17.24,17.7,13.73,15.43,852691,510743600,1
2018.11.01,15.46,15.98,14.72,15.98,513840,348968200,1
2018.12.01,16.05,16.06,14.33,14.78,467447,330127400,1
2019.01.01,14.8,17.49,14.8,16.82,829921,540091700,1
2019.02.01,16.85,18.3,16.5,16.55,733441,467387500,1
2019.03.01,16.47,16.76,15.6,16.1,681114,468575100,1
2019.04.01,16.14,17.74,16.0,17.67,585283,399303500,1
2019.05.01,17.47,17.73,15.64,16.79,734044,519097600,1
2019.06.01,16.84,17.78,16.48,17.12,489033,324190800,1
2019.07.01,17.32,19.87,16.93,19.26,713248,515451000,1
