Date,Open,High,Low,Close,Ticks,Volume,Spread
2010.12.19,7.31,7.56,7.17,7.46,8990,18689316,1
2010.12.26,7.43,7.62,7.31,7.46,11022,21939314,1
2011.01.02,7.6,7.66,7.32,7.35,20528,37340573,1
2011.01.09,7.35,7.45,6.88,6.92,25346,46234319,1
2011.01.16,6.93,7.08,6.57,6.59,28033,52551920,1
2011.01.23,6.62,6.97,6.52,6.7,18978,35487855,1
2011.01.30,6.72,6.77,6.4,6.43,21896,39282936,1
2011.02.06,6.45,6.59,6.22,6.47,23945,43144149,1
2011.02.13,6.53,6.87,6.4,6.82,18340,31758902,1
2011.02.20,6.79,6.84,6.37,6.44,18489,32134154,1
2011.02.27,6.4,6.99,6.4,6.71,26840,55227281,1
2011.03.06,6.7,6.83,6.58,6.83,10325,15651248,1
2011.03.13,6.78,6.83,6.52,6.66,21493,36012397,1
2011.03.20,6.68,6.81,6.64,6.69,14842,24463839,1
2011.03.27,6.67,7.01,6.56,7.01,19732,37463300,1
2011.04.03,7.01,7.04,6.76,6.86,16020,26349110,1
2011.04.10,6.86,6.99,6.71,6.96,17621,30958813,1
2011.04.17,6.94,7.29,6.86,7.2,12515,23812544,1
2011.04.24,7.2,7.55,7.19,7.5,21340,44733816,1
2011.05.01,7.46,7.81,7.36,7.77,22794,51203972,1
2011.05.08,7.77,7.89,7.45,7.45,16559,36877036,1
2011.05.15,7.46,7.56,7.36,7.38,18135,25900073,1
2011.05.22,7.34,7.47,7.28,7.37,13883,24308668,1
2011.05.29,7.38,7.43,7.16,7.38,15442,27415815,1
2011.06.05,7.38,7.6,7.28,7.41,19071,33722269,1
2011.06.12,7.49,7.49,7.26,7.29,14137,24988197,1
2011.06.19,7.27,7.65,7.27,7.5,13041,20829423,1
2011.06.26,7.51,7.85,7.47,7.84,16261,28747828,1
2011.07.03,7.84,7.98,7.63,7.64,18247,33041296,1
2011.07.10,7.61,7.64,7.28,7.28,19063,38340675,1
2011.07.17,7.27,7.58,7.22,7.36,17239,27498936,1
2011.07.24,7.3,7.36,6.88,6.92,25680,47533977,1
2011.07.31,6.98,7.1,6.71,6.99,27487,51732269,1
2011.08.07,6.92,7.54,6.65,7.45,44155,65790312,1
2011.08.14,7.51,8.0,7.46,7.85,31566,58755813,1
2011.08.21,7.93,8.1,7.75,7.86,28869,42600605,1
2011.08.28,7.98,8.66,7.9,8.31,34749,54972143,1
2011.09.04,8.11,8.35,8.05,8.1,20613,32958586,1
2011.09.11,8.08,8.43,7.95,8.37,25703,34204497,1
2011.09.18,8.32,8.8,8.26,8.43,34894,49372747,1
2011.09.25,8.52,8.6,8.3,8.57,26019,40450864,1
2011.10.02,8.53,8.86,8.4,8.57,35973,45919028,1
2011.10.09,8.67,8.73,8.55,8.67,21267,29861463,1
2011.10.16,8.63,9.12,8.63,9.0,26249,36902534,1
2011.10.23,9.05,9.09,8.71,8.77,31156,45023730,1
2011.10.30,8.75,8.93,8.66,8.86,22244,29372216,1
2011.11.06,8.87,8.97,8.66,8.9,21259,36658188,1
2011.11.13,8.89,9.09,8.8,8.83,15239,22709754,1
2011.11.20,8.81,9.03,8.7,8.96,16249,20927130,1
2011.11.27,9.0,9.76,8.92,9.47,29040,38777366,1
2011.12.04,9.53,9.9,9.37,9.83,24006,30654193,1
2011.12.11,9.92,10.23,9.78,10.11,26673,36438866,1
2011.12.18,10.17,10.36,10.07,10.2,24390,31821429,1
2011.12.25,10.22,10.31,10.12,10.31,11343,16078804,1
2012.01.01,10.34,10.42,9.72,9.8,24587,37765844,1
2012.01.08,9.88,9.95,9.62,9.81,22614,35654654,1
2012.01.15,9.81,10.11,9.8,9.95,22360,30903046,1
2012.01.22,9.91,10.0,9.73,9.76,21607,28262055,1
2012.01.29,9.72,10.1,9.53,10.01,27937,38430841,1
2012.02.05,10.01,10.05,9.65,9.82,19454,25337233,1
2012.02.12,9.83,10.26,9.79,10.26,21581,28772895,1
2012.02.19,10.04,10.42,9.96,10.42,21974,28961531,1
2012.02.26,10.4,10.74,10.3,10.74,27579,33142933,1
2012.03.04,10.66,11.43,10.63,11.43,24156,30663187,1
2012.03.11,11.39,11.81,11.28,11.37,27646,31131402,1
2012.03.18,11.39,12.02,11.36,11.99,26472,30894040,1
2012.03.25,11.98,12.6,11.54,11.72,36027,50024704,1
2012.04.01,11.74,12.09,11.47,11.58,22568,26332147,1
2012.04.08,11.5,12.25,11.35,12.23,22512,26422327,1
2012.04.15,12.37,12.99,11.97,12.84,29873,37782361,1
2012.04.22,12.75,12.83,12.45,12.69,24097,25721797,1
2012.04.29,12.73,12.73,12.14,12.23,27310,36747375,1
2012.05.06,12.16,12.5,11.88,11.95,24807,36922003,1
2012.05.13,11.9,12.19,11.78,11.91,31741,43535298,1
2012.05.20,11.96,12.11,11.53,11.69,35970,42789211,1
2012.05.27,11.72,11.97,11.36,11.4,32706,40312705,1
2012.06.03,11.34,11.73,11.19,11.56,33462,41132386,1
2012.06.10,11.64,11.81,11.39,11.71,48663,60563931,1
2012.06.17,11.64,12.38,11.6,11.8,38087,45373272,1
2012.06.24,11.59,12.21,11.59,12.07,33104,35844155,1
2012.07.01,12.07,12.33,11.8,12.05,23572,24219342,1
2012.07.08,11.95,12.07,11.6,11.71,20493,18508287,1
2012.07.15,11.71,11.96,11.44,11.74,29387,27422927,1
2012.07.22,11.63,12.53,11.48,12.46,34084,32566545,1
2012.07.29,12.46,12.64,12.05,12.14,32798,34192810,1
