Date,Open,High,Low,Close,Ticks,Volume,Spread
2011.03.10,3.66,3.66,3.57,3.57,7430,17230234,1
2011.03.11,3.58,3.65,3.55,3.65,11158,16196462,1
2011.03.14,3.63,3.68,3.61,3.67,5478,7928734,1
2011.03.15,3.58,3.73,3.56,3.72,10968,16181107,1
2011.03.16,3.72,3.75,3.59,3.64,7578,12209142,1
2011.03.17,3.68,3.7,3.61,3.65,10392,12897209,1
2011.03.18,3.65,3.73,3.65,3.71,5896,9653577,1
2011.03.21,3.74,3.75,3.71,3.72,6335,9603780,1
2011.03.22,3.72,3.85,3.72,3.83,10292,12716924,1
2011.03.23,3.8,3.83,3.78,3.8,4330,8497800,1
2011.03.24,3.8,3.86,3.79,3.81,6149,9539171,1
2011.03.25,3.83,3.83,3.79,3.82,3652,6270458,1
2011.03.28,3.82,3.86,3.81,3.81,3025,4080380,1
2011.03.29,3.83,3.83,3.77,3.8,6547,8048622,1
2011.03.30,3.83,3.93,3.81,3.93,5822,11844898,1
2011.03.31,3.93,4.06,3.92,4.06,10885,21796322,1
2011.04.01,4.06,4.13,4.05,4.08,13483,15649820,1
2011.04.04,4.09,4.1,4.02,4.05,7334,10298028,1
2011.04.05,4.04,4.07,4.01,4.04,8464,9117528,1
2011.04.06,4.05,4.06,3.99,4.01,4971,7639891,1
2011.04.07,4.01,4.04,3.97,4.01,6994,9757041,1
2011.04.08,4.01,4.03,3.92,3.94,8477,10712769,1
2011.04.11,3.93,3.96,3.89,3.93,5773,10138601,1
2011.04.12,3.9,3.91,3.85,3.9,6027,9450177,1
2011.04.13,3.95,3.95,3.88,3.92,9478,11416727,1
2011.04.14,3.88,3.93,3.81,3.84,6992,9733378,1
2011.04.15,3.85,3.88,3.82,3.86,4917,6214153,1
2011.04.18,3.84,3.85,3.76,3.83,7120,10754265,1
2011.04.19,3.86,3.89,3.85,3.88,9066,8001124,1
2011.04.20,3.92,3.96,3.89,3.96,5603,6484638,1
2011.04.25,3.95,3.95,3.9,3.93,4498,4371701,1
2011.04.26,3.94,3.99,3.93,3.97,5177,5453142,1
2011.04.27,3.96,3.99,3.88,3.9,7008,9677583,1
2011.04.28,3.88,3.9,3.77,3.81,7017,11739309,1
2011.04.29,3.79,3.85,3.78,3.85,5279,7230966,1
2011.05.02,3.86,3.9,3.77,3.8,6274,10146705,1
