<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2011.03.10;11:00:00;3.66;3.66;3.57;3.60;1704;2627782;1
2011.03.10;12:00:00;3.60;3.63;3.59;3.62;949;1248298;1
2011.03.10;13:00:00;3.62;3.63;3.60;3.62;766;1134770;1
2011.03.10;14:00:00;3.62;3.62;3.60;3.62;812;1472185;1
2011.03.10;15:00:00;3.61;3.62;3.59;3.59;696;2114166;1
2011.03.10;16:00:00;3.59;3.60;3.58;3.59;750;4035518;1
2011.03.10;17:00:00;3.59;3.59;3.57;3.57;1753;4597515;1
2011.03.11;11:00:00;3.58;3.63;3.55;3.60;1583;3774737;1
2011.03.11;12:00:00;3.60;3.63;3.60;3.60;1744;2527674;1
2011.03.11;13:00:00;3.60;3.62;3.59;3.62;1304;2424740;1
2011.03.11;14:00:00;3.62;3.63;3.59;3.61;2187;2842308;1
2011.03.11;15:00:00;3.61;3.62;3.60;3.60;1352;1148893;1
2011.03.11;16:00:00;3.60;3.63;3.60;3.62;1542;1407383;1
2011.03.11;17:00:00;3.62;3.65;3.62;3.65;1446;2070727;1
2011.03.14;10:00:00;3.63;3.66;3.61;3.65;565;774760;1
2011.03.14;11:00:00;3.65;3.68;3.63;3.65;1200;1538039;1
2011.03.14;12:00:00;3.65;3.66;3.65;3.65;1064;1208571;1
2011.03.14;13:00:00;3.65;3.65;3.64;3.65;580;685950;1
2011.03.14;14:00:00;3.65;3.66;3.65;3.65;443;557412;1
2011.03.14;15:00:00;3.64;3.66;3.64;3.66;692;1191088;1
2011.03.14;16:00:00;3.66;3.68;3.65;3.67;934;1972914;1
2011.03.15;10:00:00;3.58;3.64;3.56;3.63;1140;2010876;1
2011.03.15;11:00:00;3.63;3.68;3.63;3.66;1575;2042479;1
2011.03.15;12:00:00;3.67;3.68;3.65;3.68;1586;2080441;1
2011.03.15;13:00:00;3.68;3.69;3.67;3.67;1389;2292846;1
2011.03.15;14:00:00;3.67;3.69;3.67;3.68;1147;1289617;1
2011.03.15;15:00:00;3.68;3.72;3.68;3.71;1668;3204085;1
2011.03.15;16:00:00;3.71;3.73;3.70;3.72;2463;3260763;1
2011.03.16;10:00:00;3.72;3.75;3.68;3.69;942;1528856;1
2011.03.16;11:00:00;3.69;3.72;3.67;3.69;1005;1536276;1
2011.03.16;12:00:00;3.69;3.69;3.66;3.66;981;1334109;1
2011.03.16;13:00:00;3.66;3.67;3.62;3.63;893;1043488;1
2011.03.16;14:00:00;3.63;3.64;3.61;3.62;779;1333400;1
2011.03.16;15:00:00;3.62;3.65;3.59;3.63;1611;1861503;1
2011.03.16;16:00:00;3.63;3.67;3.63;3.64;1367;3571510;1
2011.03.17;10:00:00;3.68;3.70;3.65;3.66;767;894291;1
2011.03.17;11:00:00;3.66;3.68;3.66;3.66;1091;857214;1
2011.03.17;12:00:00;3.66;3.67;3.62;3.64;1752;2404785;1
2011.03.17;13:00:00;3.64;3.64;3.61;3.63;1191;1335348;1
2011.03.17;14:00:00;3.63;3.64;3.62;3.62;1574;1278842;1
2011.03.17;15:00:00;3.62;3.64;3.61;3.63;1759;1648036;1
2011.03.17;16:00:00;3.63;3.65;3.62;3.65;2258;4478693;1
2011.03.18;10:00:00;3.65;3.70;3.65;3.69;631;752334;1
2011.03.18;11:00:00;3.70;3.70;3.68;3.70;954;1063439;1
2011.03.18;12:00:00;3.70;3.72;3.70;3.71;904;1250595;1
2011.03.18;13:00:00;3.71;3.72;3.70;3.71;680;701663;1
2011.03.18;14:00:00;3.71;3.73;3.71;3.71;679;1392728;1
2011.03.18;15:00:00;3.71;3.71;3.70;3.70;823;1401557;1
2011.03.18;16:00:00;3.71;3.71;3.70;3.71;1225;3091261;1
2011.03.21;10:00:00;3.74;3.75;3.71;3.73;1005;836026;1
2011.03.21;11:00:00;3.73;3.74;3.72;3.73;1126;899941;1
2011.03.21;12:00:00;3.73;3.74;3.72;3.73;722;1055141;1
2011.03.21;13:00:00;3.74;3.74;3.72;3.72;761;591839;1
2011.03.21;14:00:00;3.73;3.74;3.72;3.74;870;847149;1
2011.03.21;15:00:00;3.74;3.75;3.72;3.72;745;2174369;1
2011.03.21;16:00:00;3.73;3.75;3.72;3.72;1106;3199315;1
2011.03.22;10:00:00;3.72;3.76;3.72;3.75;1115;1277252;1
2011.03.22;11:00:00;3.75;3.79;3.75;3.77;1313;1655452;1
2011.03.22;12:00:00;3.77;3.80;3.77;3.80;1482;1804116;1
2011.03.22;13:00:00;3.80;3.82;3.79;3.81;1181;1153660;1
2011.03.22;14:00:00;3.81;3.83;3.81;3.82;1219;1557814;1
2011.03.22;15:00:00;3.82;3.84;3.81;3.83;1959;1354413;1
2011.03.22;16:00:00;3.83;3.85;3.82;3.83;2023;3914217;1
2011.03.23;10:00:00;3.80;3.83;3.80;3.83;495;544697;1
2011.03.23;11:00:00;3.83;3.83;3.81;3.81;582;727791;1
2011.03.23;12:00:00;3.81;3.82;3.79;3.80;754;1642035;1
2011.03.23;13:00:00;3.80;3.82;3.80;3.82;407;502674;1
2011.03.23;14:00:00;3.82;3.83;3.81;3.81;475;727794;1
2011.03.23;15:00:00;3.81;3.81;3.79;3.79;539;839206;1
2011.03.23;16:00:00;3.79;3.80;3.78;3.80;1078;3513603;1
2011.03.24;10:00:00;3.80;3.82;3.79;3.80;469;609851;1
2011.03.24;11:00:00;3.80;3.84;3.80;3.83;801;728326;1
2011.03.24;12:00:00;3.84;3.84;3.82;3.84;820;1975563;1
2011.03.24;13:00:00;3.84;3.86;3.84;3.84;860;857213;1
2011.03.24;14:00:00;3.84;3.85;3.84;3.84;791;811307;1
2011.03.24;15:00:00;3.85;3.85;3.83;3.84;924;1048432;1
2011.03.24;16:00:00;3.83;3.84;3.80;3.81;1484;3508479;1
2011.03.25;10:00:00;3.83;3.83;3.79;3.81;504;518211;1
2011.03.25;11:00:00;3.81;3.83;3.80;3.82;642;940725;1
2011.03.25;12:00:00;3.82;3.83;3.81;3.81;495;777232;1
2011.03.25;13:00:00;3.82;3.83;3.81;3.81;357;638628;1
2011.03.25;14:00:00;3.81;3.82;3.81;3.81;306;292040;1
2011.03.25;15:00:00;3.81;3.82;3.81;3.81;365;420045;1
2011.03.25;16:00:00;3.81;3.82;3.81;3.82;983;2683577;1
2011.03.28;10:00:00;3.82;3.84;3.81;3.83;537;645164;1
2011.03.28;11:00:00;3.83;3.85;3.83;3.85;295;350656;1
2011.03.28;12:00:00;3.85;3.86;3.84;3.84;377;523333;1
2011.03.28;13:00:00;3.84;3.85;3.84;3.85;387;255310;1
2011.03.28;14:00:00;3.85;3.85;3.82;3.82;349;478667;1
2011.03.28;15:00:00;3.82;3.82;3.81;3.82;312;446526;1
2011.03.28;16:00:00;3.82;3.83;3.81;3.81;768;1380724;1
2011.03.29;10:00:00;3.83;3.83;3.77;3.79;696;866044;1
2011.03.29;11:00:00;3.79;3.82;3.79;3.82;773;1087983;1
2011.03.29;12:00:00;3.82;3.83;3.81;3.81;871;975511;1
2011.03.29;13:00:00;3.81;3.82;3.80;3.81;811;903295;1
2011.03.29;14:00:00;3.81;3.82;3.80;3.81;1008;978688;1
2011.03.29;15:00:00;3.81;3.81;3.80;3.81;1179;1357943;1
2011.03.29;16:00:00;3.80;3.81;3.78;3.80;1209;1879158;1
2011.03.30;10:00:00;3.83;3.84;3.81;3.82;1186;2035241;1
2011.03.30;11:00:00;3.82;3.85;3.82;3.84;518;1290144;1
2011.03.30;12:00:00;3.84;3.86;3.84;3.86;671;854565;1
2011.03.30;13:00:00;3.86;3.89;3.86;3.89;692;1329696;1
2011.03.30;14:00:00;3.89;3.90;3.87;3.88;672;945141;1
2011.03.30;15:00:00;3.88;3.91;3.88;3.90;850;1146425;1
2011.03.30;16:00:00;3.90;3.93;3.89;3.93;1233;4243686;1
2011.03.31;10:00:00;3.93;4.01;3.92;3.98;3165;3986433;1
2011.03.31;11:00:00;3.98;4.01;3.98;4.01;1498;2342990;1
2011.03.31;12:00:00;4.01;4.01;4.00;4.01;893;1782401;1
2011.03.31;13:00:00;4.01;4.02;4.00;4.02;653;1042425;1
2011.03.31;14:00:00;4.02;4.03;4.01;4.03;1156;1602129;1
2011.03.31;15:00:00;4.03;4.04;4.02;4.04;1095;1265603;1
2011.03.31;16:00:00;4.04;4.06;4.02;4.06;2425;9774341;1
2011.04.01;10:00:00;4.06;4.13;4.05;4.09;1950;5281523;1
2011.04.01;11:00:00;4.09;4.11;4.09;4.09;1235;1111466;1
2011.04.01;12:00:00;4.09;4.11;4.09;4.09;1428;1228700;1
2011.04.01;13:00:00;4.09;4.11;4.09;4.10;1216;792413;1
2011.04.01;14:00:00;4.10;4.11;4.08;4.10;1662;1122584;1
2011.04.01;15:00:00;4.10;4.10;4.07;4.08;2945;1789819;1
2011.04.01;16:00:00;4.08;4.09;4.05;4.08;3047;4323315;1
2011.04.04;10:00:00;4.09;4.10;4.04;4.05;1244;1191621;1
2011.04.04;11:00:00;4.05;4.06;4.03;4.03;1311;2102861;1
