Date,Time,Open,High,Low,Close,Ticks,Volume,Spread
2011.03.10,11:00:00,3.66,3.66,3.61,3.62,293,568709,1
2011.03.10,11:15:00,3.62,3.62,3.59,3.59,513,689651,1
2011.03.10,11:30:00,3.59,3.6,3.57,3.59,467,836379,1
2011.03.10,11:45:00,3.59,3.6,3.58,3.6,431,533043,1
2011.03.10,12:00:00,3.6,3.6,3.59,3.59,335,433461,1
2011.03.10,12:15:00,3.6,3.63,3.6,3.6,225,289034,1
2011.03.10,12:30:00,3.6,3.62,3.6,3.61,191,296977,1
2011.03.10,12:45:00,3.61,3.62,3.61,3.62,198,228826,1
2011.03.10,13:00:00,3.62,3.62,3.6,3.61,247,331937,1
2011.03.10,13:15:00,3.61,3.62,3.61,3.61,163,167028,1
2011.03.10,13:30:00,3.61,3.63,3.61,3.63,215,422339,1
2011.03.10,13:45:00,3.63,3.63,3.62,3.62,141,213466,1
2011.03.10,14:00:00,3.62,3.62,3.61,3.61,169,319051,1
2011.03.10,14:15:00,3.61,3.61,3.6,3.61,185,263434,1
2011.03.10,14:30:00,3.61,3.61,3.6,3.61,235,262019,1
2011.03.10,14:45:00,3.61,3.62,3.61,3.62,223,627681,1
2011.03.10,15:00:00,3.61,3.62,3.61,3.62,101,284443,1
2011.03.10,15:15:00,3.62,3.62,3.62,3.62,146,338825,1
2011.03.10,15:30:00,3.62,3.62,3.6,3.6,197,429577,1
2011.03.10,15:45:00,3.6,3.6,3.59,3.59,252,1061321,1
2011.03.10,16:00:00,3.59,3.6,3.59,3.59,154,453942,1
2011.03.10,16:15:00,3.59,3.59,3.58,3.58,179,361601,1
2011.03.10,16:30:00,3.58,3.6,3.58,3.59,226,302452,1
2011.03.10,16:45:00,3.59,3.6,3.58,3.59,191,2917523,1
2011.03.10,17:00:00,3.59,3.59,3.57,3.58,261,506028,1
2011.03.10,17:15:00,3.58,3.58,3.57,3.58,456,461181,1
2011.03.10,17:30:00,3.57,3.57,3.57,3.57,683,655576,1
2011.03.10,17:45:00,3.57,3.58,3.57,3.57,353,2974730,1
2011.03.11,11:00:00,3.58,3.58,3.56,3.56,297,929074,1
2011.03.11,11:15:00,3.56,3.58,3.55,3.57,225,356128,1
2011.03.11,11:30:00,3.57,3.62,3.57,3.61,590,1363771,1
2011.03.11,11:45:00,3.61,3.63,3.6,3.6,471,1125764,1
2011.03.11,12:00:00,3.6,3.62,3.6,3.62,347,427458,1
2011.03.11,12:15:00,3.61,3.63,3.61,3.62,354,491729,1
2011.03.11,12:30:00,3.61,3.62,3.6,3.6,566,959089,1
2011.03.11,12:45:00,3.6,3.61,3.6,3.6,477,649398,1
2011.03.11,13:00:00,3.6,3.61,3.59,3.6,266,841675,1
2011.03.11,13:15:00,3.6,3.61,3.59,3.61,483,785351,1
2011.03.11,13:30:00,3.61,3.61,3.6,3.61,265,208699,1
2011.03.11,13:45:00,3.61,3.62,3.61,3.62,290,589015,1
2011.03.11,14:00:00,3.62,3.63,3.61,3.61,429,592193,1
2011.03.11,14:15:00,3.61,3.63,3.59,3.6,871,1392550,1
2011.03.11,14:30:00,3.6,3.61,3.6,3.61,294,391264,1
2011.03.11,14:45:00,3.61,3.62,3.6,3.61,593,466301,1
2011.03.11,15:00:00,3.61,3.61,3.61,3.61,273,169146,1
2011.03.11,15:15:00,3.61,3.62,3.6,3.61,278,373606,1
2011.03.11,15:30:00,3.61,3.61,3.6,3.61,340,255309,1
2011.03.11,15:45:00,3.6,3.61,3.6,3.6,461,350832,1
2011.03.11,16:00:00,3.6,3.61,3.6,3.61,332,256015,1
2011.03.11,16:15:00,3.61,3.62,3.6,3.62,429,431167,1
2011.03.11,16:30:00,3.61,3.63,3.61,3.61,427,448646,1
2011.03.11,16:45:00,3.62,3.63,3.61,3.62,354,271555,1
2011.03.11,17:00:00,3.62,3.63,3.62,3.62,353,416335,1
2011.03.11,17:15:00,3.63,3.64,3.62,3.64,210,235709,1
2011.03.11,17:30:00,3.64,3.65,3.63,3.63,534,412628,1
2011.03.11,17:45:00,3.63,3.65,3.63,3.65,349,1006055,1
2011.03.14,10:00:00,3.63,3.64,3.61,3.64,137,209404,1
2011.03.14,10:15:00,3.64,3.64,3.63,3.63,46,72039,1
2011.03.14,10:30:00,3.63,3.66,3.63,3.66,163,173914,1
2011.03.14,10:45:00,3.65,3.66,3.64,3.65,219,319403,1
2011.03.14,11:00:00,3.65,3.65,3.63,3.64,393,567827,1
2011.03.14,11:15:00,3.64,3.68,3.64,3.66,295,456768,1
2011.03.14,11:30:00,3.66,3.66,3.64,3.65,264,296273,1
2011.03.14,11:45:00,3.66,3.66,3.64,3.65,248,217171,1
2011.03.14,12:00:00,3.65,3.66,3.65,3.65,224,315696,1
2011.03.14,12:15:00,3.65,3.66,3.65,3.65,375,469481,1
2011.03.14,12:30:00,3.65,3.65,3.65,3.65,274,293622,1
2011.03.14,12:45:00,3.65,3.65,3.65,3.65,191,129772,1
2011.03.14,13:00:00,3.65,3.65,3.64,3.65,126,106996,1
2011.03.14,13:15:00,3.64,3.65,3.64,3.65,117,117769,1
2011.03.14,13:30:00,3.65,3.65,3.64,3.64,202,280384,1
2011.03.14,13:45:00,3.64,3.65,3.64,3.65,135,180801,1
2011.03.14,14:00:00,3.65,3.66,3.65,3.65,129,152903,1
2011.03.14,14:15:00,3.65,3.65,3.65,3.65,107,171089,1
2011.03.14,14:30:00,3.65,3.65,3.65,3.65,115,147432,1
