<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2011.03.10;11:00:00;3.66;3.66;3.59;3.59;806;1258360;1
2011.03.10;11:30:00;3.59;3.60;3.57;3.60;898;1369422;1
2011.03.10;12:00:00;3.60;3.63;3.59;3.60;560;722495;1
2011.03.10;12:30:00;3.60;3.62;3.60;3.62;389;525803;1
2011.03.10;13:00:00;3.62;3.62;3.60;3.61;410;498965;1
2011.03.10;13:30:00;3.61;3.63;3.61;3.62;356;635805;1
2011.03.10;14:00:00;3.62;3.62;3.60;3.61;354;582485;1
2011.03.10;14:30:00;3.61;3.62;3.60;3.62;458;889700;1
2011.03.10;15:00:00;3.61;3.62;3.61;3.62;247;623268;1
2011.03.10;15:30:00;3.62;3.62;3.59;3.59;449;1490898;1
2011.03.10;16:00:00;3.59;3.60;3.58;3.58;333;815543;1
2011.03.10;16:30:00;3.58;3.60;3.58;3.59;417;3219975;1
2011.03.10;17:00:00;3.59;3.59;3.57;3.58;717;967209;1
2011.03.10;17:30:00;3.57;3.58;3.57;3.57;1036;3630306;1
2011.03.11;11:00:00;3.58;3.58;3.55;3.57;522;1285202;1
2011.03.11;11:30:00;3.57;3.63;3.57;3.60;1061;2489535;1
2011.03.11;12:00:00;3.60;3.63;3.60;3.62;701;919187;1
2011.03.11;12:30:00;3.61;3.62;3.60;3.60;1043;1608487;1
2011.03.11;13:00:00;3.60;3.61;3.59;3.61;749;1627026;1
2011.03.11;13:30:00;3.61;3.62;3.60;3.62;555;797714;1
2011.03.11;14:00:00;3.62;3.63;3.59;3.60;1300;1984743;1
2011.03.11;14:30:00;3.60;3.62;3.60;3.61;887;857565;1
2011.03.11;15:00:00;3.61;3.62;3.60;3.61;551;542752;1
2011.03.11;15:30:00;3.61;3.61;3.60;3.60;801;606141;1
2011.03.11;16:00:00;3.60;3.62;3.60;3.62;761;687182;1
2011.03.11;16:30:00;3.61;3.63;3.61;3.62;781;720201;1
2011.03.11;17:00:00;3.62;3.64;3.62;3.64;563;652044;1
2011.03.11;17:30:00;3.64;3.65;3.63;3.65;883;1418683;1
2011.03.14;10:00:00;3.63;3.64;3.61;3.63;183;281443;1
2011.03.14;10:30:00;3.63;3.66;3.63;3.65;382;493317;1
2011.03.14;11:00:00;3.65;3.68;3.63;3.66;688;1024595;1
2011.03.14;11:30:00;3.66;3.66;3.64;3.65;512;513444;1
2011.03.14;12:00:00;3.65;3.66;3.65;3.65;599;785177;1
2011.03.14;12:30:00;3.65;3.65;3.65;3.65;465;423394;1
2011.03.14;13:00:00;3.65;3.65;3.64;3.65;243;224765;1
2011.03.14;13:30:00;3.65;3.65;3.64;3.65;337;461185;1
2011.03.14;14:00:00;3.65;3.66;3.65;3.65;236;323992;1
2011.03.14;14:30:00;3.65;3.65;3.65;3.65;207;233420;1
2011.03.14;15:00:00;3.64;3.65;3.64;3.65;265;366896;1
2011.03.14;15:30:00;3.65;3.66;3.65;3.66;427;824192;1
2011.03.14;16:00:00;3.66;3.67;3.65;3.66;372;663878;1
2011.03.14;16:30:00;3.66;3.68;3.66;3.67;562;1309036;1
2011.03.15;10:00:00;3.58;3.59;3.56;3.59;354;689303;1
2011.03.15;10:30:00;3.59;3.64;3.58;3.63;786;1321573;1
2011.03.15;11:00:00;3.63;3.68;3.63;3.66;935;1410737;1
2011.03.15;11:30:00;3.66;3.67;3.65;3.66;640;631742;1
2011.03.15;12:00:00;3.67;3.67;3.65;3.66;785;1247593;1
2011.03.15;12:30:00;3.66;3.68;3.66;3.68;801;832848;1
2011.03.15;13:00:00;3.68;3.69;3.67;3.68;487;785529;1
2011.03.15;13:30:00;3.68;3.68;3.67;3.67;902;1507317;1
2011.03.15;14:00:00;3.67;3.68;3.67;3.67;492;512033;1
2011.03.15;14:30:00;3.68;3.69;3.67;3.68;655;777584;1
2011.03.15;15:00:00;3.68;3.70;3.68;3.70;773;872927;1
2011.03.15;15:30:00;3.70;3.72;3.69;3.71;895;2331158;1
2011.03.15;16:00:00;3.71;3.72;3.70;3.72;1079;1282201;1
2011.03.15;16:30:00;3.72;3.73;3.71;3.72;1384;1978562;1
2011.03.16;10:00:00;3.72;3.75;3.72;3.73;276;685416;1
2011.03.16;10:30:00;3.73;3.73;3.68;3.69;666;843440;1
2011.03.16;11:00:00;3.69;3.70;3.67;3.68;470;520154;1
2011.03.16;11:30:00;3.69;3.72;3.68;3.69;535;1016122;1
2011.03.16;12:00:00;3.69;3.69;3.66;3.68;642;1039248;1
2011.03.16;12:30:00;3.68;3.68;3.66;3.66;339;294861;1
2011.03.16;13:00:00;3.66;3.67;3.65;3.66;352;645690;1
2011.03.16;13:30:00;3.65;3.65;3.62;3.63;541;397798;1
2011.03.16;14:00:00;3.63;3.64;3.62;3.62;337;285500;1
2011.03.16;14:30:00;3.62;3.63;3.61;3.62;442;1047900;1
2011.03.16;15:00:00;3.62;3.63;3.59;3.61;888;1176263;1
2011.03.16;15:30:00;3.61;3.65;3.61;3.63;723;685240;1
2011.03.16;16:00:00;3.63;3.66;3.63;3.65;696;1732611;1
2011.03.16;16:30:00;3.65;3.67;3.64;3.64;671;1838899;1
2011.03.17;10:00:00;3.68;3.70;3.66;3.68;290;250719;1
2011.03.17;10:30:00;3.68;3.69;3.65;3.66;477;643572;1
2011.03.17;11:00:00;3.66;3.68;3.66;3.68;583;370960;1
2011.03.17;11:30:00;3.68;3.68;3.66;3.66;508;486254;1
2011.03.17;12:00:00;3.66;3.67;3.63;3.64;793;898528;1
2011.03.17;12:30:00;3.64;3.66;3.62;3.64;959;1506257;1
2011.03.17;13:00:00;3.64;3.64;3.62;3.63;639;806011;1
2011.03.17;13:30:00;3.62;3.63;3.61;3.63;552;529337;1
2011.03.17;14:00:00;3.63;3.64;3.63;3.63;622;498081;1
2011.03.17;14:30:00;3.63;3.64;3.62;3.62;952;780761;1
2011.03.17;15:00:00;3.62;3.63;3.61;3.63;923;999524;1
2011.03.17;15:30:00;3.63;3.64;3.63;3.63;836;648512;1
2011.03.17;16:00:00;3.63;3.65;3.63;3.63;1180;2003988;1
2011.03.17;16:30:00;3.63;3.65;3.62;3.65;1078;2474705;1
2011.03.18;10:00:00;3.65;3.69;3.65;3.68;186;302100;1
2011.03.18;10:30:00;3.68;3.70;3.67;3.69;445;450234;1
2011.03.18;11:00:00;3.70;3.70;3.68;3.70;539;641629;1
2011.03.18;11:30:00;3.69;3.70;3.69;3.70;415;421810;1
2011.03.18;12:00:00;3.70;3.72;3.70;3.71;402;534457;1
2011.03.18;12:30:00;3.71;3.72;3.71;3.71;502;716138;1
2011.03.18;13:00:00;3.71;3.72;3.70;3.71;455;445468;1
2011.03.18;13:30:00;3.70;3.71;3.70;3.71;225;256195;1
2011.03.18;14:00:00;3.71;3.72;3.71;3.72;440;723909;1
2011.03.18;14:30:00;3.72;3.73;3.71;3.71;239;668819;1
2011.03.18;15:00:00;3.71;3.71;3.70;3.70;469;834260;1
2011.03.18;15:30:00;3.71;3.71;3.70;3.70;354;567297;1
2011.03.18;16:00:00;3.71;3.71;3.70;3.71;775;757278;1
2011.03.18;16:30:00;3.70;3.71;3.70;3.71;450;2333983;1
2011.03.21;10:00:00;3.74;3.75;3.71;3.74;455;460124;1
2011.03.21;10:30:00;3.75;3.75;3.72;3.73;550;375902;1
2011.03.21;11:00:00;3.73;3.74;3.72;3.73;446;269614;1
2011.03.21;11:30:00;3.73;3.74;3.72;3.73;680;630327;1
2011.03.21;12:00:00;3.73;3.74;3.72;3.74;347;453416;1
2011.03.21;12:30:00;3.74;3.74;3.73;3.73;375;601725;1
2011.03.21;13:00:00;3.74;3.74;3.73;3.73;351;292212;1
2011.03.21;13:30:00;3.73;3.73;3.72;3.72;410;299627;1
2011.03.21;14:00:00;3.73;3.73;3.72;3.73;370;379611;1
2011.03.21;14:30:00;3.72;3.74;3.72;3.74;500;467538;1
2011.03.21;15:00:00;3.74;3.75;3.73;3.73;341;493491;1
2011.03.21;15:30:00;3.73;3.75;3.72;3.72;404;1680878;1
2011.03.21;16:00:00;3.73;3.74;3.72;3.73;646;671644;1
2011.03.21;16:30:00;3.73;3.75;3.72;3.72;460;2527671;1
2011.03.22;10:00:00;3.72;3.75;3.72;3.74;391;240124;1
2011.03.22;10:30:00;3.75;3.76;3.74;3.75;724;1037128;1
2011.03.22;11:00:00;3.75;3.78;3.75;3.78;757;899056;1
2011.03.22;11:30:00;3.78;3.79;3.77;3.77;556;756396;1
2011.03.22;12:00:00;3.77;3.79;3.77;3.79;657;707311;1
2011.03.22;12:30:00;3.78;3.80;3.78;3.80;825;1096805;1
2011.03.22;13:00:00;3.80;3.81;3.79;3.80;597;662110;1
2011.03.22;13:30:00;3.80;3.82;3.80;3.81;584;491550;1
2011.03.22;14:00:00;3.81;3.83;3.81;3.83;555;1036423;1
2011.03.22;14:30:00;3.83;3.83;3.82;3.82;664;521391;1
2011.03.22;15:00:00;3.82;3.82;3.81;3.81;963;406800;1
2011.03.22;15:30:00;3.81;3.84;3.81;3.83;996;947613;1
2011.03.22;16:00:00;3.83;3.84;3.82;3.82;1037;1046484;1
2011.03.22;16:30:00;3.82;3.85;3.82;3.83;986;2867733;1
2011.03.23;10:00:00;3.80;3.83;3.80;3.83;196;202870;1
2011.03.23;10:30:00;3.83;3.83;3.81;3.83;299;341827;1
2011.03.23;11:00:00;3.83;3.83;3.81;3.81;258;274554;1
2011.03.23;11:30:00;3.81;3.82;3.81;3.81;324;453237;1
2011.03.23;12:00:00;3.81;3.82;3.79;3.80;474;1327929;1
2011.03.23;12:30:00;3.80;3.81;3.80;3.80;280;314106;1
2011.03.23;13:00:00;3.80;3.81;3.80;3.80;120;123241;1
2011.03.23;13:30:00;3.80;3.82;3.80;3.82;287;379433;1
2011.03.23;14:00:00;3.82;3.83;3.81;3.82;296;310752;1
2011.03.23;14:30:00;3.81;3.81;3.81;3.81;179;417042;1
2011.03.23;15:00:00;3.81;3.81;3.79;3.79;250;425870;1
2011.03.23;15:30:00;3.79;3.80;3.79;3.79;289;413336;1
2011.03.23;16:00:00;3.79;3.80;3.78;3.79;601;1494252;1
2011.03.23;16:30:00;3.79;3.80;3.79;3.80;477;2019351;1
2011.03.24;10:00:00;3.80;3.82;3.79;3.81;207;259197;1
2011.03.24;10:30:00;3.81;3.81;3.79;3.80;262;350654;1
2011.03.24;11:00:00;3.80;3.82;3.80;3.82;376;361075;1
2011.03.24;11:30:00;3.82;3.84;3.81;3.83;425;367251;1
2011.03.24;12:00:00;3.84;3.84;3.82;3.82;419;825785;1
2011.03.24;12:30:00;3.83;3.84;3.82;3.84;401;1149778;1
2011.03.24;13:00:00;3.84;3.86;3.84;3.85;409;406802;1
2011.03.24;13:30:00;3.85;3.86;3.84;3.84;451;450411;1
2011.03.24;14:00:00;3.84;3.85;3.84;3.85;318;374137;1
2011.03.24;14:30:00;3.85;3.85;3.84;3.84;473;437170;1
2011.03.24;15:00:00;3.85;3.85;3.83;3.84;491;780057;1
2011.03.24;15:30:00;3.84;3.84;3.83;3.84;433;268375;1
