Date,Open,High,Low,Close,Ticks,Volume,Spread
2011.03.01,3.66,4.06,3.55,4.06,115937,184694820,1
2011.04.01,4.06,4.13,3.76,3.85,133678,173840841,1
2011.05.01,3.86,3.9,3.51,3.75,192722,257256543,1
2011.06.01,3.73,3.82,3.6,3.82,161611,259065132,1
2011.07.01,3.81,3.86,3.2,3.32,181331,301811219,1
2011.08.01,3.36,3.37,2.58,3.08,407758,625542454,1
2011.09.01,3.15,3.28,2.86,3.07,269850,367967002,1
2011.10.01,3.03,3.57,2.88,3.46,260562,355806200,1
2011.11.01,3.3,3.5,3.08,3.4,242088,318961570,1
2011.12.01,3.45,3.71,3.42,3.68,283765,360945536,1
2012.01.01,3.69,3.97,3.61,3.74,275461,325906621,1
2012.02.01,3.76,3.99,3.69,3.92,251996,278862282,1
2012.03.01,3.96,4.19,3.71,3.73,246243,321985893,1
2012.04.01,3.74,3.8,3.12,3.3,306617,437154314,1
2012.05.01,3.26,3.3,2.91,3.21,364660,475322104,1
2012.06.01,3.13,3.35,2.92,3.11,281047,296472974,1
2012.07.01,3.09,3.63,3.01,3.51,318680,327090394,1
2012.08.01,3.51,3.78,3.4,3.42,308324,368212899,1
2012.09.01,3.41,3.82,3.26,3.31,312937,443606017,1
2012.10.01,3.29,3.37,3.08,3.26,344780,501921058,1
2012.11.01,3.25,3.55,3.23,3.53,267369,323006478,1
2012.12.01,3.55,3.75,3.5,3.63,273916,333428369,1
2013.01.01,3.68,3.98,3.68,3.78,312550,363612080,1
2013.02.01,3.78,3.93,3.62,3.88,312902,360570543,1
2013.03.01,3.84,4.12,3.81,4.01,352442,350364777,1
2013.04.01,3.99,4.01,3.61,3.8,369345,391477380,1
2013.05.01,3.78,4.08,3.74,3.98,360204,393199705,1
2013.06.01,3.98,3.98,3.33,3.51,445884,556476592,1
2013.07.01,3.49,3.67,3.17,3.54,471627,494887181,1
2013.08.01,3.57,3.73,3.43,3.57,471721,523574692,1
2013.09.01,3.63,3.97,3.51,3.85,405873,385946986,1
2013.10.01,3.87,4.14,3.79,4.13,425072,372305139,1
2013.11.01,4.15,4.15,3.76,3.98,318894,339512363,1
2013.12.01,3.95,4.0,3.73,3.86,314563,354483151,1
2014.01.01,3.86,3.89,3.52,3.65,356144,381080546,1
2014.02.01,3.64,3.85,3.54,3.77,496701,429353355,1
2014.03.01,3.76,4.13,3.54,4.12,507888,416158405,1
2014.04.01,4.13,4.45,4.08,4.37,427101,349812879,1
2014.05.01,4.36,4.58,4.18,4.19,369591,293136409,1
2014.06.01,4.2,4.56,4.13,4.27,362400,263701990,1
2014.07.01,4.29,4.78,4.18,4.67,401396,290460651,1
2014.08.01,4.64,5.43,4.55,5.4,531126,359155448,1
2014.09.01,5.48,5.62,4.48,4.6,542852,413789769,1
2014.10.01,4.53,5.3,4.09,4.91,716681,632058297,1
2014.11.01,4.87,5.46,4.58,5.2,471581,356515534,1
2014.12.01,5.11,5.16,4.32,4.69,505647,439472451,1
2015.01.01,4.67,4.89,4.48,4.56,541701,474838672,1
2015.02.01,4.6,5.37,4.56,5.18,573574,431729162,1
2015.03.01,5.17,5.32,4.71,5.13,584347,430235719,1
2015.04.01,5.23,5.66,5.2,5.46,523904,392917987,1
2015.05.01,5.54,5.59,4.99,4.99,544161,352009406,1
2015.06.01,5.02,5.2,4.78,5.06,553624,425942891,1
2015.07.01,5.09,5.19,4.45,4.77,574890,435262758,1
2015.08.01,4.73,4.79,3.9,4.17,706364,621477857,1
2015.09.01,4.06,4.67,3.96,4.11,872718,624335630,1
2015.10.01,4.12,4.66,4.09,4.14,710156,554632846,1
2015.11.01,4.2,4.54,4.15,4.17,597572,471718780,1
2015.12.01,4.22,4.57,3.99,4.02,538911,453600431,1
2016.01.01,3.98,4.04,3.65,4.02,530485,415867474,1
2016.02.01,4.02,4.11,3.71,4.09,503259,410291102,1
2016.03.01,4.15,5.26,4.13,4.92,1079368,810332001,1
2016.04.01,4.86,5.36,4.57,5.21,599671,498789962,1
2016.05.01,5.24,5.31,4.68,4.73,589706,438374909,1
2016.06.01,4.73,5.06,4.62,5.04,524615,469992693,1
2016.07.01,5.07,5.66,4.9,5.55,468337,394494209,1
2016.08.01,5.57,5.94,5.44,5.76,471935,416082521,1
2016.09.01,5.75,5.93,5.45,5.6,651354,438210543,1
2016.10.01,5.6,6.33,5.52,6.33,660290,548362737,1
2016.11.01,6.35,6.46,5.66,5.78,681216,465308742,1
2016.12.01,5.69,5.75,5.29,5.74,504165,344379826,1
2017.01.01,5.68,6.5,5.66,6.43,529466,276140853,1
2017.02.01,6.47,7.45,6.28,7.11,508326,307181017,1
2017.03.01,7.2,7.23,6.61,6.74,571021,338769200,1
2017.04.01,6.78,7.01,6.6,7.01,378237,264498300,1
2017.05.01,7.04,7.38,6.05,6.35,688658,435658200,1
2017.06.01,6.39,6.46,6.16,6.41,453261,264546300,1
2017.07.01,6.43,6.63,6.34,6.58,457211,304249000,1
2017.08.01,6.65,7.46,6.65,7.3,518880,397302600,1
2017.09.01,7.37,8.12,7.34,7.91,465869,383834200,1
2017.10.01,7.89,8.29,7.51,7.51,468311,314296700,1
2017.11.01,7.63,7.83,7.36,7.44,539790,303686200,1
2017.12.01,7.39,7.96,7.36,7.87,364313,284770200,1
2018.01.01,7.91,9.83,7.89,9.64,516300,342970900,1
2018.02.01,9.64,10.54,9.04,10.07,524864,406383800,1
2018.03.01,10.12,10.75,10.06,10.59,436420,274438100,1
2018.04.01,10.6,10.73,9.9,10.46,377066,232922400,1
2018.05.01,10.39,10.39,8.5,8.63,613493,476448800,1
2018.06.01,8.89,9.04,7.2,7.77,677503,577300800,1
2018.07.01,7.75,9.35,7.73,8.82,455677,345844500,1
2018.08.01,8.84,9.35,8.07,8.29,718196,473501300,1
2018.09.01,8.21,8.74,7.99,8.74,511207,393466200,1
2018.10.01,8.75,9.94,8.59,9.73,770536,650397700,1
2018.11.01,9.76,10.93,9.7,10.68,550769,372016000,1
2018.12.01,10.86,10.92,9.95,10.48,453790,397104800,1
2019.01.01,10.51,11.89,10.48,11.71,747023,608306800,1
2019.02.01,11.71,11.97,10.98,11.33,662968,716274100,1
2019.03.01,11.38,11.96,10.42,10.99,639731,452234200,1
2019.04.01,11.1,11.15,10.38,10.93,499407,370144900,1
2019.05.01,10.88,11.42,10.11,11.37,591885,476828800,1
2019.06.01,11.41,12.01,10.87,11.85,517621,496250900,1
2019.07.01,11.95,12.4,11.42,11.46,486362,358222400,1
2019.08.01,11.54,12.09,11.02,11.6,683516,530690700,1
2019.09.01,11.6,12.71,11.25,12.46,517075,420346200,1
2019.10.01,12.48,13.23,11.45,12.96,545101,387938100,1
2019.11.01,13.0,13.47,12.29,12.55,491579,336673500,1
2019.12.01,12.6,13.51,12.56,13.35,475298,338858800,1
2020.01.01,13.4,13.62,12.05,12.18,641274,407187100,1
2020.02.01,12.2,12.8,11.44,11.74,631089,503189700,1
2020.03.01,11.8,12.13,7.29,8.59,1399745,961093400,1
2020.04.01,8.32,9.68,7.75,8.81,873922,589434500,1
2020.05.01,8.52,9.24,7.68,8.68,835461,732180700,1
2020.06.01,8.68,10.4,8.6,9.41,912200,754234200,1
2020.07.01,9.49,10.96,9.46,10.47,762019,651376500,1
2020.08.01,10.53,10.7,9.28,9.28,753065,600025600,1
2020.09.01,9.4,9.89,8.66,8.67,691517,548403600,1
2020.10.01,8.72,9.96,8.64,8.96,663206,628796400,1
2020.11.01,9.06,10.92,8.98,10.43,838887,834983500,1
2020.12.01,10.62,11.88,10.57,11.67,606693,476185100,1
2021.01.01,11.78,12.29,10.41,10.58,693417,549460800,1
2021.02.01,10.75,10.98,9.69,9.92,763806,679132500,1
2021.03.01,10.09,10.6,9.31,10.26,628058,590766800,0
