<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2011.03.06;3.66;3.66;3.55;3.65;18588;33426696;1
2011.03.13;3.63;3.75;3.56;3.71;40312;58869769;1
2011.03.20;3.74;3.86;3.71;3.82;30758;46628133;1
2011.03.27;3.82;4.13;3.77;4.08;39762;61420042;1
2011.04.03;4.09;4.10;3.92;3.94;36240;47525257;1
2011.04.10;3.93;3.96;3.81;3.86;33187;46953036;1
2011.04.17;3.84;3.96;3.76;3.96;21789;25240027;1
2011.04.24;3.95;3.99;3.77;3.85;28979;38472701;1
2011.05.01;3.86;3.90;3.67;3.82;35198;56477522;1
2011.05.08;3.81;3.88;3.69;3.71;52087;63487843;1
2011.05.15;3.70;3.73;3.54;3.56;61953;68348494;1
2011.05.22;3.53;3.75;3.51;3.70;32623;50130656;1
2011.05.29;3.71;3.79;3.65;3.74;37958;58790670;1
2011.06.05;3.74;3.76;3.62;3.64;41964;58533770;1
2011.06.12;3.66;3.73;3.60;3.66;38587;65853344;1
2011.06.19;3.62;3.73;3.62;3.66;28104;55495119;1
2011.06.26;3.67;3.84;3.64;3.83;34940;51456490;1
2011.07.03;3.82;3.86;3.61;3.63;28933;46645737;1
2011.07.10;3.57;3.58;3.29;3.34;53647;100130810;1
2011.07.17;3.31;3.49;3.27;3.46;38659;71208321;1
2011.07.24;3.42;3.42;3.20;3.32;51011;71574118;1
2011.07.31;3.36;3.37;2.84;2.97;85939;131217113;1
2011.08.07;2.82;2.96;2.58;2.93;129517;208479968;1
2011.08.14;2.97;3.08;2.83;2.86;75040;103418136;1
2011.08.21;2.90;2.91;2.70;2.89;64516;106683949;1
2011.08.28;2.91;3.28;2.90;3.18;92227;133066923;1
2011.09.04;3.10;3.21;2.97;3.07;50976;69246869;1
2011.09.11;3.03;3.12;2.93;3.10;63344;79673952;1
2011.09.18;3.03;3.15;2.88;2.92;51431;75742038;1
2011.09.25;2.96;3.16;2.86;3.07;64618;85980508;1
2011.10.02;3.03;3.11;2.88;3.02;68908;104233370;1
2011.10.09;3.05;3.30;3.04;3.28;58059;71693554;1
2011.10.16;3.24;3.40;3.20;3.36;55814;71579061;1
2011.10.23;3.38;3.57;3.32;3.48;65212;91360860;1
2011.10.30;3.43;3.50;3.30;3.44;59370;75388931;1
2011.11.06;3.44;3.50;3.32;3.38;56570;70765224;1
2011.11.13;3.38;3.45;3.21;3.24;47423;65102186;1
2011.11.20;3.19;3.24;3.08;3.13;46171;56911658;1
2011.11.27;3.19;3.58;3.18;3.52;81458;126234104;1
2011.12.04;3.56;3.66;3.54;3.63;68425;87150655;1
2011.12.11;3.60;3.63;3.53;3.55;83817;107569281;1
2011.12.18;3.55;3.71;3.50;3.69;64478;73859649;1
2011.12.25;3.70;3.71;3.58;3.68;30710;33864773;1
2012.01.01;3.69;3.79;3.61;3.76;63323;63263345;1
2012.01.08;3.77;3.88;3.73;3.81;57548;69405203;1
2012.01.15;3.83;3.97;3.80;3.93;56221;72889949;1
2012.01.22;3.93;3.94;3.80;3.81;56890;73273529;1
2012.01.29;3.77;3.85;3.68;3.83;99501;111617799;1
2012.02.05;3.80;3.97;3.78;3.88;73736;79511057;1
2012.02.12;3.90;3.99;3.83;3.92;67817;78354456;1
2012.02.19;3.91;3.94;3.83;3.85;28221;26114741;1
2012.02.26;3.83;4.13;3.80;4.10;49417;57765844;1
2012.03.04;4.07;4.18;3.91;4.14;64323;73607956;1
2012.03.11;4.11;4.19;4.06;4.17;51409;61908428;1
2012.03.18;4.17;4.19;3.88;3.91;48818;70057879;1
2012.03.25;3.93;4.01;3.71;3.73;56476;88984610;1
2012.04.01;3.74;3.80;3.52;3.55;45801;76142899;1
2012.04.08;3.51;3.56;3.37;3.42;78316;109961386;1
2012.04.15;3.44;3.53;3.35;3.48;93027;106233077;1
2012.04.22;3.43;3.47;3.12;3.23;76811;130540033;1
2012.04.29;3.23;3.30;3.12;3.18;64472;96146957;1
2012.05.06;3.17;3.26;3.10;3.21;90452;99891169;1
2012.05.13;3.17;3.21;2.91;2.98;94804;118882487;1
2012.05.20;2.99;3.16;2.95;3.09;80966;104521247;1
2012.05.27;3.12;3.21;2.99;3.09;64471;89351965;1
2012.06.03;3.09;3.17;2.98;3.14;50566;53526358;1
2012.06.10;3.16;3.29;3.13;3.29;69175;74241189;1
2012.06.17;3.24;3.35;3.05;3.09;69365;79070303;1
2012.06.24;3.05;3.11;2.92;3.11;74098;70440322;1
2012.07.01;3.09;3.30;3.05;3.21;67103;59349267;1
2012.07.08;3.21;3.23;3.01;3.18;78480;62439114;1
2012.07.15;3.18;3.28;3.09;3.25;71364;75039998;1
2012.07.22;3.19;3.58;3.11;3.55;73050;93800252;1
2012.07.29;3.53;3.63;3.40;3.56;66780;84512619;1
2012.08.05;3.57;3.73;3.55;3.72;66427;75405229;1
2012.08.12;3.69;3.78;3.62;3.74;53556;66272029;1
2012.08.19;3.74;3.78;3.61;3.66;72702;90595282;1
2012.08.26;3.66;3.66;3.41;3.42;77542;87889503;1
2012.09.02;3.41;3.52;3.35;3.51;61108;64083990;1
