Date,Open,High,Low,Close,Ticks,Volume,Spread
2011.06.01,0.46,0.47,0.46,0.47,514,14060800,1
2011.06.02,0.46,0.48,0.46,0.47,1062,13865600,1
2011.06.03,0.47,0.48,0.47,0.48,995,12969600,1
2011.06.06,0.48,0.49,0.48,0.48,840,10441600,1
2011.06.07,0.48,0.48,0.47,0.48,945,18960000,1
2011.06.08,0.48,0.48,0.47,0.48,1207,10473600,1
2011.06.09,0.48,0.5,0.48,0.49,2636,36128000,1
2011.06.10,0.49,0.49,0.48,0.49,1124,14844800,1
2011.06.13,0.49,0.51,0.49,0.5,2304,26368000,1
2011.06.14,0.5,0.51,0.48,0.49,1408,19737600,1
2011.06.15,0.49,0.49,0.48,0.49,1246,15363200,1
2011.06.16,0.48,0.49,0.46,0.48,1135,19196800,1
2011.06.17,0.48,0.48,0.46,0.48,1157,7590400,1
2011.06.20,0.47,0.47,0.46,0.47,779,7673600,1
2011.06.21,0.46,0.48,0.46,0.48,892,5961600,1
2011.06.22,0.47,0.48,0.47,0.47,1159,10425600,1
2011.06.24,0.47,0.48,0.46,0.47,886,6016000,1
2011.06.27,0.48,0.48,0.46,0.46,1199,9404800,1
2011.06.28,0.46,0.47,0.46,0.47,1186,10067200,1
2011.06.29,0.47,0.47,0.46,0.47,827,9449600,1
2011.06.30,0.47,0.47,0.46,0.47,1195,17027200,1
2011.07.01,0.47,0.47,0.46,0.47,1279,19334400,1
2011.07.04,0.47,0.47,0.46,0.47,1042,8060800,1
2011.07.05,0.48,0.49,0.47,0.48,1752,40854400,1
2011.07.06,0.48,0.48,0.48,0.48,1281,15392000,1
2011.07.07,0.48,0.49,0.47,0.47,649,10969600,1
2011.07.08,0.47,0.47,0.46,0.47,896,17078400,1
2011.07.11,0.46,0.47,0.45,0.45,1470,18057600,1
2011.07.12,0.45,0.46,0.44,0.46,1619,13644800,1
2011.07.13,0.46,0.46,0.44,0.45,1613,15334400,1
2011.07.14,0.45,0.45,0.43,0.43,1509,12419200,1
2011.07.15,0.44,0.44,0.41,0.42,1345,12384000,1
2011.07.18,0.42,0.42,0.4,0.4,1687,13177600,1
2011.07.19,0.4,0.43,0.4,0.43,1927,19712000,1
2011.07.20,0.43,0.43,0.41,0.41,1386,9376000,1
2011.07.21,0.42,0.42,0.41,0.41,1221,8873600,1
2011.07.22,0.41,0.43,0.41,0.43,1486,12595200,1
2011.07.25,0.42,0.44,0.42,0.43,1100,9827200,1
2011.07.26,0.43,0.45,0.42,0.45,1362,12361600,1
2011.07.27,0.44,0.44,0.42,0.43,1588,11113600,1
2011.07.28,0.43,0.43,0.41,0.41,943,22259200,1
2011.07.29,0.41,0.41,0.39,0.4,1502,16918400,1
2011.08.01,0.4,0.41,0.39,0.4,1273,8288000,1
2011.08.02,0.4,0.41,0.4,0.4,1449,9388800,1
2011.08.03,0.4,0.41,0.37,0.39,1398,16896000,1
2011.08.04,0.38,0.38,0.35,0.35,352,14230400,1
2011.08.05,0.35,0.36,0.32,0.34,1285,21920000,1
2011.08.08,0.31,0.33,0.31,0.32,1366,12880000,1
2011.08.09,0.32,0.33,0.3,0.32,1601,28848000,1
2011.08.10,0.32,0.32,0.31,0.32,1501,27260800,1
2011.08.11,0.32,0.36,0.32,0.36,1432,16083200,1
2011.08.12,0.36,0.38,0.35,0.38,1378,15308800,1
2011.08.15,0.37,0.39,0.37,0.39,1034,7859200,1
2011.08.16,0.38,0.38,0.36,0.38,1074,8409600,1
2011.08.17,0.38,0.39,0.38,0.38,1149,9555200,1
2011.08.18,0.37,0.38,0.35,0.38,1336,9299200,1
2011.08.19,0.37,0.38,0.37,0.37,1586,16832000,1
2011.08.22,0.37,0.38,0.36,0.37,1240,7532800,1
2011.08.23,0.37,0.37,0.36,0.37,1108,8995200,1
2011.08.24,0.37,0.37,0.36,0.36,1441,9436800,1
2011.08.25,0.37,0.37,0.35,0.35,1225,7017600,1
2011.08.26,0.35,0.36,0.34,0.34,1677,12739200,1
2011.08.29,0.35,0.35,0.34,0.35,1585,22272000,1
2011.08.30,0.35,0.36,0.35,0.36,1280,16329600,1
2011.08.31,0.36,0.37,0.36,0.37,1842,31302400,1
2011.09.01,0.4,0.4,0.38,0.4,2533,47180800,1
2011.09.02,0.4,0.42,0.39,0.41,2083,33654400,1
2011.09.05,0.41,0.41,0.39,0.41,1950,17324800,1
2011.09.06,0.4,0.42,0.39,0.42,2114,19475200,1
2011.09.08,0.42,0.44,0.41,0.42,2032,21238400,1
2011.09.09,0.42,0.42,0.4,0.42,1432,13401600,1
2011.09.12,0.4,0.42,0.4,0.42,2364,14668800,1
2011.09.13,0.42,0.43,0.41,0.41,1280,12812800,1
2011.09.14,0.42,0.42,0.39,0.4,3140,26988800,1
2011.09.15,0.41,0.42,0.4,0.4,1606,12057600,1
2011.09.16,0.4,0.41,0.4,0.4,2000,30208000,1
2011.09.19,0.4,0.4,0.39,0.4,1444,10208000,1
2011.09.20,0.4,0.4,0.39,0.39,1747,14361600,1
2011.09.21,0.39,0.4,0.38,0.38,1788,18006400,1
2011.09.22,0.36,0.37,0.34,0.35,788,21353600,1
2011.09.23,0.35,0.36,0.34,0.35,1741,24832000,1
2011.09.26,0.36,0.36,0.35,0.35,1521,15862400,1
2011.09.27,0.36,0.36,0.35,0.36,1597,13081600,1
2011.09.28,0.36,0.36,0.35,0.35,1410,11888000,1
2011.09.29,0.35,0.36,0.35,0.35,1167,15552000,1
2011.09.30,0.35,0.35,0.33,0.34,1804,30537600,1
2011.10.03,0.34,0.34,0.32,0.32,1976,17628800,1
2011.10.04,0.32,0.33,0.32,0.32,1443,14841600,1
2011.10.05,0.33,0.34,0.32,0.33,1339,9440000,1
2011.10.06,0.34,0.34,0.32,0.33,1373,11027200,1
2011.10.07,0.33,0.34,0.32,0.32,1195,12972800,1
2011.10.10,0.33,0.33,0.33,0.33,1394,14236800,1
2011.10.11,0.33,0.34,0.33,0.34,1462,18096000,1
2011.10.13,0.33,0.35,0.33,0.35,1888,23372800,1
2011.10.14,0.34,0.35,0.34,0.35,1738,22451200,1
2011.10.17,0.34,0.35,0.34,0.34,1632,16732800,1
2011.10.18,0.34,0.35,0.34,0.35,1131,19401600,1
2011.10.19,0.35,0.37,0.35,0.36,2652,29472000,1
2011.10.20,0.36,0.36,0.35,0.36,1427,18412800,1
2011.10.21,0.36,0.36,0.36,0.36,1724,17545600,1
2011.10.24,0.36,0.37,0.36,0.36,1324,15728000,1
2011.10.25,0.36,0.36,0.35,0.36,1262,13830400,1
2011.10.26,0.36,0.36,0.35,0.36,1365,20105600,1
2011.10.27,0.38,0.38,0.37,0.37,1610,33849600,1
2011.10.28,0.37,0.39,0.37,0.39,1932,18134400,1
2011.10.31,0.39,0.39,0.38,0.38,1326,18131200,1
2011.11.01,0.37,0.38,0.36,0.37,1379,10627200,1
2011.11.03,0.37,0.38,0.37,0.38,1299,16342400,1
2011.11.04,0.38,0.38,0.37,0.37,1143,12521600,1
2011.11.07,0.38,0.39,0.37,0.38,1682,25388800,1
2011.11.08,0.38,0.39,0.37,0.38,1900,41993600,1
2011.11.09,0.37,0.37,0.36,0.36,1446,24028800,1
2011.11.10,0.36,0.37,0.36,0.37,1639,12032000,1
2011.11.11,0.36,0.36,0.33,0.34,2447,62947200,1
2011.11.14,0.34,0.34,0.33,0.33,2400,33068800,1
2011.11.16,0.33,0.33,0.32,0.32,2485,38700800,1
2011.11.17,0.32,0.33,0.32,0.32,2654,30876800,1
2011.11.18,0.32,0.33,0.32,0.32,1507,15488000,1
2011.11.21,0.32,0.32,0.3,0.3,1983,21123200,1
2011.11.22,0.31,0.31,0.29,0.29,2057,28665600,1
2011.11.23,0.29,0.29,0.28,0.28,1479,21459200,1
2011.11.24,0.29,0.29,0.29,0.29,2442,16640000,1
2011.11.25,0.29,0.29,0.29,0.29,1322,13929600,1
2011.11.28,0.29,0.3,0.29,0.3,1486,14694400,1
2011.11.29,0.3,0.3,0.29,0.3,1319,7648000,1
2011.11.30,0.3,0.32,0.3,0.31,4222,68921600,1
2011.12.01,0.33,0.34,0.33,0.34,4016,85206400,1
2011.12.02,0.34,0.35,0.33,0.33,2556,40073600,1
2011.12.05,0.33,0.34,0.32,0.32,1480,25545600,1
2011.12.06,0.32,0.32,0.31,0.31,2097,18652800,1
2011.12.07,0.31,0.32,0.31,0.31,1424,12473600,1
2011.12.08,0.31,0.32,0.3,0.3,895,9801600,1
2011.12.09,0.31,0.31,0.3,0.3,600,8739200,1
2011.12.12,0.3,0.3,0.3,0.3,1121,7168000,1
2011.12.13,0.3,0.3,0.3,0.3,1372,9788800,1
2011.12.14,0.3,0.3,0.29,0.29,1944,23859200,1
2011.12.15,0.29,0.3,0.29,0.29,3148,21033600,1
2011.12.16,0.29,0.3,0.29,0.3,866,15136000,1
2011.12.19,0.3,0.31,0.29,0.29,2262,24944000,1
2011.12.20,0.3,0.3,0.29,0.3,1620,19171200,1
2011.12.21,0.3,0.3,0.28,0.28,1779,19456000,1
2011.12.22,0.29,0.29,0.26,0.26,3354,54809600,1
2011.12.23,0.26,0.27,0.26,0.27,2855,36755200,1
2011.12.26,0.27,0.27,0.27,0.27,1229,9132800,1
2011.12.27,0.27,0.27,0.27,0.27,1001,8624000,1
2011.12.28,0.27,0.27,0.26,0.27,1152,18080000,1
2011.12.29,0.27,0.28,0.26,0.28,1087,20259200,1
2012.01.02,0.27,0.27,0.27,0.27,943,8681600,1
2012.01.03,0.27,0.27,0.27,0.27,2482,23385600,1
2012.01.04,0.27,0.27,0.26,0.26,1886,19008000,1
2012.01.05,0.26,0.26,0.26,0.26,771,7024000,1
2012.01.06,0.26,0.27,0.26,0.27,1485,21545600,1
2012.01.09,0.27,0.27,0.26,0.27,1037,13600000,1
2012.01.10,0.27,0.27,0.26,0.26,1077,16435200,1
2012.01.11,0.27,0.27,0.26,0.27,1610,17715200,1
2012.01.12,0.27,0.27,0.27,0.27,2260,31676800,1
2012.01.13,0.27,0.27,0.26,0.27,2800,20800000,1
2012.01.16,0.27,0.28,0.27,0.28,1396,13190400,1
2012.01.17,0.28,0.28,0.27,0.28,1492,18377600,1
2012.01.18,0.28,0.28,0.27,0.28,1028,37635200,1
2012.01.19,0.28,0.28,0.27,0.28,1007,14505600,1
2012.01.20,0.28,0.28,0.28,0.28,2045,26051200,1
2012.01.23,0.28,0.28,0.28,0.28,1265,12291200,1
2012.01.24,0.28,0.28,0.28,0.28,921,9894400,1
2012.01.26,0.28,0.29,0.28,0.29,2447,54288000,1
2012.01.27,0.29,0.3,0.29,0.3,2111,32409600,1
2012.01.30,0.29,0.29,0.29,0.29,2493,28723200,1
2012.01.31,0.29,0.29,0.29,0.29,1826,22112000,1
2012.02.01,0.29,0.3,0.29,0.3,1469,27702400,1
2012.02.02,0.3,0.31,0.3,0.3,1705,21132800,1
2012.02.03,0.31,0.31,0.28,0.29,3944,165264000,1
2012.02.06,0.29,0.29,0.28,0.28,2751,71731200,1
2012.02.07,0.28,0.29,0.28,0.29,1567,35881600,1
2012.02.08,0.29,0.29,0.28,0.28,1462,21302400,1
2012.02.09,0.29,0.29,0.28,0.29,1188,49136000,1
2012.02.10,0.28,0.29,0.28,0.29,1768,35894400,1
2012.02.13,0.29,0.29,0.29,0.29,2035,21177600,1
2012.02.14,0.29,0.29,0.28,0.29,1539,27043200,1
2012.02.15,0.29,0.3,0.29,0.29,2831,33289600,1
2012.02.16,0.29,0.3,0.29,0.29,1320,23712000,1
2012.02.17,0.29,0.3,0.29,0.29,1700,32489600,1
2012.02.22,0.3,0.3,0.29,0.3,1395,19008000,1
2012.02.23,0.3,0.32,0.3,0.32,3603,65260800,1
2012.02.24,0.32,0.35,0.32,0.34,4366,106214400,1
2012.02.27,0.33,0.34,0.32,0.34,1943,29632000,1
2012.02.28,0.34,0.34,0.33,0.34,1534,17347200,1
2012.02.29,0.34,0.34,0.33,0.34,1107,16230400,1
2012.03.01,0.34,0.34,0.34,0.34,680,12025600,1
2012.03.02,0.34,0.35,0.34,0.35,946,21062400,1
2012.03.05,0.34,0.35,0.33,0.34,1550,12972800,1
2012.03.06,0.33,0.34,0.32,0.34,981,14441600,1
2012.03.07,0.33,0.35,0.33,0.35,1431,30908800,1
2012.03.08,0.35,0.37,0.35,0.36,3229,66435200,1
2012.03.09,0.36,0.37,0.35,0.36,1718,40204800,1
2012.03.12,0.36,0.36,0.35,0.35,1683,23251200,1
2012.03.13,0.35,0.36,0.35,0.35,826,28003200,1
2012.03.14,0.35,0.35,0.34,0.34,1259,26771200,1
2012.03.15,0.34,0.35,0.34,0.34,836,8822400,1
2012.03.16,0.34,0.34,0.33,0.33,1095,15440000,1
2012.03.19,0.33,0.34,0.33,0.33,764,6867200,1
2012.03.20,0.33,0.34,0.33,0.33,918,9465600,1
2012.03.21,0.33,0.34,0.33,0.33,1729,14988800,1
2012.03.22,0.33,0.33,0.33,0.33,721,18102400,1
2012.03.23,0.33,0.35,0.32,0.34,2299,86185600,1
2012.03.26,0.35,0.35,0.35,0.35,1320,22764800,1
2012.03.27,0.35,0.36,0.34,0.34,1515,26140800,1
2012.03.28,0.34,0.35,0.33,0.34,1641,22403200,1
2012.03.29,0.34,0.34,0.33,0.34,1742,26179200,1
2012.03.30,0.34,0.35,0.33,0.35,1843,18899200,1
2012.04.02,0.35,0.36,0.34,0.36,1208,25296000,1
2012.04.03,0.35,0.36,0.35,0.36,2139,16483200,1
2012.04.04,0.35,0.36,0.35,0.36,633,8220800,1
2012.04.05,0.35,0.36,0.35,0.35,988,11062400,1
2012.04.09,0.35,0.35,0.33,0.34,960,16080000,1
2012.04.10,0.34,0.34,0.33,0.34,561,10787200,1
2012.04.11,0.35,0.35,0.33,0.33,316,11110400,1
2012.04.12,0.34,0.35,0.34,0.35,748,9366400,1
2012.04.13,0.35,0.36,0.34,0.35,492,7184000,1
2012.04.16,0.36,0.36,0.35,0.36,1555,18240000,1
2012.04.17,0.36,0.37,0.36,0.36,951,14134400,1
2012.04.18,0.36,0.36,0.35,0.36,1512,16425600,1
2012.04.19,0.36,0.37,0.35,0.36,1307,18163200,1
2012.04.20,0.36,0.36,0.34,0.34,1287,14832000,1
2012.04.23,0.34,0.34,0.33,0.33,1503,18889600,1
2012.04.24,0.33,0.33,0.33,0.33,1227,11248000,1
2012.04.25,0.33,0.34,0.32,0.33,839,15574400,1
2012.04.26,0.33,0.33,0.31,0.32,1273,16992000,1
2012.04.27,0.32,0.33,0.32,0.33,1779,14630400,1
2012.04.30,0.33,0.33,0.32,0.33,774,9526400,1
2012.05.02,0.33,0.34,0.33,0.34,784,19004800,1
2012.05.03,0.34,0.35,0.34,0.35,1406,17270400,1
2012.05.04,0.35,0.36,0.34,0.35,2368,24681600,1
2012.05.07,0.34,0.36,0.34,0.36,1219,14400000,1
2012.05.08,0.35,0.36,0.35,0.36,676,5190400,1
2012.05.09,0.35,0.36,0.35,0.36,1753,11852800,1
2012.05.10,0.36,0.36,0.35,0.36,553,4649600,1
2012.05.11,0.36,0.36,0.34,0.35,1497,10697600,1
2012.05.14,0.34,0.34,0.33,0.33,1123,17526400,1
2012.05.15,0.32,0.32,0.29,0.3,2276,45785600,1
2012.05.16,0.3,0.3,0.29,0.29,1118,20675200,1
2012.05.17,0.29,0.29,0.28,0.28,1013,8809600,1
2012.05.18,0.28,0.29,0.26,0.26,1569,42316800,1
2012.05.21,0.26,0.27,0.26,0.26,2679,44521600,1
2012.05.22,0.27,0.27,0.26,0.26,1624,28812800,1
2012.05.23,0.26,0.26,0.25,0.26,1180,18492800,1
2012.05.24,0.27,0.27,0.25,0.25,1302,15273600,1
2012.05.25,0.25,0.27,0.25,0.27,2711,21379200,1
2012.05.28,0.27,0.28,0.27,0.28,2144,20969600,1
2012.05.29,0.28,0.29,0.27,0.28,701,10124800,1
2012.05.30,0.27,0.28,0.27,0.27,1027,9635200,1
2012.05.31,0.27,0.28,0.26,0.27,2073,18284800,1
2012.06.01,0.26,0.27,0.26,0.26,758,8982400,1
2012.06.04,0.26,0.27,0.26,0.26,680,11305600,1
2012.06.05,0.26,0.26,0.26,0.26,687,17353600,1
2012.06.06,0.26,0.27,0.26,0.26,584,9030400,1
2012.06.08,0.27,0.27,0.26,0.26,653,7334400,1
2012.06.11,0.27,0.27,0.27,0.27,1328,20924800,1
2012.06.12,0.27,0.28,0.27,0.28,610,7849600,1
2012.06.13,0.28,0.3,0.28,0.28,676,8326400,1
2012.06.14,0.28,0.29,0.28,0.29,616,4940800,1
2012.06.15,0.29,0.29,0.28,0.29,741,7680000,1
2012.06.18,0.29,0.29,0.29,0.29,766,10124800,1
2012.06.19,0.29,0.3,0.29,0.3,647,7385600,1
2012.06.20,0.29,0.3,0.28,0.29,835,8896000,1
2012.06.21,0.29,0.29,0.28,0.28,430,3158400,1
2012.06.22,0.29,0.29,0.28,0.28,788,11283200,1
2012.06.25,0.28,0.28,0.27,0.28,593,10892800,1
2012.06.26,0.28,0.28,0.27,0.27,1356,14576000,1
2012.06.27,0.27,0.27,0.26,0.26,614,9315200,1
2012.06.28,0.26,0.26,0.25,0.26,711,13526400,1
2012.06.29,0.26,0.27,0.26,0.27,687,11283200,1
2012.07.02,0.27,0.27,0.27,0.27,713,5811200,1
2012.07.03,0.27,0.28,0.26,0.28,1197,10896000,1
2012.07.04,0.28,0.28,0.27,0.28,420,3459200,1
2012.07.05,0.28,0.28,0.27,0.28,524,6256000,1
2012.07.06,0.27,0.28,0.27,0.28,906,7760000,1
2012.07.10,0.28,0.28,0.27,0.27,453,3862400,1
