<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2011.06.01;10:00:00;0.46;0.46;0.46;0.46;57;3308800;1
2011.06.01;11:00:00;0.46;0.46;0.46;0.46;54;3600000;1
2011.06.01;12:00:00;0.46;0.46;0.46;0.46;24;134400;1
2011.06.01;13:00:00;0.46;0.46;0.46;0.46;55;723200;1
2011.06.01;14:00:00;0.46;0.46;0.46;0.46;19;217600;1
2011.06.01;15:00:00;0.46;0.46;0.46;0.46;66;995200;1
2011.06.01;16:00:00;0.46;0.47;0.46;0.47;239;5081600;1
2011.06.02;10:00:00;0.46;0.46;0.46;0.46;24;150400;1
2011.06.02;11:00:00;0.46;0.47;0.46;0.47;277;3152000;1
2011.06.02;12:00:00;0.47;0.47;0.47;0.47;165;2012800;1
2011.06.02;13:00:00;0.47;0.47;0.47;0.47;106;1184000;1
2011.06.02;14:00:00;0.47;0.47;0.47;0.47;81;796800;1
2011.06.02;15:00:00;0.47;0.48;0.47;0.48;204;2358400;1
2011.06.02;16:00:00;0.48;0.48;0.47;0.47;205;4211200;1
2011.06.03;10:00:00;0.47;0.47;0.47;0.47;50;409600;1
2011.06.03;11:00:00;0.47;0.47;0.47;0.47;118;934400;1
2011.06.03;12:00:00;0.47;0.48;0.47;0.48;138;851200;1
2011.06.03;13:00:00;0.48;0.48;0.48;0.48;158;1552000;1
2011.06.03;14:00:00;0.48;0.48;0.47;0.48;135;1232000;1
2011.06.03;15:00:00;0.48;0.48;0.47;0.48;201;3385600;1
2011.06.03;16:00:00;0.48;0.48;0.48;0.48;195;4604800;1
2011.06.06;10:00:00;0.48;0.48;0.48;0.48;71;550400;1
2011.06.06;11:00:00;0.48;0.48;0.48;0.48;88;832000;1
2011.06.06;12:00:00;0.48;0.48;0.48;0.48;102;928000;1
2011.06.06;13:00:00;0.48;0.49;0.48;0.48;167;1948800;1
2011.06.06;14:00:00;0.48;0.48;0.48;0.48;104;1033600;1
2011.06.06;15:00:00;0.48;0.48;0.48;0.48;115;1337600;1
2011.06.06;16:00:00;0.48;0.48;0.48;0.48;193;3811200;1
2011.06.07;10:00:00;0.48;0.48;0.48;0.48;153;928000;1
2011.06.07;11:00:00;0.48;0.48;0.48;0.48;153;1353600;1
2011.06.07;12:00:00;0.48;0.48;0.48;0.48;142;2403200;1
2011.06.07;13:00:00;0.48;0.48;0.48;0.48;109;489600;1
2011.06.07;14:00:00;0.48;0.48;0.48;0.48;58;630400;1
2011.06.07;15:00:00;0.48;0.48;0.48;0.48;197;6166400;1
2011.06.07;16:00:00;0.48;0.48;0.47;0.48;133;6988800;1
2011.06.08;10:00:00;0.48;0.48;0.47;0.48;130;454400;1
2011.06.08;11:00:00;0.48;0.48;0.48;0.48;130;428800;1
2011.06.08;12:00:00;0.48;0.48;0.47;0.48;147;672000;1
2011.06.08;13:00:00;0.48;0.48;0.48;0.48;187;1641600;1
2011.06.08;14:00:00;0.48;0.48;0.48;0.48;201;2780800;1
