<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2011.05.29;0.46;0.48;0.46;0.48;2571;40896000;1
2011.06.05;0.48;0.50;0.47;0.49;6752;90848000;1
2011.06.12;0.49;0.51;0.46;0.48;7250;88256000;1
2011.06.19;0.47;0.48;0.46;0.47;3716;30076800;1
2011.06.26;0.48;0.48;0.46;0.47;5686;65283200;1
2011.07.03;0.47;0.49;0.46;0.47;5620;92355200;1
2011.07.10;0.46;0.47;0.41;0.42;7556;71840000;1
2011.07.17;0.42;0.43;0.40;0.43;7707;63734400;1
2011.07.24;0.42;0.45;0.39;0.40;6495;72480000;1
2011.07.31;0.40;0.41;0.32;0.34;5757;70723200;1
2011.08.07;0.31;0.38;0.30;0.38;7278;100380800;1
2011.08.14;0.37;0.39;0.35;0.37;6179;51955200;1
2011.08.21;0.37;0.38;0.34;0.34;6691;45721600;1
2011.08.28;0.35;0.42;0.34;0.41;9323;150739200;1
2011.09.04;0.41;0.44;0.39;0.42;7528;71440000;1
2011.09.11;0.40;0.43;0.39;0.40;10390;96736000;1
2011.09.18;0.40;0.40;0.34;0.35;7508;88761600;1
2011.09.25;0.36;0.36;0.33;0.34;7499;86921600;1
2011.10.02;0.34;0.34;0.32;0.32;7326;65910400;1
2011.10.09;0.33;0.35;0.33;0.35;6482;78156800;1
2011.10.16;0.34;0.37;0.34;0.36;8566;101564800;1
2011.10.23;0.36;0.39;0.35;0.39;7493;101648000;1
2011.10.30;0.39;0.39;0.36;0.37;5147;57622400;1
2011.11.06;0.38;0.39;0.33;0.34;9114;166390400;1
2011.11.13;0.34;0.34;0.32;0.32;9046;118134400;1
2011.11.20;0.32;0.32;0.28;0.29;9283;101817600;1
2011.11.27;0.29;0.35;0.29;0.33;13599;216544000;1
2011.12.04;0.33;0.34;0.30;0.30;6496;75212800;1
2011.12.11;0.30;0.30;0.29;0.30;8451;76985600;1
2011.12.18;0.30;0.31;0.26;0.27;11870;155136000;1
2011.12.25;0.27;0.28;0.26;0.28;4469;56096000;1
2012.01.01;0.27;0.27;0.26;0.27;7567;79644800;1
2012.01.08;0.27;0.27;0.26;0.27;8784;100227200;1
2012.01.15;0.27;0.28;0.27;0.28;6968;109760000;1
2012.01.22;0.28;0.30;0.28;0.30;6744;108883200;1
2012.01.29;0.29;0.31;0.28;0.29;11437;264934400;1
2012.02.05;0.29;0.29;0.28;0.29;8736;213945600;1
2012.02.12;0.29;0.30;0.28;0.29;9425;137712000;1
2012.02.19;0.30;0.35;0.29;0.34;9364;190483200;1
2012.02.26;0.33;0.35;0.32;0.35;6210;96297600;1
2012.03.04;0.34;0.37;0.32;0.36;8909;164963200;1
2012.03.11;0.36;0.36;0.33;0.33;5699;102288000;1
2012.03.18;0.33;0.35;0.32;0.34;6431;135609600;1
2012.03.25;0.35;0.36;0.33;0.35;8061;116387200;1
2012.04.01;0.35;0.36;0.34;0.35;4968;61062400;1
2012.04.08;0.35;0.36;0.33;0.35;3077;54528000;1
2012.04.15;0.36;0.37;0.34;0.34;6612;81795200;1
2012.04.22;0.34;0.34;0.31;0.33;6621;77334400;1
2012.04.29;0.33;0.36;0.32;0.35;5332;70483200;1
2012.05.06;0.34;0.36;0.34;0.35;5698;46790400;1
2012.05.13;0.34;0.34;0.26;0.26;7099;135113600;1
2012.05.20;0.26;0.27;0.25;0.27;9496;128480000;1
2012.05.27;0.27;0.29;0.26;0.26;6703;67996800;1
2012.06.03;0.26;0.27;0.26;0.26;2604;45024000;1
2012.06.10;0.27;0.30;0.27;0.29;3971;49721600;1
2012.06.17;0.29;0.30;0.28;0.28;3466;40848000;1
2012.06.24;0.28;0.28;0.25;0.27;3961;59593600;1
2012.07.01;0.27;0.28;0.26;0.28;3760;34182400;1
2012.07.08;0.28;0.28;0.26;0.27;2512;19616000;1
2012.07.15;0.27;0.28;0.26;0.28;4127;71308800;1
2012.07.22;0.27;0.29;0.26;0.29;5169;39907200;1
2012.07.29;0.29;0.31;0.29;0.31;4339;43184000;1
2012.08.05;0.30;0.33;0.30;0.31;6052;92217600;1
2012.08.12;0.31;0.32;0.30;0.32;6139;78035200;1
2012.08.19;0.32;0.32;0.31;0.32;4528;49840000;1
2012.08.26;0.32;0.34;0.31;0.33;5477;67299200;1
2012.09.02;0.33;0.36;0.32;0.35;4945;63366400;1
2012.09.09;0.36;0.38;0.35;0.37;5663;108160000;1
2012.09.16;0.37;0.38;0.36;0.38;5468;68262400;1
2012.09.23;0.37;0.38;0.35;0.35;7755;65936000;1
2012.09.30;0.35;0.38;0.34;0.37;7892;73254400;1
2012.10.07;0.37;0.38;0.35;0.37;5461;46950400;1
2012.10.14;0.37;0.38;0.35;0.35;5371;43465600;1
2012.10.21;0.35;0.36;0.33;0.33;6723;47046400;1
2012.10.28;0.34;0.34;0.32;0.33;5899;42905600;1
2012.11.04;0.34;0.34;0.32;0.32;6268;65113600;1
2012.11.11;0.32;0.32;0.30;0.31;7186;58780800;1
2012.11.18;0.31;0.31;0.30;0.31;5210;34624000;1
2012.11.25;0.31;0.33;0.30;0.33;6400;52323200;1
2012.12.02;0.33;0.34;0.32;0.33;7922;65385600;1
2012.12.09;0.33;0.35;0.32;0.35;7892;72889600;1
2012.12.16;0.35;0.36;0.34;0.35;7894;74924800;1
2012.12.23;0.35;0.36;0.34;0.35;4678;39545600;1
2012.12.30;0.35;0.40;0.35;0.38;6991;71945600;1
2013.01.06;0.38;0.38;0.36;0.36;8238;135264000;1
2013.01.13;0.37;0.38;0.35;0.35;10042;105897600;1
2013.01.20;0.35;0.36;0.33;0.33;11125;126787200;1
2013.01.27;0.33;0.37;0.33;0.36;14524;119680000;1
2013.02.03;0.36;0.37;0.32;0.33;13660;139942400;1
2013.02.10;0.33;0.33;0.32;0.32;3948;35331200;1
2013.02.17;0.32;0.32;0.30;0.31;9282;81628800;1
2013.02.24;0.31;0.32;0.29;0.29;10177;242166400;1
2013.03.03;0.29;0.29;0.27;0.27;16660;137315200;1
2013.03.10;0.27;0.29;0.27;0.27;8569;95171200;1
2013.03.17;0.27;0.27;0.26;0.26;8549;63065600;1
2013.03.24;0.26;0.27;0.25;0.26;6896;75696000;1
2013.03.31;0.26;0.27;0.25;0.26;8936;72518400;1
2013.04.07;0.26;0.27;0.24;0.25;9819;105180800;1
2013.04.14;0.26;0.26;0.23;0.24;10480;106444800;1
2013.04.21;0.24;0.24;0.22;0.22;8578;83644800;1
2013.04.28;0.22;0.23;0.20;0.23;15204;169014400;1
2013.05.05;0.23;0.24;0.23;0.23;10233;94435200;1
2013.05.12;0.23;0.24;0.22;0.24;9814;100460800;1
2013.05.19;0.24;0.27;0.24;0.25;19002;208294400;1
2013.05.26;0.26;0.27;0.24;0.24;9993;100172800;1
2013.06.02;0.24;0.25;0.23;0.23;11352;92320000;1
2013.06.09;0.24;0.24;0.22;0.22;10438;272355200;1
2013.06.16;0.22;0.22;0.18;0.18;17226;148966400;1
2013.06.23;0.18;0.18;0.16;0.16;17833;224675200;1
2013.06.30;0.16;0.16;0.14;0.14;13259;185228800;1
2013.07.07;0.14;0.16;0.13;0.15;12989;220131200;1
2013.07.14;0.15;0.18;0.15;0.17;17365;268710400;1
2013.07.21;0.17;0.18;0.16;0.16;8544;136675200;1
2013.07.28;0.17;0.17;0.14;0.15;11192;131894400;1
2013.08.04;0.15;0.20;0.14;0.18;22482;488592000;1
2013.08.11;0.18;0.18;0.16;0.17;17120;216188800;1
2013.08.18;0.17;0.17;0.16;0.17;11719;153328000;1
2013.08.25;0.17;0.18;0.16;0.17;10586;126272000;1
2013.09.01;0.17;0.18;0.17;0.18;10711;112787200;1
2013.09.08;0.18;0.21;0.18;0.20;13499;147513600;1
2013.09.15;0.20;0.23;0.20;0.21;13012;159923200;1
2013.09.22;0.22;0.22;0.21;0.22;8894;151068800;1
2013.09.29;0.22;0.22;0.21;0.22;8706;86387200;1
2013.10.06;0.22;0.25;0.22;0.24;11144;128816000;1
2013.10.13;0.24;0.28;0.24;0.27;18975;163849600;1
2013.10.20;0.27;0.28;0.25;0.26;12149;105321600;1
2013.10.27;0.26;0.28;0.26;0.27;12948;134508800;1
2013.11.03;0.28;0.29;0.26;0.29;13498;133136000;1
2013.11.10;0.29;0.30;0.24;0.26;12186;124585600;1
2013.11.17;0.26;0.27;0.25;0.26;13387;96870400;1
2013.11.24;0.26;0.26;0.24;0.24;13577;116585600;1
2013.12.01;0.24;0.25;0.22;0.24;16804;153116800;1
2013.12.08;0.24;0.24;0.22;0.22;17213;164652800;1
2013.12.15;0.22;0.22;0.21;0.21;16464;170780800;1
2013.12.22;0.21;0.21;0.21;0.21;3267;45600000;1
2013.12.29;0.22;0.23;0.20;0.22;8423;82038400;1
2014.01.05;0.22;0.24;0.22;0.24;16673;168320000;1
2014.01.12;0.24;0.24;0.23;0.24;11281;94393600;1
2014.01.19;0.24;0.26;0.23;0.24;16579;127929600;1
2014.01.26;0.24;0.24;0.22;0.23;7673;82086400;1
2014.02.02;0.23;0.24;0.21;0.24;19575;184889600;1
2014.02.09;0.24;0.24;0.22;0.22;14675;156857600;1
2014.02.16;0.23;0.23;0.21;0.22;13317;156403200;1
2014.02.23;0.22;0.22;0.20;0.21;21238;197174400;1
2014.03.02;0.21;0.21;0.20;0.20;7743;120172800;1
2014.03.09;0.20;0.20;0.17;0.18;13494;232240000;1
2014.03.16;0.18;0.19;0.17;0.19;10824;171516800;1
2014.03.23;0.19;0.19;0.18;0.19;12562;178988800;1
2014.03.30;0.19;0.21;0.19;0.20;11593;147417600;1
2014.04.06;0.21;0.21;0.20;0.21;9412;115558400;1
2014.04.13;0.21;0.21;0.20;0.21;7975;69299200;1
2014.04.20;0.21;0.21;0.20;0.21;6983;71862400;1
2014.04.27;0.21;0.24;0.21;0.23;11132;138108800;1
2014.05.04;0.24;0.26;0.23;0.25;19316;276576000;1
2014.05.11;0.25;0.26;0.24;0.25;8979;102892800;1
2014.05.18;0.25;0.27;0.24;0.26;11459;164953600;1
