Date,Open,High,Low,Close,Ticks,Volume,Spread
2010.02.01,26.36,26.52,26.06,26.37,13168,15869300,1
2010.02.02,26.53,26.65,26.18,26.22,15765,15289600,1
2010.02.03,26.18,26.28,25.93,26.17,14085,16091200,1
2010.02.04,26.02,26.09,24.69,24.83,23120,24280300,1
2010.02.05,24.45,24.81,23.62,24.23,27113,29033800,1
2010.02.08,24.45,24.8,24.16,24.4,14446,18684700,1
2010.02.09,24.75,25.12,24.68,24.79,14651,18104200,1
2010.02.10,24.85,25.16,24.42,25.09,16159,21910900,1
2010.02.11,25.29,25.73,25.16,25.65,19490,24109000,1
2010.02.12,25.37,26.15,25.33,25.98,16425,19333100,1
2010.02.17,26.44,26.52,26.16,26.33,16755,16625900,1
2010.02.18,26.32,26.67,26.0,26.67,15697,17017800,1
2010.02.19,26.46,26.64,26.26,26.41,12407,11889400,1
2010.02.22,26.52,26.82,26.45,26.64,24336,19817500,1
2010.02.23,26.45,26.64,26.14,26.28,16425,16937500,1
2010.02.24,26.36,26.41,25.86,26.09,11916,13561000,1
2010.02.25,25.74,26.52,25.57,26.43,17164,18650100,1
2010.02.26,26.59,26.72,26.3,26.61,15690,17804300,1
2010.03.01,26.77,26.95,26.46,26.85,16910,16959300,1
2010.03.02,27.1,27.31,27.0,27.0,15493,17109100,1
2010.03.03,27.12,27.54,26.95,27.02,16879,20134400,1
2010.03.04,27.21,27.28,26.76,27.06,13613,14068900,1
2010.03.05,27.44,27.61,27.21,27.53,17688,28235000,1
2010.03.08,27.63,27.67,27.22,27.45,11290,15903300,1
2010.03.09,27.29,28.33,27.26,28.06,26010,68696600,1
2010.03.10,28.35,28.57,28.18,28.45,23653,32199000,1
2010.03.11,28.39,28.81,28.3,28.48,16135,19449600,1
2010.03.12,28.6,28.76,28.49,28.49,13238,13940300,1
2010.03.15,28.26,28.62,28.04,28.27,18371,19844600,1
2010.03.16,28.39,28.61,28.21,28.61,11768,12807500,1
2010.03.17,28.78,28.81,28.39,28.56,11144,10306100,1
2010.03.18,28.55,28.75,28.26,28.46,10150,12061700,1
2010.03.19,28.45,28.51,27.8,27.85,21137,24306500,1
2010.03.22,27.38,27.95,27.29,27.86,13189,13489200,1
2010.03.23,27.97,28.0,27.45,27.54,16059,17207000,1
2010.03.24,27.52,28.11,27.37,27.75,17203,19783500,1
2010.03.25,27.93,28.01,27.06,27.06,18202,17698800,1
2010.03.26,27.22,27.33,26.37,26.52,33205,28820500,1
2010.03.29,26.71,27.06,26.23,26.83,15494,19312800,1
2010.03.30,26.98,27.14,26.72,26.75,10889,12365900,1
2010.03.31,26.6,27.21,26.53,27.21,17185,16551700,1
2010.04.01,27.41,27.6,27.33,27.48,13729,13721900,1
2010.04.05,27.64,27.87,27.54,27.68,11875,12120300,1
2010.04.06,27.61,27.99,27.55,27.74,11856,13416200,1
2010.04.07,27.63,27.86,27.36,27.52,17080,15082200,1
2010.04.08,27.35,27.6,27.26,27.53,11560,13552100,1
2010.04.09,27.52,27.75,27.08,27.08,16024,17017800,1
2010.04.12,27.1,27.24,26.35,26.44,19043,29883800,1
2010.04.13,26.5,26.59,26.06,26.28,26412,19661600,1
2010.04.14,26.37,26.52,26.18,26.33,16647,17377900,1
2010.04.15,26.35,26.48,25.79,25.83,30313,43410700,1
2010.04.16,25.75,25.82,25.15,25.33,35887,48889400,1
2010.04.19,25.06,25.79,24.99,25.79,19326,24002700,1
2010.04.20,25.98,26.37,25.98,26.37,19351,22158800,1
2010.04.22,26.06,26.17,25.69,26.03,17555,19892800,1
2010.04.23,26.01,26.34,25.99,26.34,11400,12312800,1
2010.04.26,26.42,26.48,25.81,25.81,12297,13824600,1
2010.04.27,25.62,25.64,24.87,24.87,21394,23019700,1
2010.04.28,25.04,25.57,24.71,25.09,19585,17380900,1
2010.04.29,25.44,25.64,25.19,25.58,12531,11932800,1
2010.04.30,25.42,25.72,25.23,25.41,16360,15687800,1
2010.05.03,25.22,25.28,24.37,24.4,25458,28849400,1
2010.05.04,24.17,24.23,23.17,23.58,38051,39270400,1
2010.05.05,23.24,23.87,23.06,23.41,28444,29471100,1
2010.05.06,23.31,23.85,21.93,23.1,32592,32017500,1
2010.05.07,23.23,23.48,22.58,23.05,26518,24452400,1
2010.05.10,24.02,24.09,23.36,23.36,23021,20923900,1
2010.05.11,23.1,23.46,22.93,22.95,17545,17078900,1
