Date,Time,Open,High,Low,Close,Ticks,Volume,Spread
2010.02.01,11:00:00,26.36,26.36,26.06,26.1,2435,2294200,1
2010.02.01,12:00:00,26.12,26.28,26.08,26.25,2050,1991700,1
2010.02.01,13:00:00,26.25,26.37,26.19,26.23,2030,2874000,1
2010.02.01,14:00:00,26.23,26.34,26.22,26.28,786,749900,1
2010.02.01,15:00:00,26.28,26.49,26.23,26.43,1944,2398700,1
2010.02.01,16:00:00,26.43,26.52,26.34,26.49,1872,2021600,1
2010.02.01,17:00:00,26.46,26.5,26.28,26.37,2051,3539200,1
2010.02.02,11:00:00,26.53,26.65,26.36,26.42,2375,2108200,1
2010.02.02,12:00:00,26.39,26.44,26.23,26.25,2727,2366900,1
2010.02.02,13:00:00,26.26,26.41,26.18,26.32,2374,1826800,1
2010.02.02,14:00:00,26.31,26.37,26.25,26.33,1715,1735900,1
2010.02.02,15:00:00,26.33,26.41,26.28,26.35,1890,1557700,1
2010.02.02,16:00:00,26.35,26.38,26.3,26.33,2110,2143100,1
2010.02.02,17:00:00,26.32,26.35,26.19,26.22,2574,3551000,1
2010.02.03,11:00:00,26.18,26.19,25.93,25.98,3052,3552200,1
2010.02.03,12:00:00,25.98,26.18,25.96,26.14,1669,2670200,1
2010.02.03,13:00:00,26.14,26.17,26.02,26.15,1598,2208500,1
2010.02.03,14:00:00,26.13,26.28,26.05,26.12,1714,2254900,1
2010.02.03,15:00:00,26.12,26.18,26.09,26.15,1542,1149800,1
2010.02.03,16:00:00,26.15,26.26,26.12,26.14,2341,1844200,1
2010.02.03,17:00:00,26.14,26.18,26.08,26.17,2169,2411400,1
2010.02.04,11:00:00,26.02,26.09,25.81,25.87,1869,2156100,1
2010.02.04,12:00:00,25.87,25.95,25.62,25.66,3128,3194500,1
2010.02.04,13:00:00,25.65,25.72,25.38,25.38,3941,3318200,1
2010.02.04,14:00:00,25.38,25.43,25.18,25.25,3034,2859100,1
2010.02.04,15:00:00,25.25,25.32,24.99,25.03,3319,2918700,1
2010.02.04,16:00:00,25.02,25.1,24.88,24.9,3875,4112800,1
2010.02.04,17:00:00,24.9,24.96,24.69,24.83,3954,5720900,1
2010.02.05,11:00:00,24.45,24.81,24.09,24.7,6143,6444800,1
2010.02.05,12:00:00,24.7,24.7,24.22,24.26,3302,3581300,1
2010.02.05,13:00:00,24.25,24.29,23.98,24.18,3582,3778900,1
2010.02.05,14:00:00,24.19,24.31,23.91,23.96,2531,2425200,1
2010.02.05,15:00:00,23.97,24.1,23.89,24.0,2917,2485300,1
2010.02.05,16:00:00,24.02,24.03,23.62,23.73,4626,4770400,1
2010.02.05,17:00:00,23.72,24.23,23.72,24.23,4012,5547900,1
2010.02.08,11:00:00,24.45,24.6,24.25,24.32,2323,4138200,1
2010.02.08,12:00:00,24.32,24.46,24.16,24.33,2460,2855000,1
2010.02.08,13:00:00,24.33,24.74,24.32,24.72,2484,4019300,1
2010.02.08,14:00:00,24.72,24.8,24.52,24.56,1786,2403600,1
2010.02.08,15:00:00,24.56,24.73,24.5,24.64,2142,1815200,1
2010.02.08,16:00:00,24.62,24.63,24.34,24.37,1699,1639400,1
2010.02.08,17:00:00,24.37,24.5,24.36,24.4,1552,1814000,1
2010.02.09,11:00:00,24.75,24.89,24.69,24.87,2180,2675800,1
2010.02.09,12:00:00,24.87,24.96,24.78,24.85,2319,3133100,1
2010.02.09,13:00:00,24.85,24.94,24.78,24.87,1658,1883500,1
2010.02.09,14:00:00,24.87,24.99,24.68,24.89,2637,3943300,1
2010.02.09,15:00:00,24.89,25.12,24.83,24.92,2378,2973400,1
2010.02.09,16:00:00,24.92,25.01,24.83,24.89,1442,1179200,1
2010.02.09,17:00:00,24.89,24.93,24.79,24.79,2037,2315900,1
2010.02.10,11:00:00,24.85,24.87,24.42,24.57,3780,4666200,1
2010.02.10,12:00:00,24.57,24.82,24.56,24.75,3001,4052900,1
2010.02.10,13:00:00,24.75,24.75,24.59,24.67,2027,2754200,1
2010.02.10,14:00:00,24.65,24.82,24.6,24.75,1265,1498600,1
2010.02.10,15:00:00,24.75,25.02,24.72,24.91,1911,3009600,1
2010.02.10,16:00:00,24.93,25.16,24.91,24.99,2394,3218600,1
2010.02.10,17:00:00,24.99,25.09,24.95,25.09,1781,2710800,1
2010.02.11,11:00:00,25.29,25.73,25.18,25.68,4169,5978300,1
2010.02.11,12:00:00,25.66,25.68,25.25,25.29,4535,5377200,1
2010.02.11,13:00:00,25.29,25.49,25.16,25.34,2428,3077000,1
2010.02.11,14:00:00,25.36,25.6,25.32,25.46,2344,2899100,1
2010.02.11,15:00:00,25.48,25.67,25.46,25.65,2338,2541600,1
2010.02.11,16:00:00,25.65,25.69,25.49,25.56,1792,1722500,1
2010.02.11,17:00:00,25.56,25.66,25.55,25.65,1884,2513300,1
2010.02.12,11:00:00,25.37,25.62,25.33,25.51,1506,2254700,1
2010.02.12,12:00:00,25.52,25.62,25.38,25.58,1953,2854900,1
2010.02.12,13:00:00,25.57,25.65,25.43,25.59,1896,1868500,1
2010.02.12,14:00:00,25.59,25.81,25.54,25.75,2154,2218000,1
2010.02.12,15:00:00,25.75,26.0,25.74,25.93,3187,3799200,1
2010.02.12,16:00:00,25.93,26.06,25.75,26.06,3161,2780900,1
2010.02.12,17:00:00,26.06,26.15,25.97,25.98,2568,3556900,1
2010.02.17,13:00:00,26.44,26.52,26.16,26.32,4016,4159100,1
2010.02.17,14:00:00,26.32,26.46,26.16,26.27,4080,4074700,1
2010.02.17,15:00:00,26.26,26.38,26.24,26.33,2286,2378800,1
2010.02.17,16:00:00,26.34,26.42,26.32,26.38,2889,2558600,1
2010.02.17,17:00:00,26.39,26.41,26.29,26.33,3484,3454700,1
2010.02.18,11:00:00,26.32,26.4,26.0,26.14,2572,3216400,1
2010.02.18,12:00:00,26.15,26.37,26.08,26.31,2043,2397200,1
2010.02.18,13:00:00,26.29,26.41,26.23,26.35,1715,1573900,1
2010.02.18,14:00:00,26.34,26.39,26.3,26.34,1636,1649700,1
