<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2010.02.01;26.36;26.82;23.62;26.61;304812;335009600;1
2010.03.01;26.77;28.81;26.23;27.21;384905;471251300;1
2010.04.01;27.41;27.99;24.71;25.41;360225;404346800;1
2010.05.01;25.22;25.28;20.29;23.10;495627;483696400;1
2010.06.01;22.63;23.71;20.85;20.96;370086;369314500;1
2010.07.01;21.16;22.07;20.53;21.74;270009;248300500;1
2010.08.01;21.99;23.22;20.00;20.48;407001;371863300;1
2010.09.01;20.67;23.02;20.24;21.45;591385;769544800;1
2010.10.01;21.68;21.89;18.79;20.32;631326;718518100;1
2010.11.01;20.48;21.94;19.30;19.43;433897;477487400;1
2010.12.01;19.78;21.85;19.73;21.73;396846;403969100;1
2011.01.01;21.90;22.39;20.90;21.57;425541;464932900;1
2011.02.01;21.74;23.30;20.79;22.76;566654;577381300;1
2011.03.01;22.69;23.23;21.86;22.83;408843;410398800;1
2011.04.01;22.92;23.10;20.23;20.60;393431;400512500;1
2011.05.01;20.69;20.84;18.94;19.55;411102;405431600;1
2011.06.01;19.48;19.61;18.55;19.25;397191;366707200;1
2011.07.01;19.20;19.46;18.17;19.07;358844;345525300;1
2011.08.01;19.20;19.28;15.04;17.03;698132;597969400;1
2011.09.01;17.29;17.31;15.50;15.64;457713;378219400;1
2011.10.01;15.52;18.00;14.66;17.46;512714;480230600;1
2011.11.01;16.70;18.78;16.70;18.22;443135;414894400;1
2011.12.01;18.45;19.39;17.35;17.76;540730;389886800;1
2012.01.01;17.77;21.59;17.57;20.49;754390;495571300;1
2012.02.01;20.60;21.58;18.94;20.27;881702;580525500;1
2012.03.01;20.44;21.10;19.22;19.57;645444;469323500;1
2012.04.01;19.51;19.78;17.44;17.85;594382;364862200;1
2012.05.01;17.82;18.65;15.31;16.20;783459;597573600;1
2012.06.01;15.69;17.07;14.75;15.46;678511;584602000;1
2012.07.01;15.33;17.20;15.22;16.52;624183;526765900;1
2012.08.01;16.52;18.53;15.95;17.58;674381;573494700;1
2012.09.01;17.59;20.19;17.18;18.95;581945;425693600;1
2012.10.01;18.91;19.57;17.62;17.62;569757;430236800;1
2012.11.01;17.72;18.46;15.54;15.80;570870;457393200;1
2012.12.01;15.99;17.86;15.80;16.53;538363;491895400;1
2013.01.01;16.93;17.51;15.16;15.31;671508;545159900;1
2013.02.01;15.36;15.80;14.00;14.07;584110;561154900;1
2013.03.01;13.98;16.58;13.89;15.54;728981;624962100;1
2013.04.01;15.47;17.69;14.38;17.69;730024;645180200;1
2013.05.01;17.48;18.34;16.95;17.66;629977;575127400;1
2013.06.01;17.71;18.03;13.71;14.25;761764;830245900;1
2013.07.01;14.27;15.05;13.16;14.35;671367;608451700;1
2013.08.01;14.71;16.46;14.18;14.80;780117;801059700;1
2013.09.01;15.10;17.01;14.58;16.17;608487;562388200;1
2013.10.01;16.32;18.11;15.60;17.99;821040;672252200;1
2013.11.01;17.72;18.88;16.34;16.84;608359;562105400;1
2013.12.01;15.73;15.91;14.70;15.04;549358;484730100;1
2014.01.01;15.10;15.15;12.81;12.95;591664;540983900;1
2014.02.01;12.85;13.30;11.94;11.97;712250;590169300;1
2014.03.01;12.07;13.90;11.07;13.90;848521;743914600;1
2014.04.01;13.84;16.03;13.63;15.53;930336;785025600;1
2014.05.01;15.51;17.67;15.48;15.65;804959;653411300;1
2014.06.01;15.75;17.93;15.27;16.21;651666;593009100;1
2014.07.01;16.26;19.90;15.80;17.91;911186;787419600;1
2014.08.01;17.82;22.11;17.18;21.89;1166498;1061395200;1
2014.09.01;22.45;23.34;16.64;16.96;1479125;1326536100;1
2014.10.01;16.59;21.12;12.90;14.32;2308216;2060803800;1
2014.11.01;14.02;14.31;11.25;12.00;1012777;934872800;1
2014.12.01;11.82;12.00;8.02;9.39;992836;1059636800;1
2015.01.01;9.37;9.81;7.54;7.67;1217221;1376465100;1
2015.02.01;7.93;10.11;7.62;8.97;1047342;1161904500;1
2015.03.01;8.85;9.34;7.65;9.12;931352;1074653200;1
2015.04.01;9.31;12.92;9.25;12.23;1471961;1509545500;1
2015.05.01;12.48;14.02;11.52;11.56;1041140;1023967400;1
2015.06.01;11.65;12.74;11.48;11.91;729763;810799000;1
2015.07.01;12.00;12.05;8.92;9.84;926065;979459700;1
2015.08.01;9.71;9.89;7.06;8.62;1004439;993212500;1
2015.09.01;8.20;8.63;6.04;6.79;945446;1141110900;1
2015.10.01;6.85;8.50;6.47;7.23;1015304;1228949300;1
2015.11.01;7.35;8.11;6.78;7.19;755943;954185000;1
2015.12.01;7.19;7.66;6.11;6.28;713414;910330400;1
2016.01.01;6.16;6.59;3.86;4.54;771123;1378892000;1
2016.02.01;4.44;4.95;3.86;4.82;685914;1263761600;1
2016.03.01;4.98;8.44;4.78;7.83;1451371;2095369700;1
2016.04.01;7.55;9.88;6.95;9.59;891303;1396874600;1
2016.05.01;9.61;9.84;7.54;7.54;876088;1179943900;1
2016.06.01;7.58;9.14;7.37;8.83;817141;1176768500;1
2016.07.01;8.89;11.48;8.39;11.13;839505;1112159700;1
2016.08.01;11.18;12.40;10.41;12.05;793616;1127535300;1
2016.09.01;12.16;13.40;11.96;12.72;822318;1008872000;1
2016.10.01;12.81;17.33;12.77;16.58;899617;1128710400;1
2016.11.01;16.76;16.76;12.50;15.00;1201406;1299424600;1
2016.12.01;15.00;15.33;13.13;13.94;723080;785062600;1
2017.01.01;13.72;15.40;13.69;14.08;642292;651403800;1
2017.02.01;14.31;15.21;13.38;14.23;681996;676626300;1
2017.03.01;14.54;14.58;12.02;13.58;986225;959557000;1
2017.04.01;13.63;14.21;12.70;13.10;522915;658309900;1
2017.05.01;13.18;14.88;11.67;12.15;1036101;1050872000;1
2017.06.01;12.34;12.51;10.86;11.60;717323;852527600;1
