<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2010.01.31;26.36;26.65;23.62;24.23;93251;100564200;1
2010.02.07;24.45;26.15;24.16;25.98;81171;102141900;1
2010.02.14;26.44;26.67;26.00;26.41;44859;45533100;1
2010.02.21;26.52;26.82;25.57;26.61;85531;86770400;1
2010.02.28;26.77;27.61;26.46;27.53;80583;96506700;1
2010.03.07;27.63;28.81;27.22;28.49;90326;150188800;1
2010.03.14;28.26;28.81;27.80;27.85;72570;79326400;1
2010.03.21;27.38;28.11;26.37;26.52;97858;96999000;1
2010.03.28;26.71;27.60;26.23;27.48;57297;61952300;1
2010.04.04;27.64;27.99;27.08;27.08;68395;71188600;1
2010.04.11;27.10;27.24;25.15;25.33;128302;159223400;1
2010.04.18;25.06;26.37;24.99;26.34;67632;78367100;1
2010.04.25;26.42;26.48;24.71;25.41;82167;81845800;1
2010.05.02;25.22;25.28;21.93;23.05;151063;154060800;1
2010.05.09;24.02;24.09;22.71;23.31;92981;93771400;1
2010.05.16;23.40;23.54;21.02;21.37;133069;123247200;1
2010.05.23;21.38;22.01;20.29;22.01;104345;98346400;1
2010.05.30;22.02;23.17;22.02;22.83;79858;69294600;1
2010.06.06;22.98;23.71;22.89;23.12;83603;82210400;1
2010.06.13;23.34;23.37;22.42;23.02;79087;80270200;1
2010.06.20;23.19;23.39;21.31;21.78;99812;100021400;1
2010.06.27;21.79;21.90;20.53;20.89;74891;80509100;1
2010.07.04;20.90;21.57;20.71;21.52;56651;49831200;1
2010.07.11;21.56;21.65;20.85;20.95;57566;50852100;1
2010.07.18;20.96;22.07;20.82;21.69;66002;66300800;1
2010.07.25;21.69;21.98;21.42;21.74;56794;52595800;1
2010.08.01;21.99;23.22;21.97;22.87;100003;84975300;1
2010.08.08;23.07;23.07;21.38;21.74;82058;69492900;1
2010.08.15;21.70;22.44;20.88;21.05;95944;94868500;1
2010.08.22;21.16;21.37;20.04;20.88;90077;84578200;1
2010.08.29;20.71;22.73;20.00;22.64;125273;130261200;1
2010.09.05;22.94;23.02;21.37;21.63;86986;88831300;1
2010.09.12;21.81;22.46;20.24;20.78;124600;142618500;1
2010.09.19;20.77;21.58;20.30;20.67;169359;240266500;1
2010.09.26;20.70;21.97;20.48;21.62;148840;227946800;1
2010.10.03;21.60;21.89;19.37;20.44;179052;226933800;1
2010.10.10;20.52;20.94;20.00;20.66;107265;111621900;1
2010.10.17;20.55;20.83;18.79;19.03;152945;164038300;1
2010.10.24;19.22;21.26;19.14;20.32;167310;193493000;1
2010.10.31;20.48;21.85;20.38;21.53;103214;107637200;1
2010.11.07;21.42;21.94;20.40;20.43;108458;135920500;1
2010.11.14;20.43;20.61;19.86;20.31;85424;90148600;1
2010.11.21;20.26;20.28;19.30;19.44;96374;96766100;1
2010.11.28;19.40;20.31;19.33;20.31;103627;104242700;1
2010.12.05;20.35;20.77;19.75;20.31;98917;101853000;1
2010.12.12;20.46;20.61;19.79;20.50;84538;89498100;1
2010.12.19;20.50;20.60;20.20;20.50;62517;71853100;1
2010.12.26;20.35;21.85;20.32;21.73;87674;83537200;1
2011.01.02;21.90;21.96;21.02;21.28;120595;119764500;1
2011.01.09;21.22;22.39;21.16;21.94;97689;128796200;1
2011.01.16;21.83;22.26;21.47;21.54;92706;103673100;1
2011.01.23;21.56;21.76;20.90;21.24;83818;78751900;1
2011.01.30;21.39;22.47;21.23;21.99;134935;151229800;1
2011.02.06;22.14;22.19;20.79;21.02;121037;125865800;1
2011.02.13;21.03;21.86;20.89;21.79;105043;106303900;1
2011.02.20;21.87;23.30;21.70;22.77;207697;199037900;1
2011.02.27;22.65;23.23;22.42;23.16;117466;119572500;1
2011.03.06;22.96;22.99;22.03;22.43;57182;59438800;1
2011.03.13;22.30;22.63;21.86;22.22;112728;107860000;1
2011.03.20;22.42;23.05;22.28;22.93;100599;101156600;1
2011.03.27;22.87;23.06;22.63;23.01;64885;66410700;1
2011.04.03;23.06;23.10;22.20;22.43;83723;87291600;1
2011.04.10;22.41;22.41;20.76;21.24;133311;137656100;1
2011.04.17;21.07;21.07;20.40;21.05;73220;78818100;1
2011.04.24;21.07;21.16;20.23;20.60;87835;81598000;1
2011.05.01;20.69;20.84;19.43;19.49;111834;118129600;1
2011.05.08;19.51;20.01;19.02;19.09;103883;96308600;1
2011.05.15;19.02;20.03;18.94;19.47;107490;100797000;1
2011.05.22;19.07;19.84;19.00;19.72;67123;70484100;1
2011.05.29;19.74;19.76;19.21;19.30;70592;68683200;1
2011.06.05;19.37;19.43;18.55;19.25;112520;109125800;1
2011.06.12;19.29;19.33;18.74;18.86;90725;80610300;1
2011.06.19;18.83;19.21;18.55;18.56;74818;67069600;1
2011.06.26;18.67;19.39;18.56;19.28;87092;79129700;1
2011.07.03;19.25;19.46;18.90;19.03;69694;60418100;1
2011.07.10;18.83;19.03;18.55;18.66;80237;76767400;1
2011.07.17;18.51;18.89;18.17;18.64;80684;84897600;1
2011.07.24;18.74;19.42;18.71;19.07;110445;105243100;1
2011.07.31;19.20;19.28;16.15;16.52;160626;138001600;1
2011.08.07;15.74;16.80;15.04;16.62;237232;196183100;1
2011.08.14;16.78;17.18;16.13;16.13;136461;109415600;1
2011.08.21;16.46;16.66;15.97;16.29;107488;94586300;1
2011.08.28;16.52;17.31;16.40;16.68;118523;105748100;1
2011.09.04;16.29;17.09;16.11;16.50;82470;66995200;1
2011.09.11;16.21;17.05;16.15;16.91;92429;77543700;1
2011.09.18;16.64;17.26;15.65;15.69;119612;103551300;1
2011.09.25;15.84;16.46;15.50;15.64;101004;84163900;1
2011.10.02;15.52;15.63;14.66;14.98;144770;127733200;1
2011.10.09;15.15;16.13;15.02;16.08;97190;95355200;1
2011.10.16;15.92;16.13;15.24;15.78;99504;97672500;1
2011.10.23;15.88;17.67;15.75;17.67;131387;128556600;1
2011.10.30;17.73;18.16;16.70;18.09;121759;102061300;1
2011.11.06;18.05;18.78;17.55;17.98;124030;107054100;1
2011.11.13;18.06;18.36;17.74;17.97;74236;75915600;1
2011.11.20;17.69;18.16;17.36;17.36;95961;98201600;1
2011.11.27;17.77;18.78;17.62;18.62;121755;102414200;1
