Date,Open,High,Low,Close,Ticks,Volume,Spread
2011.03.09,34.7,35.29,34.34,34.41,5258,2628100,1
2011.03.10,33.98,33.98,33.19,33.43,8749,5862700,1
2011.03.11,33.31,33.96,33.03,33.89,8451,3897300,1
2011.03.14,33.64,34.01,33.3,34.01,5962,2864600,1
2011.03.15,32.86,33.53,32.55,33.4,9818,4634700,1
2011.03.16,33.66,33.67,32.47,32.56,8489,4272000,1
2011.03.17,33.08,33.59,32.92,33.49,8706,5078400,1
2011.03.18,33.73,34.18,33.66,33.93,5974,3065600,1
2011.03.21,34.43,34.52,33.95,34.01,4742,2107800,1
2011.03.22,33.91,33.93,33.4,33.82,8044,3153800,1
2011.03.23,33.82,34.44,33.82,34.32,7066,2787900,1
2011.03.24,34.43,34.43,33.62,33.91,7279,3479100,1
2011.03.25,34.01,34.23,33.47,33.92,5115,2177900,1
2011.03.28,33.63,34.1,33.57,33.69,5128,1970600,1
2011.03.29,33.78,34.59,33.74,34.39,6030,2643500,1
2011.03.30,34.19,34.55,33.85,33.94,15661,4862100,1
2011.03.31,34.01,34.34,33.52,34.23,7138,3926800,1
2011.04.01,34.17,34.49,33.88,34.01,4679,1916100,1
2011.04.04,34.3,34.75,33.77,34.75,10569,4200400,1
2011.04.05,34.48,35.16,34.48,34.91,8271,4676300,1
2011.04.06,35.02,35.1,34.28,34.36,8504,4522200,1
2011.04.07,34.36,34.42,33.82,34.08,6714,3407100,1
2011.04.08,34.25,34.25,33.77,34.01,6133,2722200,1
2011.04.11,34.18,34.37,33.89,34.05,5597,2679500,1
2011.04.12,33.7,33.76,33.22,33.37,6959,2915400,1
2011.04.13,33.59,33.62,32.8,32.89,8238,3692100,1
2011.04.14,32.93,33.42,32.81,33.3,8674,3970000,1
2011.04.15,33.44,33.49,32.96,33.22,4384,2343500,1
2011.04.18,33.02,33.09,32.48,32.89,4003,2222100,1
2011.04.19,33.07,33.26,32.86,33.18,4335,2737800,1
2011.04.20,33.85,33.85,33.58,33.79,6580,2879700,1
2011.04.25,33.8,34.12,33.44,34.12,7102,3007700,1
2011.04.26,34.09,34.19,33.92,34.15,7886,3452100,1
2011.04.27,34.09,34.15,33.38,33.7,8706,3603700,1
2011.04.28,33.41,33.73,33.29,33.44,8337,3962500,1
2011.04.29,33.51,33.79,33.12,33.63,7544,3882300,1
2011.05.02,33.65,33.74,32.94,33.26,6890,4291100,1
2011.05.03,33.12,33.12,32.41,32.5,6060,2769300,1
2011.05.04,32.65,32.66,31.84,31.9,12394,5822700,1
