Date,Time,Open,High,Low,Close,Ticks,Volume,Spread
2011.03.09,13:00:00,34.7,35.29,34.56,34.71,2522,1168200,1
2011.03.09,14:00:00,34.71,34.84,34.65,34.68,783,287700,1
2011.03.09,15:00:00,34.68,34.75,34.53,34.55,434,189100,1
2011.03.09,16:00:00,34.53,34.55,34.34,34.4,723,362000,1
2011.03.09,17:00:00,34.37,34.45,34.34,34.41,796,621100,1
2011.03.10,11:00:00,33.98,33.98,33.34,33.5,2161,1077200,1
2011.03.10,12:00:00,33.52,33.66,33.42,33.62,1191,1380500,1
2011.03.10,13:00:00,33.6,33.91,33.49,33.82,1214,714400,1
2011.03.10,14:00:00,33.82,33.82,33.6,33.68,830,418600,1
2011.03.10,15:00:00,33.67,33.75,33.42,33.48,1233,753500,1
2011.03.10,16:00:00,33.47,33.64,33.4,33.44,764,373900,1
2011.03.10,17:00:00,33.43,33.44,33.19,33.43,1356,1144600,1
2011.03.11,11:00:00,33.31,33.85,33.03,33.59,2338,942000,1
2011.03.11,12:00:00,33.58,33.75,33.5,33.66,1082,353600,1
2011.03.11,13:00:00,33.66,33.89,33.62,33.81,1256,641800,1
2011.03.11,14:00:00,33.84,33.96,33.59,33.68,1683,765700,1
2011.03.11,15:00:00,33.69,33.69,33.48,33.58,526,226000,1
2011.03.11,16:00:00,33.59,33.78,33.53,33.76,714,314900,1
2011.03.11,17:00:00,33.76,33.93,33.67,33.89,852,653300,1
2011.03.14,10:00:00,33.64,33.82,33.48,33.57,944,264100,1
2011.03.14,11:00:00,33.57,33.57,33.3,33.46,1365,434700,1
2011.03.14,12:00:00,33.47,33.56,33.4,33.55,711,589200,1
2011.03.14,13:00:00,33.51,33.7,33.46,33.69,669,241700,1
2011.03.14,14:00:00,33.67,33.78,33.66,33.67,783,331200,1
2011.03.14,15:00:00,33.67,33.88,33.67,33.75,505,361500,1
2011.03.14,16:00:00,33.75,34.01,33.69,34.01,985,642200,1
2011.03.15,10:00:00,32.86,32.99,32.55,32.78,2452,1170700,1
2011.03.15,11:00:00,32.78,33.23,32.76,33.19,1834,801100,1
2011.03.15,12:00:00,33.19,33.33,33.09,33.31,1153,414600,1
2011.03.15,13:00:00,33.3,33.35,33.14,33.19,955,424100,1
2011.03.15,14:00:00,33.19,33.34,33.08,33.33,988,433000,1
2011.03.15,15:00:00,33.33,33.51,33.24,33.38,1046,537100,1
2011.03.15,16:00:00,33.38,33.53,33.36,33.4,1390,854100,1
2011.03.16,10:00:00,33.66,33.67,33.35,33.52,905,338500,1
2011.03.16,11:00:00,33.52,33.59,33.15,33.16,1109,557000,1
2011.03.16,12:00:00,33.15,33.16,32.68,32.73,1580,873000,1
2011.03.16,13:00:00,32.71,32.81,32.64,32.67,557,193500,1
2011.03.16,14:00:00,32.66,32.77,32.64,32.7,654,227300,1
2011.03.16,15:00:00,32.71,32.83,32.47,32.76,1889,862300,1
2011.03.16,16:00:00,32.76,32.79,32.56,32.56,1795,1220400,1
2011.03.17,10:00:00,33.08,33.43,32.92,33.21,1720,981500,1
2011.03.17,11:00:00,33.2,33.45,33.19,33.3,1611,1555500,1
2011.03.17,12:00:00,33.3,33.46,33.24,33.35,989,429300,1
2011.03.17,13:00:00,33.37,33.46,33.33,33.43,649,303000,1
2011.03.17,14:00:00,33.41,33.59,33.37,33.54,1427,495600,1
2011.03.17,15:00:00,33.55,33.58,33.45,33.49,992,347500,1
2011.03.17,16:00:00,33.5,33.55,33.37,33.49,1318,966000,1
2011.03.18,10:00:00,33.73,34.07,33.66,34.05,1316,423100,1
2011.03.18,11:00:00,34.04,34.14,33.94,34.1,879,310300,1
2011.03.18,12:00:00,34.1,34.18,34.03,34.07,945,287700,1
2011.03.18,13:00:00,34.07,34.1,34.01,34.07,465,157700,1
2011.03.18,14:00:00,34.09,34.14,34.0,34.03,527,207300,1
2011.03.18,15:00:00,33.98,34.06,33.87,33.91,681,291700,1
2011.03.18,16:00:00,33.91,33.95,33.82,33.93,1161,1387800,1
2011.03.21,10:00:00,34.43,34.52,34.18,34.19,781,227600,1
2011.03.21,11:00:00,34.18,34.2,33.95,34.03,976,404900,1
2011.03.21,12:00:00,34.03,34.12,33.95,33.97,310,108000,1
2011.03.21,13:00:00,33.98,34.1,33.98,34.01,261,100300,1
2011.03.21,14:00:00,34.0,34.1,33.97,34.1,443,330100,1
2011.03.21,15:00:00,34.1,34.17,34.03,34.05,532,172100,1
2011.03.21,16:00:00,34.05,34.14,34.0,34.01,1439,764800,1
2011.03.22,10:00:00,33.91,33.93,33.53,33.6,2289,854900,1
2011.03.22,11:00:00,33.6,33.71,33.5,33.54,1265,399700,1
2011.03.22,12:00:00,33.53,33.58,33.4,33.55,1544,608900,1
2011.03.22,13:00:00,33.56,33.69,33.49,33.63,471,175600,1
2011.03.22,14:00:00,33.63,33.78,33.58,33.76,605,214000,1
2011.03.22,15:00:00,33.73,33.78,33.64,33.73,515,184500,1
2011.03.22,16:00:00,33.73,33.83,33.71,33.82,1355,716200,1
2011.03.23,10:00:00,33.82,34.12,33.82,34.05,1118,461400,1
2011.03.23,11:00:00,34.04,34.1,33.94,33.95,1512,635500,1
2011.03.23,12:00:00,33.96,34.11,33.88,34.07,800,228000,1
2011.03.23,13:00:00,34.05,34.09,33.95,34.07,538,155500,1
2011.03.23,14:00:00,34.05,34.16,33.99,34.12,454,142800,1
2011.03.23,15:00:00,34.12,34.39,34.07,34.34,1093,387300,1
2011.03.23,16:00:00,34.34,34.44,34.28,34.32,1551,777400,1
2011.03.24,10:00:00,34.43,34.43,33.76,33.85,1995,1052200,1
2011.03.24,11:00:00,33.85,33.98,33.69,33.98,944,443400,1
2011.03.24,12:00:00,33.97,34.01,33.78,33.99,807,263000,1
2011.03.24,13:00:00,34.0,34.04,33.66,33.67,712,283600,1
2011.03.24,14:00:00,33.67,33.79,33.62,33.66,880,332400,1
2011.03.24,15:00:00,33.66,33.76,33.64,33.75,665,347000,1
2011.03.24,16:00:00,33.75,33.91,33.69,33.91,1276,757500,1
2011.03.25,10:00:00,34.01,34.01,33.47,33.8,1012,270100,1
2011.03.25,11:00:00,33.82,34.23,33.82,34.13,854,258200,1
2011.03.25,12:00:00,34.13,34.14,33.89,34.09,679,218100,1
2011.03.25,13:00:00,34.07,34.1,33.98,34.01,327,104700,1
2011.03.25,14:00:00,34.0,34.14,33.91,34.08,428,345300,1
2011.03.25,15:00:00,34.08,34.12,33.98,34.03,283,146800,1
2011.03.25,16:00:00,34.03,34.07,33.86,33.92,1532,834700,1
2011.03.28,10:00:00,33.63,33.82,33.57,33.8,779,229100,1
2011.03.28,11:00:00,33.81,34.0,33.78,33.99,695,218900,1
2011.03.28,12:00:00,33.99,34.05,33.93,34.0,1101,381600,1
2011.03.28,13:00:00,34.0,34.08,33.98,34.07,743,327000,1
2011.03.28,14:00:00,34.06,34.1,33.93,33.93,763,282900,1
2011.03.28,15:00:00,33.93,34.0,33.85,33.87,428,135300,1
2011.03.28,16:00:00,33.87,33.91,33.69,33.69,619,395800,1
2011.03.29,10:00:00,33.78,34.09,33.74,34.05,1125,459100,1
2011.03.29,11:00:00,34.06,34.39,34.04,34.39,1201,497400,1
2011.03.29,12:00:00,34.39,34.46,34.34,34.34,771,305600,1
2011.03.29,13:00:00,34.35,34.56,34.31,34.55,521,209000,1
2011.03.29,14:00:00,34.55,34.59,34.46,34.51,834,339400,1
2011.03.29,15:00:00,34.52,34.56,34.45,34.53,491,173000,1
2011.03.29,16:00:00,34.53,34.53,34.34,34.39,1087,660000,1
2011.03.30,10:00:00,34.19,34.55,34.14,34.25,989,489700,1
2011.03.30,11:00:00,34.25,34.37,33.86,34.04,8867,1224000,1
2011.03.30,12:00:00,34.03,34.09,33.91,34.07,2027,1161300,1
2011.03.30,13:00:00,34.07,34.21,34.03,34.1,657,323900,1
2011.03.30,14:00:00,34.1,34.13,33.93,33.97,436,196100,1
2011.03.30,15:00:00,33.97,34.01,33.91,33.93,1550,741800,1
2011.03.30,16:00:00,33.93,33.96,33.85,33.94,1135,725300,1
2011.03.31,10:00:00,34.01,34.18,33.52,34.07,2628,1279300,1
2011.03.31,11:00:00,34.08,34.34,34.07,34.3,1129,482900,1
2011.03.31,12:00:00,34.29,34.3,34.13,34.16,735,181300,1
2011.03.31,13:00:00,34.16,34.27,34.09,34.23,498,138200,1
2011.03.31,14:00:00,34.23,34.27,34.18,34.18,651,206700,1
2011.03.31,15:00:00,34.2,34.29,34.14,34.28,655,197000,1
2011.03.31,16:00:00,34.3,34.32,34.2,34.23,842,1441400,1
2011.04.01,10:00:00,34.17,34.49,33.88,33.98,1431,555100,1
2011.04.01,11:00:00,33.98,34.13,33.98,34.03,421,149600,1
2011.04.01,12:00:00,34.03,34.23,34.03,34.11,442,123700,1
2011.04.01,13:00:00,34.11,34.17,34.04,34.05,318,97500,1
2011.04.01,14:00:00,34.04,34.22,33.98,34.22,932,389000,1
2011.04.01,15:00:00,34.21,34.21,33.97,34.06,395,109600,1
2011.04.01,16:00:00,34.06,34.1,33.94,34.01,740,491600,1
2011.04.04,10:00:00,34.3,34.33,33.77,33.89,1510,492900,1
2011.04.04,11:00:00,33.91,33.94,33.82,33.89,996,297200,1
2011.04.04,12:00:00,33.89,34.0,33.83,33.98,1785,720400,1
2011.04.04,13:00:00,33.98,34.06,33.97,34.05,1076,316300,1
2011.04.04,14:00:00,34.03,34.14,34.0,34.13,754,261400,1
2011.04.04,15:00:00,34.09,34.34,34.09,34.29,1243,553000,1
2011.04.04,16:00:00,34.3,34.75,34.25,34.75,3205,1559200,1
2011.04.05,10:00:00,34.48,34.89,34.48,34.76,2167,1435100,1
2011.04.05,11:00:00,34.75,34.98,34.71,34.87,1580,935800,1
2011.04.05,12:00:00,34.88,34.91,34.77,34.91,899,266300,1
2011.04.05,13:00:00,34.9,35.01,34.88,35.0,424,149700,1
2011.04.05,14:00:00,34.99,35.16,34.99,35.07,539,252600,1
2011.04.05,15:00:00,35.07,35.1,34.98,35.05,1061,437900,1
2011.04.05,16:00:00,35.04,35.04,34.91,34.91,1601,1198900,1
2011.04.06,10:00:00,35.02,35.1,34.69,34.69,1004,515700,1
2011.04.06,11:00:00,34.71,34.79,34.62,34.71,690,337500,1
2011.04.06,12:00:00,34.72,34.73,34.53,34.55,1627,749900,1
2011.04.06,13:00:00,34.56,34.73,34.47,34.55,823,536400,1
2011.04.06,14:00:00,34.52,34.56,34.42,34.48,1532,906000,1
2011.04.06,15:00:00,34.48,34.52,34.37,34.38,1130,412000,1
2011.04.06,16:00:00,34.36,34.41,34.28,34.36,1698,1064700,1
2011.04.07,10:00:00,34.36,34.42,34.14,34.14,1599,724600,1
2011.04.07,11:00:00,34.15,34.25,34.01,34.11,1114,529700,1
2011.04.07,12:00:00,34.1,34.1,33.93,34.07,774,469000,1
2011.04.07,13:00:00,34.08,34.09,33.91,33.96,788,389300,1
2011.04.07,14:00:00,33.94,33.94,33.82,33.83,798,330200,1
2011.04.07,15:00:00,33.84,34.06,33.82,33.97,770,279400,1
2011.04.07,16:00:00,33.96,34.08,33.9,34.08,871,684900,1
2011.04.08,10:00:00,34.25,34.25,33.93,34.03,1050,409700,1
2011.04.08,11:00:00,34.05,34.07,33.77,33.85,1192,485700,1
2011.04.08,12:00:00,33.85,34.03,33.84,33.94,587,302900,1
2011.04.08,13:00:00,33.97,34.05,33.94,34.04,358,157100,1
2011.04.08,14:00:00,34.03,34.19,34.03,34.08,808,357800,1
2011.04.08,15:00:00,34.09,34.1,33.86,33.9,801,339600,1
2011.04.08,16:00:00,33.88,34.01,33.88,34.01,1337,669400,1
2011.04.11,10:00:00,34.18,34.31,33.97,34.25,1012,388800,1
2011.04.11,11:00:00,34.25,34.31,34.07,34.19,595,332000,1
2011.04.11,12:00:00,34.19,34.37,34.16,34.21,963,415800,1
2011.04.11,13:00:00,34.21,34.26,34.12,34.19,290,75700,1
2011.04.11,14:00:00,34.18,34.23,34.07,34.18,213,99800,1
2011.04.11,15:00:00,34.18,34.18,33.92,33.96,879,435300,1
2011.04.11,16:00:00,33.95,34.11,33.89,34.05,1645,932100,1
2011.04.12,10:00:00,33.7,33.76,33.46,33.53,936,311900,1
2011.04.12,11:00:00,33.5,33.5,33.23,33.23,875,346700,1
2011.04.12,12:00:00,33.26,33.5,33.22,33.42,692,392100,1
2011.04.12,13:00:00,33.42,33.49,33.33,33.33,605,234000,1
2011.04.12,14:00:00,33.34,33.44,33.27,33.39,1141,303000,1
2011.04.12,15:00:00,33.39,33.48,33.25,33.31,1425,420300,1
2011.04.12,16:00:00,33.31,33.37,33.24,33.37,1285,907400,1
2011.04.13,10:00:00,33.59,33.62,33.07,33.08,1681,740100,1
2011.04.13,11:00:00,33.1,33.3,33.08,33.21,1521,644000,1
2011.04.13,12:00:00,33.21,33.23,32.98,32.98,722,369200,1
2011.04.13,13:00:00,32.98,33.1,32.95,33.03,325,103200,1
2011.04.13,14:00:00,33.0,33.1,32.93,32.99,1132,285100,1
2011.04.13,15:00:00,32.99,33.05,32.94,32.99,1208,511700,1
2011.04.13,16:00:00,32.99,33.03,32.8,32.89,1649,1038800,1
2011.04.14,10:00:00,32.93,33.21,32.81,33.14,1648,917500,1
2011.04.14,11:00:00,33.14,33.42,33.14,33.25,1251,609900,1
2011.04.14,12:00:00,33.26,33.29,33.18,33.22,906,374700,1
2011.04.14,13:00:00,33.22,33.35,33.18,33.23,974,266100,1
2011.04.14,14:00:00,33.25,33.35,33.17,33.17,1078,347000,1
2011.04.14,15:00:00,33.17,33.22,33.03,33.21,1094,351800,1
2011.04.14,16:00:00,33.21,33.35,33.15,33.3,1723,1103000,1
2011.04.15,10:00:00,33.44,33.49,33.06,33.17,652,278900,1
2011.04.15,11:00:00,33.18,33.27,32.96,33.05,1018,370500,1
2011.04.15,12:00:00,33.07,33.13,33.01,33.13,465,159500,1
2011.04.15,13:00:00,33.15,33.26,33.09,33.22,229,73500,1
2011.04.15,14:00:00,33.26,33.39,33.2,33.34,703,232100,1
2011.04.15,15:00:00,33.33,33.41,33.27,33.31,470,129500,1
2011.04.15,16:00:00,33.31,33.32,33.12,33.22,847,1099500,1
2011.04.18,10:00:00,33.02,33.09,32.6,32.65,812,298200,1
2011.04.18,11:00:00,32.57,32.68,32.48,32.57,583,354400,1
2011.04.18,12:00:00,32.6,32.79,32.53,32.77,627,316300,1
2011.04.18,13:00:00,32.77,32.77,32.64,32.72,373,162700,1
2011.04.18,14:00:00,32.72,32.79,32.68,32.76,431,189800,1
2011.04.18,15:00:00,32.78,32.84,32.74,32.78,489,210100,1
2011.04.18,16:00:00,32.77,32.89,32.66,32.89,688,690600,1
2011.04.19,10:00:00,33.07,33.22,32.9,33.03,580,229300,1
2011.04.19,11:00:00,33.03,33.14,32.92,32.99,610,953800,1
2011.04.19,12:00:00,32.96,33.04,32.86,32.96,992,507300,1
2011.04.19,13:00:00,32.96,33.09,32.96,33.03,387,112400,1
2011.04.19,14:00:00,33.04,33.26,33.01,33.19,428,220000,1
2011.04.19,15:00:00,33.19,33.26,33.07,33.12,567,152800,1
2011.04.19,16:00:00,33.15,33.22,33.09,33.18,771,562200,1
2011.04.20,10:00:00,33.85,33.85,33.58,33.64,982,579200,1
2011.04.20,11:00:00,33.68,33.84,33.66,33.77,1261,458800,1
2011.04.20,12:00:00,33.76,33.76,33.64,33.71,537,170400,1
2011.04.20,13:00:00,33.71,33.81,33.64,33.79,864,420200,1
2011.04.20,14:00:00,33.76,33.82,33.67,33.7,1199,359100,1
2011.04.20,15:00:00,33.7,33.72,33.67,33.7,708,176400,1
2011.04.20,16:00:00,33.7,33.79,33.64,33.79,1029,715600,1
2011.04.25,10:00:00,33.8,33.87,33.44,33.84,1233,512800,1
2011.04.25,11:00:00,33.81,33.81,33.57,33.74,650,279300,1
2011.04.25,12:00:00,33.73,33.74,33.63,33.74,343,90100,1
2011.04.25,13:00:00,33.7,33.81,33.68,33.78,718,256800,1
2011.04.25,14:00:00,33.78,33.98,33.76,33.93,2197,774000,1
2011.04.25,15:00:00,33.92,33.96,33.86,33.92,857,415300,1
2011.04.25,16:00:00,33.93,34.12,33.91,34.12,1104,679400,1
2011.04.26,10:00:00,34.09,34.09,33.92,34.01,1798,749800,1
2011.04.26,11:00:00,34.01,34.19,33.92,34.14,1641,731400,1
2011.04.26,12:00:00,34.14,34.18,34.07,34.13,893,273700,1
2011.04.26,13:00:00,34.13,34.19,34.07,34.15,894,271800,1
2011.04.26,14:00:00,34.16,34.19,34.04,34.08,1152,372700,1
2011.04.26,15:00:00,34.07,34.07,33.96,34.03,578,416700,1
2011.04.26,16:00:00,34.03,34.15,34.02,34.15,930,636000,1
2011.04.27,10:00:00,34.09,34.15,33.76,33.84,1410,532400,1
2011.04.27,11:00:00,33.84,33.87,33.42,33.42,3366,1166400,1
2011.04.27,12:00:00,33.42,33.52,33.38,33.42,763,362100,1
2011.04.27,13:00:00,33.44,33.55,33.39,33.49,583,203600,1
2011.04.27,14:00:00,33.49,33.69,33.42,33.64,899,372800,1
2011.04.27,15:00:00,33.64,33.65,33.5,33.58,780,320100,1
2011.04.27,16:00:00,33.58,33.7,33.55,33.7,905,646300,1
2011.04.28,10:00:00,33.41,33.7,33.31,33.68,1552,726700,1
2011.04.28,11:00:00,33.68,33.7,33.42,33.61,1976,750200,1
2011.04.28,12:00:00,33.63,33.73,33.5,33.53,1231,525600,1
2011.04.28,13:00:00,33.55,33.61,33.39,33.39,1373,524000,1
2011.04.28,14:00:00,33.39,33.47,33.33,33.42,1022,408900,1
2011.04.28,15:00:00,33.45,33.45,33.35,33.36,372,311900,1
2011.04.28,16:00:00,33.36,33.47,33.29,33.44,811,715200,1
2011.04.29,10:00:00,33.51,33.62,33.12,33.43,1413,436100,1
2011.04.29,11:00:00,33.42,33.44,33.29,33.43,1840,561200,1
2011.04.29,12:00:00,33.39,33.59,33.34,33.57,1111,352000,1
2011.04.29,13:00:00,33.57,33.77,33.57,33.72,926,358100,1
2011.04.29,14:00:00,33.72,33.78,33.66,33.66,553,226600,1
2011.04.29,15:00:00,33.7,33.79,33.62,33.79,702,420600,1
2011.04.29,16:00:00,33.73,33.76,33.48,33.63,999,1527700,1
2011.05.02,10:00:00,33.65,33.74,33.27,33.41,1048,431100,1
2011.05.02,11:00:00,33.41,33.47,33.19,33.28,1131,538000,1
2011.05.02,12:00:00,33.3,33.33,33.08,33.11,928,418200,1
2011.05.02,13:00:00,33.11,33.12,32.94,32.95,589,250000,1
2011.05.02,14:00:00,32.98,33.11,32.95,33.0,632,284000,1
2011.05.02,15:00:00,33.0,33.09,32.98,33.02,697,364700,1
2011.05.02,16:00:00,33.02,33.26,33.02,33.26,1865,2005100,1
2011.05.03,10:00:00,33.12,33.12,32.65,32.81,1091,451200,1
2011.05.03,11:00:00,32.81,32.89,32.61,32.72,1078,429900,1
2011.05.03,12:00:00,32.73,32.8,32.7,32.74,620,228100,1
2011.05.03,13:00:00,32.74,32.77,32.58,32.63,439,184600,1
2011.05.03,14:00:00,32.63,32.72,32.59,32.59,676,363500,1
2011.05.03,15:00:00,32.59,32.65,32.44,32.47,1166,455800,1
2011.05.03,16:00:00,32.46,32.59,32.41,32.5,990,656200,1
2011.05.04,10:00:00,32.65,32.66,32.16,32.18,1685,652400,1
2011.05.04,11:00:00,32.17,32.18,31.92,31.95,4164,2004300,1
2011.05.04,12:00:00,31.95,32.11,31.9,31.98,1153,483800,1
2011.05.04,13:00:00,32.01,32.05,31.85,31.98,900,395400,1
2011.05.04,14:00:00,31.97,32.15,31.96,32.11,1086,374400,1
2011.05.04,15:00:00,32.11,32.17,32.02,32.11,1147,517800,1
2011.05.04,16:00:00,32.11,32.13,31.84,31.9,2259,1394600,1
2011.05.05,10:00:00,31.72,32.4,31.66,32.3,1921,806000,1
2011.05.05,11:00:00,32.3,32.44,32.25,32.37,1101,648600,1
2011.05.05,12:00:00,32.37,32.39,32.08,32.29,962,469500,1
2011.05.05,13:00:00,32.29,32.38,32.08,32.15,585,451900,1
2011.05.05,14:00:00,32.15,32.15,31.88,31.92,1243,740000,1
2011.05.05,15:00:00,31.93,32.2,31.83,32.08,1667,796100,1
2011.05.05,16:00:00,32.08,32.34,31.87,32.3,2156,1374600,1
2011.05.06,10:00:00,32.55,32.7,32.28,32.43,1562,743300,1
2011.05.06,11:00:00,32.45,32.62,32.44,32.52,1329,919800,1
