<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2011.03.09;12:00:00;34.70;35.29;34.53;34.55;3739;1645000;1
2011.03.09;16:00:00;34.53;34.55;34.34;34.41;1519;983100;1
2011.03.10;08:00:00;33.98;33.98;33.34;33.50;2161;1077200;1
2011.03.10;12:00:00;33.52;33.91;33.42;33.48;4468;3267000;1
2011.03.10;16:00:00;33.47;33.64;33.19;33.43;2120;1518500;1
2011.03.11;08:00:00;33.31;33.85;33.03;33.59;2338;942000;1
2011.03.11;12:00:00;33.58;33.96;33.48;33.58;4547;1987100;1
2011.03.11;16:00:00;33.59;33.93;33.53;33.89;1566;968200;1
2011.03.14;08:00:00;33.64;33.82;33.30;33.46;2309;698800;1
2011.03.14;12:00:00;33.47;33.88;33.40;33.75;2668;1523600;1
2011.03.14;16:00:00;33.75;34.01;33.69;34.01;985;642200;1
2011.03.15;08:00:00;32.86;33.23;32.55;33.19;4286;1971800;1
2011.03.15;12:00:00;33.19;33.51;33.08;33.38;4142;1808800;1
2011.03.15;16:00:00;33.38;33.53;33.36;33.40;1390;854100;1
2011.03.16;08:00:00;33.66;33.67;33.15;33.16;2014;895500;1
2011.03.16;12:00:00;33.15;33.16;32.47;32.76;4680;2156100;1
2011.03.16;16:00:00;32.76;32.79;32.56;32.56;1795;1220400;1
2011.03.17;08:00:00;33.08;33.45;32.92;33.30;3331;2537000;1
2011.03.17;12:00:00;33.30;33.59;33.24;33.49;4057;1575400;1
2011.03.17;16:00:00;33.50;33.55;33.37;33.49;1318;966000;1
2011.03.18;08:00:00;33.73;34.14;33.66;34.10;2195;733400;1
2011.03.18;12:00:00;34.10;34.18;33.87;33.91;2618;944400;1
2011.03.18;16:00:00;33.91;33.95;33.82;33.93;1161;1387800;1
2011.03.21;08:00:00;34.43;34.52;33.95;34.03;1757;632500;1
2011.03.21;12:00:00;34.03;34.17;33.95;34.05;1546;710500;1
2011.03.21;16:00:00;34.05;34.14;34.00;34.01;1439;764800;1
2011.03.22;08:00:00;33.91;33.93;33.50;33.54;3554;1254600;1
2011.03.22;12:00:00;33.53;33.78;33.40;33.73;3135;1183000;1
2011.03.22;16:00:00;33.73;33.83;33.71;33.82;1355;716200;1
2011.03.23;08:00:00;33.82;34.12;33.82;33.95;2630;1096900;1
2011.03.23;12:00:00;33.96;34.39;33.88;34.34;2885;913600;1
2011.03.23;16:00:00;34.34;34.44;34.28;34.32;1551;777400;1
2011.03.24;08:00:00;34.43;34.43;33.69;33.98;2939;1495600;1
2011.03.24;12:00:00;33.97;34.04;33.62;33.75;3064;1226000;1
2011.03.24;16:00:00;33.75;33.91;33.69;33.91;1276;757500;1
2011.03.25;08:00:00;34.01;34.23;33.47;34.13;1866;528300;1
2011.03.25;12:00:00;34.13;34.14;33.89;34.03;1717;814900;1
2011.03.25;16:00:00;34.03;34.07;33.86;33.92;1532;834700;1
2011.03.28;08:00:00;33.63;34.00;33.57;33.99;1474;448000;1
2011.03.28;12:00:00;33.99;34.10;33.85;33.87;3035;1126800;1
2011.03.28;16:00:00;33.87;33.91;33.69;33.69;619;395800;1
2011.03.29;08:00:00;33.78;34.39;33.74;34.39;2326;956500;1
2011.03.29;12:00:00;34.39;34.59;34.31;34.53;2617;1027000;1
2011.03.29;16:00:00;34.53;34.53;34.34;34.39;1087;660000;1
2011.03.30;08:00:00;34.19;34.55;33.86;34.04;9856;1713700;1
2011.03.30;12:00:00;34.03;34.21;33.91;33.93;4670;2423100;1
2011.03.30;16:00:00;33.93;33.96;33.85;33.94;1135;725300;1
2011.03.31;08:00:00;34.01;34.34;33.52;34.30;3757;1762200;1
2011.03.31;12:00:00;34.29;34.30;34.09;34.28;2539;723200;1
2011.03.31;16:00:00;34.30;34.32;34.20;34.23;842;1441400;1
2011.04.01;08:00:00;34.17;34.49;33.88;34.03;1852;704700;1
2011.04.01;12:00:00;34.03;34.23;33.97;34.06;2087;719800;1
2011.04.01;16:00:00;34.06;34.10;33.94;34.01;740;491600;1
2011.04.04;08:00:00;34.30;34.33;33.77;33.89;2506;790100;1
2011.04.04;12:00:00;33.89;34.34;33.83;34.29;4858;1851100;1
2011.04.04;16:00:00;34.30;34.75;34.25;34.75;3205;1559200;1
2011.04.05;08:00:00;34.48;34.98;34.48;34.87;3747;2370900;1
2011.04.05;12:00:00;34.88;35.16;34.77;35.05;2923;1106500;1
2011.04.05;16:00:00;35.04;35.04;34.91;34.91;1601;1198900;1
2011.04.06;08:00:00;35.02;35.10;34.62;34.71;1694;853200;1
2011.04.06;12:00:00;34.72;34.73;34.37;34.38;5112;2604300;1
2011.04.06;16:00:00;34.36;34.41;34.28;34.36;1698;1064700;1
2011.04.07;08:00:00;34.36;34.42;34.01;34.11;2713;1254300;1
2011.04.07;12:00:00;34.10;34.10;33.82;33.97;3130;1467900;1
2011.04.07;16:00:00;33.96;34.08;33.90;34.08;871;684900;1
2011.04.08;08:00:00;34.25;34.25;33.77;33.85;2242;895400;1
2011.04.08;12:00:00;33.85;34.19;33.84;33.90;2554;1157400;1
2011.04.08;16:00:00;33.88;34.01;33.88;34.01;1337;669400;1
2011.04.11;08:00:00;34.18;34.31;33.97;34.19;1607;720800;1
2011.04.11;12:00:00;34.19;34.37;33.92;33.96;2345;1026600;1
2011.04.11;16:00:00;33.95;34.11;33.89;34.05;1645;932100;1
2011.04.12;08:00:00;33.70;33.76;33.23;33.23;1811;658600;1
2011.04.12;12:00:00;33.26;33.50;33.22;33.31;3863;1349400;1
2011.04.12;16:00:00;33.31;33.37;33.24;33.37;1285;907400;1
2011.04.13;08:00:00;33.59;33.62;33.07;33.21;3202;1384100;1
2011.04.13;12:00:00;33.21;33.23;32.93;32.99;3387;1269200;1
2011.04.13;16:00:00;32.99;33.03;32.80;32.89;1649;1038800;1
2011.04.14;08:00:00;32.93;33.42;32.81;33.25;2899;1527400;1
2011.04.14;12:00:00;33.26;33.35;33.03;33.21;4052;1339600;1
2011.04.14;16:00:00;33.21;33.35;33.15;33.30;1723;1103000;1
2011.04.15;08:00:00;33.44;33.49;32.96;33.05;1670;649400;1
2011.04.15;12:00:00;33.07;33.41;33.01;33.31;1867;594600;1
2011.04.15;16:00:00;33.31;33.32;33.12;33.22;847;1099500;1
2011.04.18;08:00:00;33.02;33.09;32.48;32.57;1395;652600;1
2011.04.18;12:00:00;32.60;32.84;32.53;32.78;1920;878900;1
2011.04.18;16:00:00;32.77;32.89;32.66;32.89;688;690600;1
2011.04.19;08:00:00;33.07;33.22;32.90;32.99;1190;1183100;1
2011.04.19;12:00:00;32.96;33.26;32.86;33.12;2374;992500;1
2011.04.19;16:00:00;33.15;33.22;33.09;33.18;771;562200;1
2011.04.20;08:00:00;33.85;33.85;33.58;33.77;2243;1038000;1
2011.04.20;12:00:00;33.76;33.82;33.64;33.70;3308;1126100;1
2011.04.20;16:00:00;33.70;33.79;33.64;33.79;1029;715600;1
2011.04.25;08:00:00;33.80;33.87;33.44;33.74;1883;792100;1
2011.04.25;12:00:00;33.73;33.98;33.63;33.92;4115;1536200;1
2011.04.25;16:00:00;33.93;34.12;33.91;34.12;1104;679400;1
2011.04.26;08:00:00;34.09;34.19;33.92;34.14;3439;1481200;1
2011.04.26;12:00:00;34.14;34.19;33.96;34.03;3517;1334900;1
2011.04.26;16:00:00;34.03;34.15;34.02;34.15;930;636000;1
2011.04.27;08:00:00;34.09;34.15;33.42;33.42;4776;1698800;1
2011.04.27;12:00:00;33.42;33.69;33.38;33.58;3025;1258600;1
2011.04.27;16:00:00;33.58;33.70;33.55;33.70;905;646300;1
2011.04.28;08:00:00;33.41;33.70;33.31;33.61;3528;1476900;1
2011.04.28;12:00:00;33.63;33.73;33.33;33.36;3998;1770400;1
2011.04.28;16:00:00;33.36;33.47;33.29;33.44;811;715200;1
2011.04.29;08:00:00;33.51;33.62;33.12;33.43;3253;997300;1
2011.04.29;12:00:00;33.39;33.79;33.34;33.79;3292;1357300;1
2011.04.29;16:00:00;33.73;33.76;33.48;33.63;999;1527700;1
2011.05.02;08:00:00;33.65;33.74;33.19;33.28;2179;969100;1
2011.05.02;12:00:00;33.30;33.33;32.94;33.02;2846;1316900;1
2011.05.02;16:00:00;33.02;33.26;33.02;33.26;1865;2005100;1
2011.05.03;08:00:00;33.12;33.12;32.61;32.72;2169;881100;1
2011.05.03;12:00:00;32.73;32.80;32.44;32.47;2901;1232000;1
2011.05.03;16:00:00;32.46;32.59;32.41;32.50;990;656200;1
2011.05.04;08:00:00;32.65;32.66;31.92;31.95;5849;2656700;1
2011.05.04;12:00:00;31.95;32.17;31.85;32.11;4286;1771400;1
2011.05.04;16:00:00;32.11;32.13;31.84;31.90;2259;1394600;1
2011.05.05;08:00:00;31.72;32.44;31.66;32.37;3022;1454600;1
2011.05.05;12:00:00;32.37;32.39;31.83;32.08;4457;2457500;1
2011.05.05;16:00:00;32.08;32.34;31.87;32.30;2156;1374600;1
2011.05.06;08:00:00;32.55;32.70;32.28;32.52;2891;1663100;1
2011.05.06;12:00:00;32.48;32.66;32.11;32.11;3390;1244600;1
2011.05.06;16:00:00;32.15;32.39;32.06;32.31;1158;840900;1
2011.05.09;08:00:00;32.35;32.45;32.03;32.28;2613;801000;1
2011.05.09;12:00:00;32.30;32.56;32.26;32.50;2443;995700;1
2011.05.09;16:00:00;32.50;32.53;32.44;32.44;1056;941000;1
2011.05.10;08:00:00;32.53;32.63;32.31;32.40;1510;493000;1
2011.05.10;12:00:00;32.40;32.44;32.22;32.39;2260;1260800;1
2011.05.10;16:00:00;32.42;32.47;32.34;32.36;1184;731100;1
2011.05.11;08:00:00;32.22;32.28;31.72;31.76;1928;1587800;1
2011.05.11;12:00:00;31.76;31.82;31.35;31.42;2823;1173900;1
2011.05.11;16:00:00;31.42;31.51;31.33;31.40;903;668700;1
2011.05.12;08:00:00;31.15;31.22;30.79;31.14;2071;934700;1
2011.05.12;12:00:00;31.13;31.73;31.12;31.37;2953;1231900;1
2011.05.12;16:00:00;31.38;31.52;31.38;31.46;1167;809000;1
2011.05.13;08:00:00;31.31;31.55;31.04;31.04;1826;562400;1
2011.05.13;12:00:00;31.07;31.22;30.77;30.96;4023;1160800;1
2011.05.13;16:00:00;30.96;31.09;30.94;30.95;1013;673700;1
2011.05.16;08:00:00;30.72;31.44;30.67;31.35;3985;1585300;1
2011.05.16;12:00:00;31.35;31.38;30.65;30.66;2851;963100;1
2011.05.16;16:00:00;30.65;30.86;30.65;30.83;1014;566600;1
2011.05.17;08:00:00;30.76;31.10;30.57;30.85;1756;661700;1
2011.05.17;12:00:00;30.85;31.22;30.66;31.18;2194;686000;1
2011.05.17;16:00:00;31.18;31.19;30.98;31.15;1413;642400;1
2011.05.18;08:00:00;31.25;31.50;31.11;31.47;1324;544000;1
