<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2011.03.01;34.70;35.29;32.47;34.23;127610;59412900;1
2011.04.01;34.17;35.16;32.48;33.63;133215;62792700;1
2011.05.01;33.65;33.74;30.57;32.63;142974;67756500;1
2011.06.01;32.47;32.70;30.44;32.14;154537;65581900;1
2011.07.01;32.57;34.07;32.35;32.59;167357;77397300;1
2011.08.01;32.80;32.97;25.68;29.74;293863;131243800;1
2011.09.01;29.87;32.42;28.08;28.31;213773;92715100;1
2011.10.01;27.84;30.98;26.46;29.71;218181;98796600;1
2011.11.01;28.50;31.60;27.88;28.31;149189;83327700;1
2011.12.01;28.74;29.54;26.20;26.81;181466;75382600;1
2012.01.01;27.03;30.38;27.03;30.38;226134;91139800;1
2012.02.01;30.56;31.47;28.89;29.60;202041;75755500;1
2012.03.01;29.75;30.28;27.29;29.16;220893;86190800;1
2012.04.01;29.22;30.68;27.61;29.69;248302;95297300;1
2012.05.01;29.55;30.31;24.81;26.19;264324;120438900;1
2012.06.01;25.52;28.97;25.34;27.96;230625;94391200;1
2012.07.01;27.94;29.20;23.94;25.89;245941;109354300;1
2012.08.01;25.98;27.15;22.61;23.54;232248;100054500;1
2012.09.01;23.62;27.83;22.45;25.43;249110;113422000;1
2012.10.01;25.48;27.44;24.49;26.94;239927;97252900;1
2012.11.01;26.95;27.78;25.47;27.05;183713;93292400;1
2012.12.01;27.00;31.33;26.40;30.41;189268;68586800;1
2013.01.01;30.93;32.20;27.64;28.96;199357;69378500;1
2013.02.01;28.96;29.68;25.48;27.19;193260;76677100;1
2013.03.01;26.62;27.38;24.10;25.10;206842;76777100;1
2013.04.01;25.04;26.48;22.95;25.30;259652;111708000;1
2013.05.01;24.71;26.16;22.41;22.49;228278;103663100;1
2013.06.01;22.79;23.70;20.85;21.49;296999;143639300;1
2013.07.01;21.35;23.91;20.60;22.91;262633;94688500;1
2013.08.01;23.27;27.23;22.87;25.42;300344;130952600;1
2013.09.01;26.07;28.30;25.28;25.45;235069;85756300;1
2013.10.01;25.67;27.50;24.24;27.12;241839;124719100;1
2013.11.01;27.18;29.54;25.45;27.21;217639;96212500;1
2013.12.01;26.79;27.46;25.89;27.09;185169;62437600;1
2014.01.01;27.24;27.35;23.29;25.07;276877;112945800;1
2014.02.01;25.01;26.70;24.25;25.04;310369;98579400;1
2014.03.01;24.54;24.84;22.06;23.84;283582;103357000;1
2014.04.01;24.05;26.13;22.40;22.93;263668;99955200;1
2014.05.01;23.10;24.56;22.07;22.15;190589;70088600;1
2014.06.01;22.44;23.35;22.01;22.81;168298;66318100;1
2014.07.01;23.01;25.94;23.01;25.39;212282;80019900;1
2014.08.01;25.31;25.39;22.47;22.71;222104;82158800;1
2014.09.01;22.97;23.07;20.39;20.94;357853;124926500;1
2014.10.01;20.79;22.65;18.95;20.16;378272;148581100;1
2014.11.01;19.92;20.08;17.48;18.79;270875;113481600;1
2014.12.01;18.42;18.57;14.68;17.67;305458;133567500;1
2015.01.01;17.50;18.65;14.23;15.01;284886;116764600;1
2015.02.01;15.28;18.55;15.04;17.14;243628;101915400;1
2015.03.01;17.07;17.14;14.38;14.47;349941;150610000;1
2015.04.01;14.34;20.58;13.85;18.79;394071;188704100;1
2015.05.01;19.99;23.13;16.41;16.63;348539;162904400;1
2015.06.01;16.65;18.02;15.06;15.17;248410;101136300;1
2015.07.01;15.20;16.43;13.61;14.82;362841;134121200;1
2015.08.01;14.77;16.42;12.25;14.86;414469;151255600;1
2015.09.01;14.36;17.05;13.55;13.75;363597;157346700;1
2015.10.01;13.94;17.28;13.66;14.44;358539;145399500;1
2015.11.01;14.60;15.53;10.67;11.15;284678;109576100;1
2015.12.01;11.00;11.51;9.52;11.03;316975;131325800;1
2016.01.01;10.57;10.99;7.31;8.23;341204;160211400;1
2016.02.01;8.15;11.38;7.28;10.00;326126;154929600;1
2016.03.01;10.33;15.74;10.28;12.82;578672;264713800;1
2016.04.01;12.60;18.78;12.24;16.67;436631;195025500;1
2016.05.01;17.05;17.19;11.56;12.04;401446;166446200;1
2016.06.01;11.93;14.69;11.68;13.77;346380;137992700;1
2016.07.01;13.81;16.25;13.13;15.66;290873;127396900;1
2016.08.01;15.91;16.41;14.25;14.34;296044;129655800;1
2016.09.01;14.43;15.59;13.68;15.08;255062;103533600;1
2016.10.01;15.11;19.02;14.86;18.69;379783;170854000;1
2016.11.01;18.94;26.25;18.15;23.75;366452;165092800;1
2016.12.01;24.61;26.93;21.39;21.85;296219;113919800;1
2017.01.01;21.51;29.55;21.32;27.39;262699;98503600;1
2017.02.01;27.83;31.73;25.42;27.84;318844;113067800;1
2017.03.01;28.13;28.80;23.19;25.35;365698;134933800;1
2017.04.01;25.37;26.79;22.25;24.04;274839;96892800;1
2017.05.01;24.24;25.29;21.87;23.77;358169;134583500;1
2017.06.01;23.76;25.70;22.22;25.37;279670;116892700;1
2017.07.01;25.60;27.58;24.78;27.39;266224;116880700;1
2017.08.01;27.34;30.78;26.72;30.69;562410;356553100;1
