<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2011.03.06;34.70;35.29;33.03;33.89;22458;12388100;1
2011.03.13;33.64;34.18;32.47;33.93;38949;19915300;1
2011.03.20;34.43;34.52;33.40;33.92;32246;13706500;1
2011.03.27;33.63;34.59;33.52;34.01;38636;15319100;1
2011.04.03;34.30;35.16;33.77;34.01;40191;19528200;1
2011.04.10;34.18;34.37;32.80;33.22;33852;15600500;1
2011.04.17;33.02;33.85;32.48;33.79;14918;7839600;1
2011.04.24;33.80;34.19;33.12;33.63;39575;17908300;1
2011.05.01;33.65;33.74;31.66;32.31;42418;21918400;1
2011.05.08;32.35;32.63;30.77;30.95;29773;14025500;1
2011.05.15;30.72;31.95;30.57;31.66;35250;14990400;1
2011.05.22;31.08;32.92;31.04;32.70;27009;12106200;1
2011.05.29;32.99;32.99;31.92;32.10;40218;17053200;1
2011.06.05;32.10;32.20;31.52;31.81;27039;11618600;1
2011.06.12;31.75;31.81;30.44;30.66;40637;18132700;1
2011.06.19;30.50;31.85;30.50;31.74;26554;10474000;1
2011.06.26;31.63;33.59;31.36;33.57;40382;19484500;1
2011.07.03;33.44;34.07;32.94;33.18;33627;14276600;1
2011.07.10;32.96;33.53;32.65;32.86;34816;15507100;1
2011.07.17;32.76;33.44;32.65;33.23;37332;16925600;1
2011.07.24;33.10;33.44;32.35;32.59;49813;24222900;1
2011.07.31;32.80;32.97;27.72;28.57;69229;31276800;1
2011.08.07;27.08;28.71;25.68;28.27;87220;34197500;1
2011.08.14;28.61;29.09;27.02;27.21;59792;27806800;1
2011.08.21;27.60;28.61;27.08;28.41;50692;22061000;1
2011.08.28;28.70;30.09;28.69;29.48;50850;25867600;1
2011.09.04;28.91;30.51;28.34;29.80;33876;14359000;1
2011.09.11;29.27;31.20;29.10;31.06;37655;16128500;1
2011.09.18;30.79;32.42;28.98;29.40;63671;29315700;1
2011.09.25;29.60;29.97;28.08;28.31;54651;22946000;1
2011.10.02;27.84;28.54;26.46;27.35;56382;24222900;1
2011.10.09;27.71;29.34;27.48;29.22;37908;16818200;1
2011.10.16;29.05;29.05;26.51;27.56;54514;25591800;1
2011.10.23;28.10;30.98;28.00;30.31;62665;28391000;1
2011.10.30;29.76;31.09;28.50;30.99;39502;21885900;1
2011.11.06;30.92;31.60;30.37;30.87;27168;13665600;1
2011.11.13;30.64;31.40;29.61;30.04;23066;10867600;1
2011.11.20;29.53;30.17;27.94;28.19;34465;26286500;1
2011.11.27;28.88;29.07;27.88;28.83;48941;23053300;1
2011.12.04;29.15;29.54;27.29;28.02;44392;19958300;1
2011.12.11;27.87;27.91;26.42;26.64;51457;19570900;1
2011.12.18;26.61;28.01;26.20;27.83;40076;15073100;1
2011.12.25;27.87;27.95;26.81;26.81;28300;12121800;1
2012.01.01;27.03;29.32;27.03;28.20;50410;15714400;1
2012.01.08;28.41;28.78;27.10;27.49;55963;22548500;1
2012.01.15;27.41;29.56;27.35;29.17;51651;23323500;1
2012.01.22;29.12;30.01;28.57;29.25;44112;18648600;1
2012.01.29;28.96;31.47;28.72;31.17;58639;24439100;1
2012.02.05;31.07;31.34;29.87;30.13;46842;16185700;1
2012.02.12;30.45;30.89;28.89;29.18;58299;23062100;1
2012.02.19;29.33;30.24;29.00;29.97;32157;9870100;1
2012.02.26;29.88;30.41;29.41;30.21;46015;18837700;1
2012.03.04;29.94;29.97;27.29;27.94;69509;28960700;1
2012.03.11;27.76;29.28;27.48;29.20;47733;18124200;1
2012.03.18;29.09;29.44;28.03;28.24;37691;14057200;1
2012.03.25;28.49;29.16;27.93;29.16;50047;19314300;1
2012.04.01;29.22;30.20;28.27;28.59;42343;16390300;1
2012.04.08;28.21;30.00;27.61;29.77;69663;28074000;1
2012.04.15;30.02;30.68;29.17;30.02;61467;23989000;1
2012.04.22;29.37;30.17;28.39;29.70;66094;23453600;1
2012.04.29;29.69;30.31;28.58;28.94;51863;23870200;1
2012.05.06;28.58;29.01;27.25;27.25;44151;22334200;1
2012.05.13;26.76;27.30;24.81;25.56;67628;30136000;1
2012.05.20;25.85;26.58;25.27;25.47;63244;27037700;1
2012.05.27;25.66;26.49;25.44;25.78;55891;23915000;1
2012.06.03;25.76;26.75;25.34;26.72;48889;16300000;1
2012.06.10;26.91;28.07;26.31;27.54;65685;27562700;1
2012.06.17;27.45;28.97;27.30;27.67;59626;22237500;1
2012.06.24;27.04;28.13;26.80;27.96;46707;24827200;1
2012.07.01;27.94;29.20;27.60;28.42;64793;27522700;1
2012.07.08;28.28;28.57;26.83;28.03;43010;17785400;1
2012.07.15;27.80;28.22;26.79;26.89;43356;16646800;1
2012.07.22;26.31;26.56;23.94;26.17;78106;40111100;1
2012.07.29;26.13;26.40;25.37;25.99;42718;17960900;1
2012.08.05;25.92;26.98;25.79;26.88;47036;21881000;1
2012.08.12;26.93;27.15;24.84;24.84;58714;24395800;1
2012.08.19;25.07;25.89;23.55;24.06;46990;20843200;1
2012.08.26;24.03;24.07;22.61;23.54;53466;22261900;1
2012.09.02;23.62;24.06;22.45;24.06;37641;14753800;1
2012.09.09;25.47;27.72;24.90;26.93;104498;49048700;1
2012.09.16;26.95;27.83;26.22;26.22;53116;27495100;1
2012.09.23;26.20;26.50;25.12;25.43;53855;22124400;1
2012.09.30;25.48;26.03;24.49;25.02;52703;19800900;1
2012.10.07;24.91;26.42;24.76;26.06;47902;18378900;1
2012.10.14;25.91;27.44;25.70;26.33;71129;30051000;1
2012.10.21;26.35;27.00;25.33;26.64;46224;18741600;1
2012.10.28;26.61;27.64;26.37;27.61;33039;16266500;1
2012.11.04;27.14;27.78;26.42;26.83;52955;26546500;1
2012.11.11;26.76;27.02;25.47;25.52;40683;20366200;1
2012.11.18;25.90;26.56;25.71;26.56;29002;15986900;1
2012.11.25;26.54;27.05;25.73;27.05;50003;24406800;1
2012.12.02;27.00;27.20;26.40;26.96;51329;21150700;1
2012.12.09;26.69;29.63;26.69;29.63;59642;22030700;1
2012.12.16;29.63;31.33;29.56;30.13;57173;19433900;1
2012.12.23;29.75;30.64;29.74;30.41;21124;5971500;1
2012.12.30;30.93;32.20;30.29;30.59;36498;13805500;1
2013.01.06;30.59;30.84;29.44;29.69;44588;13913000;1
2013.01.13;29.92;29.99;28.99;29.21;46402;14894200;1
2013.01.20;29.27;29.73;28.58;28.77;28321;9865300;1
2013.01.27;28.69;29.57;27.64;29.38;51630;20824800;1
2013.02.03;29.19;29.68;27.83;28.30;53293;20247300;1
2013.02.10;28.44;28.44;27.38;27.55;25684;9516800;1
2013.02.17;27.60;27.83;25.61;25.69;52861;21372200;1
2013.02.24;25.77;27.45;25.48;26.43;66871;27254300;1
2013.03.03;26.08;27.38;25.41;26.14;50712;20532000;1
2013.03.10;26.25;26.66;24.59;24.98;51934;19871300;1
2013.03.17;24.78;25.19;24.10;24.97;59810;19798400;1
2013.03.24;25.03;25.38;24.33;25.10;30855;10937600;1
2013.03.31;25.04;25.43;23.78;24.86;55109;22300000;1
2013.04.07;24.89;26.48;23.98;24.87;72533;34084600;1
2013.04.14;24.13;24.36;22.95;23.71;62687;28107800;1
2013.04.21;23.74;25.82;23.49;24.47;51789;20936400;1
2013.04.28;24.83;25.48;24.46;24.97;46153;16914900;1
2013.05.05;25.05;26.16;24.84;25.29;57110;22595900;1
2013.05.12;25.08;25.23;23.08;23.38;53661;33452500;1
2013.05.19;23.39;24.77;23.16;23.42;46550;19598700;1
2013.05.26;23.42;23.79;22.41;22.49;42338;17380300;1
2013.06.02;22.79;23.70;22.48;22.73;63117;24233500;1
2013.06.09;22.60;23.13;21.49;22.22;73381;61053400;1
2013.06.16;22.53;23.13;21.91;22.49;90805;31119800;1
2013.06.23;22.05;22.20;20.85;21.49;69696;27232600;1
2013.06.30;21.35;21.97;20.60;21.20;57661;21159400;1
2013.07.07;21.24;22.49;20.81;22.04;48867;17028000;1
2013.07.14;22.42;23.84;22.06;22.82;59342;22171100;1
2013.07.21;22.79;23.91;22.76;23.83;53579;20839600;1
2013.07.28;23.61;23.84;22.85;23.08;61101;19975000;1
2013.08.04;23.08;25.99;22.87;25.67;61812;26516500;1
2013.08.11;25.87;27.10;25.82;27.03;97301;41732700;1
2013.08.18;26.81;27.23;25.62;26.68;67488;27941100;1
2013.08.25;26.42;26.92;24.85;25.42;55826;28277700;1
2013.09.01;26.07;26.89;25.79;26.50;50279;16212600;1
2013.09.08;26.52;28.30;26.38;26.96;68848;29118100;1
2013.09.15;27.11;27.28;26.19;26.35;57568;19433500;1
2013.09.22;26.41;26.85;25.86;25.97;48580;17000400;1
2013.09.29;25.48;25.82;24.79;25.41;47076;18083900;1
2013.10.06;25.18;25.45;24.24;24.94;51197;18349600;1
2013.10.13;24.74;26.95;24.64;26.51;66437;44213800;1
2013.10.20;26.75;27.50;26.18;26.61;53984;29978400;1
2013.10.27;26.63;28.00;26.36;28.00;45437;24100300;1
2013.11.03;27.91;29.54;27.71;27.88;71182;28436600;1
2013.11.10;27.88;28.28;26.33;27.22;47605;27556000;1
2013.11.17;27.43;27.79;26.33;26.80;36519;13901500;1
2013.11.24;26.92;27.21;25.45;27.21;49835;20303200;1
2013.12.01;26.79;27.37;26.54;26.98;54071;18372800;1
2013.12.08;26.96;27.46;25.89;26.05;46937;14956100;1
2013.12.15;26.05;26.64;25.89;26.14;47563;18395600;1
2013.12.22;26.14;27.07;26.00;26.93;27760;8175400;1
2013.12.29;27.22;27.40;25.65;25.65;38738;16069000;1
2014.01.05;25.51;26.06;24.39;24.47;54438;21333900;1
2014.01.12;24.32;25.31;24.07;24.65;48924;21351500;1
2014.01.19;24.40;24.61;23.33;23.71;70066;28635200;1
2014.01.26;23.78;25.47;23.29;25.07;73549;28093900;1
2014.02.02;25.01;26.39;24.25;25.83;70937;24805800;1
2014.02.09;25.74;26.52;25.47;26.43;95151;26353600;1
2014.02.16;26.52;26.70;26.08;26.26;65697;23924500;1
2014.02.23;26.23;26.23;24.41;25.04;78584;23495500;1
2014.03.02;24.54;24.84;23.09;23.18;32823;14125300;1
2014.03.09;22.77;23.19;22.06;22.20;72002;28635600;1
2014.03.16;22.21;23.34;22.19;23.09;83665;26895500;1
2014.03.23;23.22;23.91;22.97;23.53;82355;27745900;1
2014.03.30;23.75;25.30;23.56;24.64;70073;35097100;1
2014.04.06;25.03;26.13;24.39;25.01;60783;20866400;1
2014.04.13;25.05;25.22;23.60;24.69;57064;17247100;1
2014.04.20;24.47;24.47;23.46;23.65;47022;17128700;1
2014.04.27;23.33;23.71;22.40;23.56;51032;22096900;1
2014.05.04;23.63;23.74;22.79;22.79;50083;15820900;1
2014.05.11;23.32;24.56;23.16;23.71;44528;16225200;1
2014.05.18;23.48;23.48;22.50;22.82;48379;15808800;1
2014.05.25;22.97;23.22;22.07;22.15;38030;15707400;1
2014.06.01;22.44;23.09;22.35;22.91;47518;17803000;1
2014.06.08;22.94;23.35;22.22;22.31;45783;18763900;1
2014.06.15;22.43;22.61;22.01;22.44;34996;13612700;1
2014.06.22;22.70;23.21;22.21;22.67;33969;13240400;1
2014.06.29;22.63;24.48;22.47;24.35;39357;17718200;1
2014.07.06;24.18;24.35;23.71;23.95;30945;10929900;1
