Date,Open,High,Low,Close,Ticks,Volume,Spread
2012.05.01,5.0,5.0,4.32,4.32,29,521200,1
2012.06.01,4.32,4.32,4.09,4.09,17,2261200,1
2012.07.01,3.64,4.14,3.64,4.14,5,8800,1
2012.08.01,4.32,4.39,4.12,4.12,3,2400,1
2012.09.01,4.05,4.12,3.91,4.09,7,5200,1
2012.10.01,3.87,3.87,3.87,3.87,20,241200,1
2012.11.01,3.75,4.1,3.75,4.09,10,114400,1
2012.12.01,4.09,4.1,4.09,4.09,13,125200,1
2013.01.01,4.09,4.09,4.09,4.09,5,143200,1
2013.02.01,4.1,5.12,4.1,5.12,11,161600,1
2013.03.01,5.12,5.35,5.12,5.23,6,42000,1
2013.04.01,4.78,5.46,4.78,5.37,7,429600,1
2013.05.01,4.82,6.15,4.82,6.03,10,45200,1
2013.06.01,5.69,5.71,5.26,5.26,5,28800,1
2013.07.01,5.24,5.26,4.78,5.26,22,300800,1
2013.08.01,5.27,5.46,5.24,5.46,5,42400,1
2013.09.01,5.46,5.92,5.24,5.62,17,32400,1
2013.10.01,6.56,7.17,5.97,7.17,18,64000,1
2013.11.01,7.17,8.61,7.17,8.58,44,139900,1
2013.12.01,8.61,9.74,7.18,7.18,43,32700,1
2014.01.01,6.95,8.13,5.99,6.43,64,13600,1
2014.02.01,6.12,7.12,5.74,5.86,20,2900,1
2014.03.01,5.85,7.64,4.57,6.34,68,66100,1
2014.04.01,6.43,7.28,6.05,7.27,31,33500,1
2014.05.01,6.88,8.06,6.79,7.65,36,24600,1
2014.06.01,7.46,8.08,6.22,6.89,22,10500,1
2014.07.01,7.27,8.13,5.94,6.8,45,19900,1
2014.08.01,6.79,7.17,6.43,7.17,11,2600,1
2014.09.01,7.74,8.13,6.69,6.69,22,4000,1
2014.10.01,7.17,7.17,7.17,7.17,1,300,1
2014.11.01,7.17,7.17,7.17,7.17,2,400,1
2014.12.01,6.69,6.69,4.9,6.5,12,1300,1
2015.01.01,7.04,7.55,7.04,7.55,6,2200,1
2015.02.01,7.36,7.36,7.36,7.36,2,200,1
2015.04.01,5.74,5.74,5.13,5.44,8,1300,1
2015.05.01,5.34,6.33,5.34,6.33,36,11900,1
2015.06.01,6.38,6.92,5.73,6.8,7,34400,1
2015.07.01,5.93,7.88,5.93,7.61,16,9200,1
2015.08.01,7.6,7.62,7.21,7.61,24,96700,1
2015.09.01,5.34,5.75,2.37,2.69,143,59000,1
2015.10.01,2.67,3.53,2.29,2.87,94,41600,1
2015.11.01,2.87,3.16,2.27,2.87,65,37300,1
2015.12.01,2.37,2.57,1.3,1.43,183,192400,1
2016.01.01,1.41,1.55,1.04,1.22,108,98800,1
