Date,Open,High,Low,Close,Ticks,Volume,Spread
2012.04.29,5.0,5.0,5.0,5.0,2,8000,1
2012.05.06,4.78,4.78,4.55,4.55,11,117600,1
2012.05.13,4.55,4.55,4.55,4.55,9,171600,1
2012.05.20,4.62,4.62,4.37,4.37,4,220800,1
2012.05.27,4.33,4.33,4.32,4.32,7,60400,1
2012.06.03,4.32,4.32,4.32,4.32,2,160000,1
2012.06.10,4.11,4.11,4.11,4.11,1,400,1
2012.06.17,4.09,4.09,4.09,4.09,1,800,1
2012.06.24,4.13,4.13,4.09,4.09,9,2042800,1
2012.07.01,3.64,4.14,3.64,4.14,2,1200,1
2012.07.08,4.14,4.14,4.14,4.14,2,6400,1
2012.07.15,4.14,4.14,4.14,4.14,1,1200,1
2012.08.05,4.32,4.39,4.32,4.39,2,1600,1
2012.08.19,4.12,4.12,4.12,4.12,1,800,1
2012.09.02,4.05,4.08,4.05,4.08,2,2800,1
2012.09.09,3.91,4.12,3.91,4.09,5,2400,1
2012.10.14,3.87,3.87,3.87,3.87,6,22800,1
2012.10.21,3.87,3.87,3.87,3.87,12,108800,1
2012.10.28,3.87,3.87,3.87,3.87,2,109600,1
2012.11.04,3.75,3.75,3.75,3.75,1,9600,1
2012.11.11,4.07,4.07,4.07,4.07,1,800,1
2012.11.18,4.07,4.07,4.07,4.07,1,1200,1
2012.11.25,4.09,4.1,4.09,4.09,7,102800,1
2012.12.09,4.09,4.09,4.09,4.09,2,18800,1
2012.12.16,4.09,4.1,4.09,4.1,6,97200,1
2012.12.23,4.09,4.09,4.09,4.09,5,9200,1
2012.12.30,4.09,4.09,4.09,4.09,3,3200,1
2013.01.06,4.09,4.09,4.09,4.09,1,139200,1
2013.01.13,4.09,4.09,4.09,4.09,1,800,1
2013.02.17,4.1,4.1,4.1,4.1,2,69600,1
2013.02.24,5.11,5.12,5.11,5.12,9,92000,1
2013.03.03,5.12,5.12,5.12,5.12,1,1200,1
2013.03.10,5.35,5.35,5.23,5.23,4,2400,1
2013.03.24,5.23,5.23,5.23,5.23,1,38400,1
2013.03.31,4.78,5.46,4.78,5.37,6,328000,1
2013.04.21,5.37,5.37,5.37,5.37,1,101600,1
2013.05.05,4.82,5.58,4.82,5.24,5,8400,1
2013.05.12,5.69,6.15,5.69,6.03,4,36000,1
2013.05.19,6.03,6.03,6.03,6.03,1,800,1
2013.06.02,5.69,5.69,5.69,5.69,1,6000,1
2013.06.09,5.71,5.71,5.71,5.71,1,800,1
2013.06.23,5.71,5.71,5.26,5.26,3,22000,1
2013.06.30,5.24,5.24,5.24,5.24,6,100800,1
2013.07.07,5.01,5.01,4.78,4.78,3,5600,1
2013.07.14,5.24,5.24,5.19,5.19,2,113600,1
2013.07.21,4.98,5.24,4.98,5.24,6,56000,1
2013.07.28,5.24,5.28,5.24,5.28,7,58800,1
2013.08.18,5.24,5.46,5.24,5.46,3,8400,1
2013.09.01,5.46,5.69,5.46,5.69,3,7200,1
2013.09.08,5.69,5.69,5.69,5.69,7,4800,1
2013.09.15,5.92,5.92,5.69,5.69,4,12800,1
2013.09.22,5.24,5.62,5.24,5.62,3,7600,1
2013.09.29,6.56,6.56,6.56,6.56,1,800,1
2013.10.06,5.97,5.97,5.97,5.97,2,12000,1
2013.10.13,6.47,6.68,6.47,6.68,7,26000,1
2013.10.20,6.68,6.68,6.68,6.68,3,10400,1
2013.10.27,6.67,7.17,6.67,7.17,7,35600,1
2013.11.03,7.17,7.53,7.17,7.29,8,32800,1
2013.11.10,7.41,7.41,7.17,7.17,8,12400,1
2013.11.17,7.41,7.41,7.17,7.41,15,52400,1
2013.11.24,8.6,8.61,8.56,8.58,11,21500,1
2013.12.01,8.61,8.61,8.61,8.61,3,1800,1
2013.12.08,9.08,9.74,9.08,9.09,18,5600,1
2013.12.15,7.96,8.61,7.96,8.04,13,22400,1
2013.12.22,7.96,7.96,7.18,7.18,9,2900,1
2014.01.05,6.95,6.95,6.95,6.95,2,700,1
2014.01.12,8.13,8.13,8.13,8.13,2,2400,1
2014.01.19,6.69,6.69,5.99,5.99,21,4600,1
2014.01.26,6.57,8.06,6.29,6.43,39,5900,1
2014.02.02,6.12,6.41,6.12,6.41,2,200,1
2014.02.09,5.93,7.12,5.93,6.07,11,1200,1
2014.02.16,6.31,6.31,6.12,6.12,4,800,1
2014.02.23,5.74,5.86,5.74,5.86,3,700,1
2014.03.02,5.85,5.85,5.74,5.74,4,400,1
2014.03.09,5.74,7.17,4.57,7.17,39,24400,1
2014.03.16,7.64,7.64,6.17,6.21,6,800,1
2014.03.23,6.16,6.4,6.16,6.34,19,40500,1
2014.03.30,6.43,6.79,6.43,6.79,3,400,1
2014.04.06,6.79,6.93,6.05,6.55,19,30900,1
2014.04.13,6.21,6.21,6.21,6.21,1,500,1
2014.04.20,6.89,6.89,6.68,6.68,2,500,1
2014.04.27,6.05,7.28,6.05,7.27,6,1200,1
2014.05.04,6.88,7.27,6.88,7.27,2,200,1
2014.05.11,7.27,8.06,7.17,7.46,27,22500,1
2014.05.18,7.18,7.36,6.79,6.79,6,1600,1
2014.05.25,7.65,7.65,7.65,7.65,1,300,1
2014.06.01,7.46,8.05,7.18,7.55,10,6600,1
2014.06.08,7.46,7.65,7.46,7.65,4,2200,1
2014.06.22,7.65,8.08,7.65,8.08,2,1100,1
2014.06.29,6.22,7.45,6.22,7.27,11,5100,1
2014.07.06,7.27,7.27,7.17,7.17,4,7200,1
2014.07.13,7.63,7.63,7.63,7.63,2,500,1
2014.07.20,7.22,8.13,5.94,7.27,30,7200,1
2014.07.27,6.88,7.17,6.8,6.8,4,500,1
2014.08.03,6.79,6.79,6.79,6.79,2,200,1
2014.08.10,6.88,6.88,6.88,6.88,2,600,1
2014.08.17,6.88,6.88,6.43,6.43,4,1200,1
2014.08.24,6.43,7.17,6.43,7.17,3,600,1
2014.08.31,7.74,7.74,7.74,7.74,2,300,1
2014.09.07,7.74,7.74,6.8,6.8,2,300,1
2014.09.21,8.08,8.13,6.69,6.69,18,3400,1
2014.10.05,7.17,7.17,7.17,7.17,1,300,1
2014.11.02,7.17,7.17,7.17,7.17,1,300,1
2014.11.16,7.17,7.17,7.17,7.17,1,100,1
2014.12.07,6.69,6.69,5.74,5.74,7,700,1
2014.12.14,5.64,5.64,4.9,5.35,4,500,1
2014.12.21,6.5,6.5,6.5,6.5,1,100,1
2015.01.04,7.04,7.04,7.04,7.04,3,1000,1
2015.01.11,7.06,7.55,7.06,7.55,3,1200,1
2015.02.08,7.36,7.36,7.36,7.36,1,100,1
2015.02.15,7.36,7.36,7.36,7.36,1,100,1
2015.04.05,5.74,5.74,5.74,5.74,2,200,1
2015.04.12,5.26,5.26,5.13,5.26,5,1000,1
2015.04.26,5.44,5.44,5.44,5.44,1,100,1
2015.05.03,5.34,5.93,5.34,5.93,6,1600,1
2015.05.10,5.44,5.44,5.44,5.44,1,100,1
2015.05.17,5.93,5.93,5.34,5.73,25,9400,1
2015.05.24,5.93,6.33,5.93,6.33,4,800,1
2015.06.07,6.38,6.38,6.38,6.38,1,100,1
2015.06.14,6.42,6.92,6.42,6.92,2,400,1
2015.06.21,5.73,5.73,5.73,5.73,1,100,1
2015.06.28,6.8,7.88,5.93,7.61,14,37300,1
2015.07.26,7.61,7.61,7.61,7.61,5,5700,1
2015.08.02,7.6,7.6,7.6,7.6,1,500,1
2015.08.09,7.21,7.61,7.21,7.56,9,21700,1
2015.08.16,7.61,7.62,7.61,7.62,7,27100,1
2015.08.23,7.61,7.61,7.51,7.61,6,37600,1
2015.08.30,7.61,7.61,7.61,7.61,1,9800,1
2015.09.06,5.34,5.75,3.46,3.46,45,22900,1
2015.09.13,3.56,3.62,3.0,3.26,25,6200,1
2015.09.20,3.1,3.26,2.37,2.77,59,19000,1
2015.09.27,2.42,2.85,2.38,2.43,47,22700,1
2015.10.04,2.57,3.53,2.29,2.98,29,20900,1
2015.10.11,3.36,3.36,3.01,3.01,4,1600,1
2015.10.18,2.86,3.29,2.86,3.29,6,3800,1
2015.10.25,2.79,2.97,2.37,2.87,22,3500,1
2015.11.01,2.87,3.16,2.72,2.97,21,11400,1
2015.11.08,2.72,2.73,2.72,2.72,4,7600,1
2015.11.15,2.27,2.96,2.27,2.96,37,17800,1
2015.11.22,2.96,2.96,2.95,2.95,2,400,1
2015.11.29,2.87,2.87,2.17,2.2,76,107000,1
2015.12.06,2.21,2.57,1.93,1.93,49,37300,1
2015.12.13,1.86,2.02,1.86,1.86,10,5600,1
2015.12.20,1.88,1.88,1.3,1.5,27,15900,1
2015.12.27,1.54,1.97,1.43,1.43,22,26700,1
2016.01.03,1.41,1.55,1.14,1.17,66,64900,1
2016.01.10,1.09,1.18,1.04,1.17,18,29500,1
2016.01.17,1.19,1.2,1.09,1.12,14,2200,1
2016.01.24,1.11,1.23,1.11,1.22,10,2200,1
2016.01.31,1.32,1.58,1.26,1.57,47,22600,1
2016.02.07,1.55,1.55,1.53,1.53,4,3100,1
2016.02.14,1.62,1.98,1.53,1.98,91,66400,1
2016.02.21,1.97,2.14,1.83,2.13,29,44900,1
2016.02.28,2.14,2.38,1.96,2.24,43,34900,1
2016.03.06,2.22,2.4,2.22,2.38,13,5900,1
2016.03.13,2.1,2.42,2.1,2.39,46,16500,1
2016.03.20,2.4,2.41,2.36,2.36,14,112600,1
2016.03.27,2.09,2.39,2.09,2.36,15,7700,1
2016.04.03,2.37,2.37,2.36,2.36,5,6000,1
2016.04.10,2.35,2.97,2.17,2.38,34,34300,1
2016.04.17,2.39,2.44,2.38,2.44,7,2100,1
2016.04.24,2.57,2.95,2.47,2.95,19,25800,1
2016.05.01,2.95,2.95,2.69,2.69,8,3700,1
2016.05.08,2.48,3.08,2.48,3.06,85,23900,1
2016.05.15,3.42,3.42,2.78,2.78,55,7600,1
2016.05.22,2.78,2.78,2.5,2.68,6,1400,1
2016.05.29,2.68,2.68,2.48,2.58,12,2400,1
2016.06.05,2.58,2.59,2.58,2.59,3,900,1
2016.06.12,2.48,2.61,2.48,2.58,12,4600,1
2016.06.19,3.18,3.42,2.99,2.99,119,21900,1
2016.06.26,2.77,3.13,2.6,3.09,31,7700,1
2016.07.03,3.13,3.14,2.89,2.98,10,1200,1
2016.07.10,3.16,3.67,2.98,3.29,95,35700,1
2016.07.17,3.28,3.57,3.19,3.47,44,9800,1
2016.07.24,3.42,3.47,2.59,2.88,260,37700,1
2016.07.31,2.93,3.05,2.69,2.78,82,26400,1
2016.08.07,2.93,3.16,2.88,3.16,138,38100,1
2016.08.14,3.13,3.13,2.91,2.98,28,7700,1
2016.08.21,2.89,2.98,2.89,2.95,46,20800,1
2016.08.28,2.95,3.03,2.7,3.03,37,13400,1
2016.09.04,2.98,2.98,2.93,2.93,5,2000,1
2016.09.11,2.86,3.01,2.74,2.77,14,9600,1
