Date,Open,High,Low,Close,Ticks,Volume,Spread
2016.02.26,3.956.000,4.019.000,3.931.500,3.998.500,171236,332546,500
2016.02.29,4.020.000,4.058.000,3.984.500,4.051.500,148455,299305,500
2016.03.01,4.030.500,4.050.000,3.956.000,3.956.500,171562,335142,500
2016.03.02,3.965.000,3.972.500,3.914.500,3.921.000,168380,330269,500
2016.03.03,3.912.000,3.912.500,3.805.500,3.827.000,193571,389962,500
2016.03.04,3.717.500,3.804.000,3.681.500,3.786.500,278604,541595,500
2016.03.07,3.790.000,3.820.500,3.758.500,3.802.500,173387,341284,500
2016.03.08,3.815.000,3.823.500,3.753.000,3.778.000,172973,355069,500
2016.03.09,3.763.500,3.770.000,3.700.000,3.703.000,159081,326499,500
2016.03.10,3.691.500,3.727.500,3.626.500,3.642.500,243387,514582,500
2016.03.11,3.625.000,3.685.000,3.590.000,3.605.000,198145,390582,500
2016.03.14,3.613.500,3.681.500,3.594.500,3.680.000,165323,341709,500
2016.03.15,3.732.000,3.797.000,3.690.500,3.779.000,228353,481251,500
2016.03.16,3.796.500,3.867.000,3.745.500,3.755.500,242843,504285,500
2016.03.17,3.665.000,3.700.000,3.613.500,3.637.000,206813,363811,500
2016.03.18,3.657.500,3.685.500,3.581.500,3.638.000,186874,349274,500
2016.03.21,3.635.000,3.657.000,3.607.500,3.631.000,158899,293719,500
2016.03.22,3.655.000,3.659.500,3.582.000,3.584.000,162324,325228,500
2016.03.23,3.619.000,3.692.500,3.612.000,3.689.000,174520,339331,500
2016.03.24,3.708.000,3.726.500,3.683.000,3.685.000,152423,287389,500
2016.03.28,3.668.000,3.678.000,3.625.000,3.632.500,121568,227065,500
2016.03.29,3.646.000,3.679.000,3.634.000,3.644.500,150924,299801,500
2016.03.30,3.639.000,3.652.000,3.599.000,3.600.000,156272,314302,500
2016.03.31,3.646.500,3.658.500,3.559.000,3.622.000,206990,437280,500
2016.04.01,3.629.000,3.648.500,3.563.000,3.577.000,198170,397304,500
2016.04.04,3.596.000,3.656.500,3.572.500,3.649.000,154173,304221,500
2016.04.05,3.673.500,3.714.000,3.653.000,3.703.000,182610,364259,500
2016.04.06,3.726.000,3.736.000,3.660.000,3.668.500,193360,391788,500
2016.04.07,3.688.000,3.745.000,3.672.500,3.716.500,198955,413125,500
2016.04.08,3.681.500,3.694.000,3.608.500,3.613.000,155626,305655,500
2016.04.11,3.605.000,3.611.000,3.507.500,3.514.000,198427,409803,500
2016.04.12,3.514.000,3.582.000,3.498.000,3.512.500,250690,495889,500
2016.04.13,3.524.000,3.581.000,3.489.500,3.518.000,242716,482384,500
2016.04.14,3.535.000,3.549.000,3.468.500,3.502.000,198659,389501,500
2016.04.15,3.490.500,3.574.500,3.485.000,3.545.000,206065,405372,500
2016.04.18,3.489.500,3.633.500,3.484.000,3.629.000,207415,381874,500
2016.04.19,3.593.500,3.599.000,3.535.500,3.544.000,170143,321650,500
2016.04.20,3.550.500,3.576.500,3.533.500,3.535.000,141893,262209,500
2016.04.22,3.562.500,3.608.000,3.562.000,3.574.000,120469,222610,500
2016.04.25,3.566.500,3.577.000,3.547.000,3.570.000,126139,237658,500
2016.04.26,3.550.000,3.553.000,3.523.000,3.533.000,107040,206097,500
2016.04.27,3.525.500,3.559.500,3.515.000,3.528.000,163986,334832,500
2016.04.28,3.523.000,3.525.000,3.483.500,3.493.500,119515,243462,500
2016.04.29,3.526.000,3.531.000,3.463.000,3.469.000,138440,281831,500
2016.05.02,3.490.000,3.540.000,3.484.000,3.534.000,142006,287566,500
2016.05.03,3.570.000,3.611.000,3.558.500,3.586.500,151398,304852,500
2016.05.04,3.598.500,3.602.500,3.556.500,3.576.000,136658,283159,500
2016.05.05,3.551.000,3.579.000,3.536.500,3.560.500,135721,265505,500
2016.05.06,3.576.500,3.599.000,3.520.500,3.525.000,151722,305603,500
2016.05.09,3.520.000,3.697.000,3.516.500,3.541.500,160070,343301,500
2016.05.10,3.529.000,3.533.000,3.485.500,3.498.500,131477,255143,500
2016.05.11,3.501.500,3.504.000,3.461.000,3.469.500,145347,288317,500
2016.05.12,3.455.500,3.525.000,3.451.500,3.503.500,171568,336639,500
2016.05.13,3.505.000,3.555.000,3.485.500,3.551.500,163691,317337,500
2016.05.16,3.543.500,3.551.500,3.511.000,3.514.000,115377,223072,500
2016.05.17,3.503.000,3.542.000,3.496.000,3.501.000,147838,305931,500
2016.05.18,3.544.500,3.582.500,3.532.500,3.580.000,170741,357029,500
2016.05.19,3.581.000,3.630.000,3.569.500,3.576.000,164887,344159,500
2016.05.20,3.566.000,3.570.000,3.526.000,3.528.500,128448,264202,500
2016.05.23,3.567.500,3.597.000,3.552.500,3.579.000,157203,312762,500
2016.05.24,3.570.000,3.595.500,3.548.500,3.578.000,149319,307699,500
2016.05.25,3.565.000,3.628.000,3.555.500,3.587.500,181266,377523,500
2016.05.27,3.599.000,3.631.000,3.597.000,3.610.000,126343,252668,500
2016.05.30,3.605.500,3.617.000,3.567.000,3.574.500,65025,139423,500
2016.05.31,3.598.000,3.671.500,3.588.000,3.650.500,150052,300518,500
2016.06.01,3.650.500,3.668.500,3.618.500,3.638.000,149574,299546,500
2016.06.02,3.630.500,3.643.500,3.610.000,3.627.000,153236,309114,500
2016.06.03,3.625.000,3.628.500,3.552.500,3.560.000,140857,296381,500
2016.06.06,3.554.000,3.557.500,3.512.000,3.518.000,113635,235110,500
2016.06.07,3.509.500,3.539.500,3.465.000,3.465.000,152871,322871,500
2016.06.08,3.432.000,3.435.500,3.379.000,3.381.500,172010,349060,500
2016.06.09,3.398.000,3.427.500,3.383.000,3.425.500,163156,327157,500
2016.06.10,3.440.500,3.468.000,3.431.000,3.438.000,153878,305748,500
2016.06.13,3.441.000,3.507.000,3.433.000,3.497.000,172494,344676,500
2016.06.14,3.525.000,3.532.000,3.473.000,3.498.000,190297,401676,500
2016.06.15,3.485.500,3.515.000,3.460.000,3.488.000,205709,428696,500
2016.06.16,3.498.000,3.523.500,3.475.000,3.477.500,201948,401127,500
2016.06.17,3.466.000,3.474.000,3.426.500,3.426.500,141693,282792,500
2016.06.20,3.400.000,3.417.000,3.385.000,3.406.500,145011,308781,500
2016.06.21,3.393.000,3.426.000,3.365.000,3.420.000,175848,377982,500
2016.06.22,3.414.000,3.418.000,3.376.000,3.387.000,154905,331050,500
2016.06.23,3.358.000,3.382.000,3.345.000,3.349.000,140323,294902,500
2016.06.24,3.445.000,3.457.000,3.358.500,3.380.000,181360,416857,500
2016.06.27,3.399.000,3.420.500,3.378.500,3.399.000,144241,331453,500
2016.06.28,3.360.500,3.364.500,3.301.000,3.304.500,173775,353939,500
2016.06.29,3.267.000,3.279.000,3.221.000,3.221.000,194974,397392,500
2016.06.30,3.264.500,3.272.500,3.208.500,3.240.000,200384,432997,500
2016.07.01,3.256.500,3.274.000,3.222.000,3.268.000,193855,413446,500
2016.07.04,3.263.000,3.299.000,3.260.500,3.299.000,78387,174498,500
2016.07.05,3.321.500,3.333.000,3.302.500,3.330.500,180885,374657,500
2016.07.06,3.341.500,3.368.000,3.338.000,3.352.500,195162,406525,500
2016.07.07,3.363.000,3.397.000,3.344.000,3.397.000,182259,379704,500
