Date,Time,Open,High,Low,Close,Ticks,Volume,Spread
2016.02.26,08:00:00,3.956.000,3.967.500,3.931.500,3.954.500,69863,134836,500
2016.02.26,12:00:00,3.954.000,4.019.000,3.953.500,3.992.000,83249,163863,500
2016.02.26,16:00:00,3.992.000,4.004.000,3.988.500,3.998.500,18124,33847,500
2016.02.29,08:00:00,4.020.000,4.035.500,3.984.500,3.999.000,53145,109083,500
2016.02.29,12:00:00,3.999.000,4.030.000,3.995.000,4.020.000,64085,126934,500
2016.02.29,16:00:00,4.020.000,4.058.000,4.016.500,4.051.500,31225,63288,500
2016.03.01,08:00:00,4.030.500,4.050.000,4.009.500,4.035.500,68682,132339,500
2016.03.01,12:00:00,4.036.000,4.037.000,3.967.000,3.973.000,83308,164874,500
2016.03.01,16:00:00,3.973.000,3.979.000,3.956.000,3.956.500,19572,37929,500
2016.03.02,08:00:00,3.965.000,3.972.500,3.941.500,3.956.000,71084,141463,500
2016.03.02,12:00:00,3.956.000,3.960.000,3.914.500,3.926.500,77627,151808,500
2016.03.02,16:00:00,3.926.000,3.931.000,3.914.500,3.921.000,19669,36998,500
2016.03.03,08:00:00,3.912.000,3.912.500,3.864.000,3.882.000,73764,151245,500
2016.03.03,12:00:00,3.881.500,3.894.000,3.805.500,3.826.000,88141,175783,500
2016.03.03,16:00:00,3.825.500,3.848.000,3.822.500,3.827.000,31666,62934,500
2016.03.04,08:00:00,3.717.500,3.783.000,3.681.500,3.782.500,145637,285425,500
2016.03.04,12:00:00,3.782.000,3.785.000,3.736.000,3.773.500,99365,189333,500
2016.03.04,16:00:00,3.773.500,3.804.000,3.773.000,3.786.500,33602,66837,500
2016.03.07,08:00:00,3.790.000,3.810.000,3.758.500,3.804.500,87880,170394,500
2016.03.07,12:00:00,3.804.000,3.820.000,3.786.000,3.816.000,69129,138659,500
2016.03.07,16:00:00,3.816.000,3.820.500,3.802.500,3.802.500,16378,32231,500
2016.03.08,08:00:00,3.815.000,3.823.500,3.778.000,3.803.500,79156,158270,500
2016.03.08,12:00:00,3.803.500,3.816.500,3.773.000,3.776.500,68552,143918,500
2016.03.08,16:00:00,3.776.500,3.790.000,3.753.000,3.778.000,25265,52881,500
2016.03.09,08:00:00,3.763.500,3.770.000,3.718.500,3.720.000,70472,142145,500
2016.03.09,12:00:00,3.719.500,3.734.500,3.704.000,3.722.500,67662,141841,500
2016.03.09,16:00:00,3.722.500,3.732.000,3.700.000,3.703.000,20947,42513,500
2016.03.10,08:00:00,3.691.500,3.727.500,3.657.000,3.697.500,119516,253928,500
2016.03.10,12:00:00,3.697.500,3.707.000,3.657.000,3.665.500,85008,178918,500
2016.03.10,16:00:00,3.665.000,3.673.000,3.626.500,3.642.500,38863,81736,500
2016.03.11,08:00:00,3.625.000,3.685.000,3.624.000,3.646.000,86415,170881,500
2016.03.11,12:00:00,3.645.500,3.648.500,3.612.500,3.629.000,75712,148521,500
2016.03.11,16:00:00,3.629.000,3.630.000,3.590.000,3.605.000,36018,71180,500
2016.03.14,08:00:00,3.613.500,3.657.000,3.594.500,3.645.500,72152,145377,500
2016.03.14,12:00:00,3.646.000,3.652.000,3.625.000,3.636.500,59942,128433,500
2016.03.14,16:00:00,3.636.500,3.681.500,3.636.500,3.680.000,33229,67899,500
2016.03.15,08:00:00,3.732.000,3.751.000,3.690.500,3.737.000,101178,214631,500
2016.03.15,12:00:00,3.736.500,3.797.000,3.730.000,3.777.500,105817,222275,500
2016.03.15,16:00:00,3.777.000,3.793.000,3.766.000,3.779.000,21358,44345,500
2016.03.16,08:00:00,3.796.500,3.867.000,3.795.500,3.832.000,103953,221621,500
2016.03.16,12:00:00,3.832.500,3.843.000,3.756.000,3.778.500,113378,233688,500
2016.03.16,16:00:00,3.778.500,3.779.500,3.745.500,3.755.500,25512,48976,500
2016.03.17,08:00:00,3.665.000,3.700.000,3.640.000,3.653.000,101401,189707,500
2016.03.17,12:00:00,3.653.000,3.681.500,3.613.500,3.653.500,81876,136081,500
2016.03.17,16:00:00,3.653.000,3.665.000,3.637.000,3.637.000,23536,38023,500
2016.03.18,08:00:00,3.657.500,3.685.500,3.618.500,3.630.000,86589,161160,500
2016.03.18,12:00:00,3.630.500,3.635.500,3.598.000,3.602.500,73060,135097,500
2016.03.18,16:00:00,3.602.500,3.644.000,3.581.500,3.638.000,27225,53017,500
2016.03.21,08:00:00,3.635.000,3.657.000,3.618.000,3.629.500,79346,143913,500
2016.03.21,12:00:00,3.629.500,3.639.000,3.607.500,3.611.000,61958,114606,500
2016.03.21,16:00:00,3.611.000,3.631.000,3.610.500,3.631.000,17595,35200,500
2016.03.22,08:00:00,3.655.000,3.659.500,3.615.000,3.621.500,74951,149334,500
2016.03.22,12:00:00,3.622.000,3.623.500,3.582.000,3.591.500,65911,132414,500
2016.03.22,16:00:00,3.592.000,3.611.500,3.583.500,3.584.000,21462,43480,500
2016.03.23,08:00:00,3.619.000,3.658.000,3.612.000,3.649.500,76208,142878,500
2016.03.23,12:00:00,3.650.000,3.685.000,3.649.000,3.676.500,77414,155629,500
2016.03.23,16:00:00,3.676.000,3.692.500,3.674.000,3.689.000,20898,40824,500
2016.03.24,08:00:00,3.708.000,3.726.500,3.688.000,3.693.500,81250,152467,500
2016.03.24,12:00:00,3.694.000,3.715.500,3.690.500,3.696.500,58267,111829,500
2016.03.24,16:00:00,3.696.500,3.698.500,3.683.000,3.685.000,12906,23093,500
2016.03.28,08:00:00,3.668.000,3.678.000,3.632.500,3.650.500,60506,113421,500
2016.03.28,12:00:00,3.651.000,3.658.000,3.628.500,3.633.000,48639,91388,500
2016.03.28,16:00:00,3.632.500,3.635.500,3.625.000,3.632.500,12423,22256,500
2016.03.29,08:00:00,3.646.000,3.679.000,3.641.000,3.673.000,64851,125369,500
2016.03.29,12:00:00,3.673.000,3.676.500,3.639.500,3.642.000,70468,143022,500
2016.03.29,16:00:00,3.642.000,3.644.500,3.634.000,3.644.500,15605,31410,500
2016.03.30,08:00:00,3.639.000,3.652.000,3.599.000,3.602.500,79071,159284,500
2016.03.30,12:00:00,3.603.000,3.628.500,3.601.500,3.627.000,54299,109205,500
2016.03.30,16:00:00,3.626.500,3.637.000,3.599.500,3.600.000,22902,45813,500
2016.03.31,08:00:00,3.646.500,3.658.500,3.567.000,3.575.500,96556,206223,500
2016.03.31,12:00:00,3.575.000,3.632.000,3.559.000,3.622.000,84989,179437,500
2016.03.31,16:00:00,3.622.000,3.635.000,3.611.000,3.622.000,25445,51620,500
2016.04.01,08:00:00,3.629.000,3.648.500,3.590.500,3.598.500,104673,209625,500
2016.04.01,12:00:00,3.598.000,3.609.000,3.563.000,3.590.000,73358,147840,500
2016.04.01,16:00:00,3.590.000,3.602.000,3.576.000,3.577.000,20139,39839,500
2016.04.04,08:00:00,3.596.000,3.624.500,3.572.500,3.620.000,76710,149034,500
2016.04.04,12:00:00,3.620.000,3.640.500,3.607.500,3.628.500,55233,109881,500
2016.04.04,16:00:00,3.628.500,3.656.500,3.623.000,3.649.000,22230,45306,500
2016.04.05,08:00:00,3.673.500,3.696.000,3.653.000,3.692.000,87822,178068,500
2016.04.05,12:00:00,3.692.000,3.709.000,3.680.000,3.695.000,70986,139892,500
2016.04.05,16:00:00,3.695.500,3.714.000,3.692.500,3.703.000,23802,46299,500
2016.04.06,08:00:00,3.726.000,3.736.000,3.692.000,3.699.000,91813,186194,500
2016.04.06,12:00:00,3.699.000,3.705.000,3.672.500,3.674.000,75641,154488,500
2016.04.06,16:00:00,3.673.500,3.677.000,3.660.000,3.668.500,25906,51106,500
2016.04.07,08:00:00,3.688.000,3.728.500,3.672.500,3.727.000,97788,196465,500
2016.04.07,12:00:00,3.727.500,3.745.000,3.712.000,3.719.000,76774,164244,500
2016.04.07,16:00:00,3.719.500,3.723.000,3.706.000,3.716.500,24393,52416,500
2016.04.08,08:00:00,3.681.500,3.694.000,3.642.000,3.650.500,85860,169592,500
2016.04.08,12:00:00,3.651.000,3.659.000,3.633.000,3.634.500,48531,92382,500
2016.04.08,16:00:00,3.634.000,3.639.500,3.608.500,3.613.000,21235,43681,500
2016.04.11,08:00:00,3.605.000,3.611.000,3.527.000,3.554.000,102136,210136,500
2016.04.11,12:00:00,3.553.500,3.558.500,3.518.500,3.520.000,64492,135168,500
2016.04.11,16:00:00,3.520.000,3.542.000,3.507.500,3.514.000,31799,64499,500
2016.04.12,08:00:00,3.514.000,3.581.500,3.511.500,3.540.500,110118,213471,500
2016.04.12,12:00:00,3.540.000,3.582.000,3.520.500,3.535.000,101244,205395,500
2016.04.12,16:00:00,3.535.000,3.545.500,3.498.000,3.512.500,39328,77023,500
2016.04.13,08:00:00,3.524.000,3.564.500,3.515.000,3.563.500,106592,211756,500
2016.04.13,12:00:00,3.563.500,3.581.000,3.497.000,3.498.000,98909,198495,500
2016.04.13,16:00:00,3.498.000,3.520.500,3.489.500,3.518.000,37215,72133,500
2016.04.14,08:00:00,3.535.000,3.542.000,3.511.500,3.515.500,84711,164675,500
2016.04.14,12:00:00,3.516.000,3.549.000,3.468.500,3.486.000,86378,173372,500
2016.04.14,16:00:00,3.485.500,3.503.000,3.477.500,3.502.000,27570,51454,500
2016.04.15,08:00:00,3.490.500,3.545.000,3.485.000,3.544.000,85449,170450,500
2016.04.15,12:00:00,3.544.000,3.574.500,3.540.000,3.545.500,83964,163782,500
2016.04.15,16:00:00,3.545.000,3.571.500,3.519.000,3.545.000,36652,71140,500
2016.04.18,08:00:00,3.489.500,3.633.500,3.484.000,3.593.000,105637,197133,500
2016.04.18,12:00:00,3.593.500,3.615.500,3.576.000,3.586.000,73353,133588,500
2016.04.18,16:00:00,3.586.500,3.633.000,3.581.500,3.629.000,28425,51153,500
2016.04.19,08:00:00,3.593.500,3.599.000,3.558.500,3.560.500,88707,166749,500
2016.04.19,12:00:00,3.560.500,3.568.500,3.542.000,3.549.500,61750,116688,500
2016.04.19,16:00:00,3.549.500,3.554.000,3.535.500,3.544.000,19686,38213,500
2016.04.20,08:00:00,3.550.500,3.576.500,3.536.000,3.551.000,73213,134749,500
2016.04.20,12:00:00,3.551.000,3.564.000,3.535.000,3.536.000,54754,100464,500
2016.04.20,16:00:00,3.536.000,3.544.000,3.533.500,3.535.000,13926,26996,500
2016.04.22,08:00:00,3.562.500,3.607.500,3.562.000,3.605.500,63783,116877,500
2016.04.22,12:00:00,3.605.000,3.608.000,3.577.000,3.583.000,45469,83963,500
2016.04.22,16:00:00,3.583.000,3.586.000,3.572.000,3.574.000,11217,21770,500
2016.04.25,08:00:00,3.566.500,3.577.000,3.547.500,3.555.000,66837,125561,500
2016.04.25,12:00:00,3.555.000,3.565.500,3.547.000,3.555.500,48166,91956,500
2016.04.25,16:00:00,3.555.500,3.570.000,3.553.500,3.570.000,11136,20141,500
2016.04.26,08:00:00,3.550.000,3.553.000,3.530.500,3.533.000,49208,93652,500
