Date,Time,Open,High,Low,Close,Ticks,Volume,Spread
2016.02.26,09:00:00,3.956.000,3.967.500,3.948.500,3.952.500,12266,20793,500
2016.02.26,09:30:00,3.952.000,3.962.500,3.947.000,3.952.000,11835,21542,500
2016.02.26,10:00:00,3.951.500,3.954.000,3.937.500,3.940.500,12866,25007,500
2016.02.26,10:30:00,3.940.500,3.945.500,3.931.500,3.940.000,12314,25494,500
2016.02.26,11:00:00,3.940.000,3.947.500,3.936.000,3.943.500,8955,18134,500
2016.02.26,11:30:00,3.943.000,3.959.500,3.943.000,3.954.500,11627,23866,500
2016.02.26,12:00:00,3.954.000,3.983.000,3.953.500,3.981.000,14804,30071,500
2016.02.26,12:30:00,3.981.500,3.988.500,3.972.000,3.983.500,9844,19136,500
2016.02.26,13:00:00,3.983.500,4.009.000,3.982.000,4.007.000,13649,28453,500
2016.02.26,13:30:00,4.007.000,4.019.000,4.004.500,4.013.000,12180,22989,500
2016.02.26,14:00:00,4.013.000,4.014.000,3.987.500,3.994.500,11092,22665,500
2016.02.26,14:30:00,3.994.000,3.997.500,3.983.500,3.992.000,8802,17027,500
2016.02.26,15:00:00,3.992.000,3.994.500,3.983.500,3.985.500,6214,11533,500
2016.02.26,15:30:00,3.985.500,3.996.000,3.984.500,3.992.000,6664,11989,500
2016.02.26,16:00:00,3.992.000,3.997.500,3.988.500,3.996.500,6572,11912,500
2016.02.26,16:30:00,3.997.000,3.999.500,3.991.000,3.999.000,3960,7555,500
2016.02.26,17:00:00,3.999.000,4.004.000,3.994.000,4.000.000,4687,8628,500
2016.02.26,17:30:00,4.000.000,4.002.000,3.994.500,4.002.000,2273,3827,500
2016.02.26,18:00:00,4.001.500,4.003.000,3.992.000,3.998.500,632,1925,500
2016.02.29,09:00:00,4.020.000,4.035.500,4.012.500,4.029.500,7236,15374,500
2016.02.29,09:30:00,4.030.000,4.031.000,4.017.500,4.029.000,6087,12807,500
2016.02.29,10:00:00,4.028.500,4.032.500,4.018.500,4.032.000,6824,14540,500
2016.02.29,10:30:00,4.032.000,4.032.500,4.013.000,4.014.500,9838,18571,500
2016.02.29,11:00:00,4.014.500,4.015.000,3.984.500,3.999.500,15397,32408,500
2016.02.29,11:30:00,4.000.000,4.007.000,3.994.000,3.999.000,7763,15383,500
2016.02.29,12:00:00,3.999.000,4.009.000,3.995.000,4.007.500,8980,17928,500
2016.02.29,12:30:00,4.007.500,4.019.000,4.002.500,4.015.500,9233,18143,500
2016.02.29,13:00:00,4.015.000,4.021.500,4.008.500,4.018.000,9588,19188,500
2016.02.29,13:30:00,4.018.000,4.019.000,4.005.500,4.014.000,6757,12992,500
2016.02.29,14:00:00,4.014.500,4.021.000,4.010.000,4.017.500,6596,12932,500
2016.02.29,14:30:00,4.017.000,4.017.500,4.003.000,4.004.500,7695,15391,500
2016.02.29,15:00:00,4.004.500,4.029.000,4.004.500,4.025.000,9380,18770,500
2016.02.29,15:30:00,4.025.500,4.030.000,4.019.000,4.020.000,5856,11590,500
2016.02.29,16:00:00,4.020.000,4.029.500,4.016.500,4.028.000,8407,16826,500
2016.02.29,16:30:00,4.028.000,4.039.500,4.027.500,4.036.500,9385,19733,500
2016.02.29,17:00:00,4.036.000,4.050.000,4.030.000,4.047.500,7280,14483,500
2016.02.29,17:30:00,4.048.000,4.058.000,4.045.500,4.049.500,5685,10996,500
2016.02.29,18:00:00,4.050.000,4.055.500,4.047.500,4.051.500,468,1250,500
2016.03.01,09:00:00,4.030.500,4.035.000,4.009.500,4.011.500,12849,24281,500
2016.03.01,09:30:00,4.011.500,4.027.000,4.011.500,4.021.000,8165,15983,500
2016.03.01,10:00:00,4.021.000,4.050.000,4.018.500,4.044.000,14330,28141,500
2016.03.01,10:30:00,4.044.000,4.045.500,4.033.000,4.035.500,10971,20914,500
2016.03.01,11:00:00,4.035.500,4.040.000,4.028.500,4.039.000,10674,20177,500
2016.03.01,11:30:00,4.039.000,4.048.500,4.033.500,4.035.500,11693,22843,500
2016.03.01,12:00:00,4.036.000,4.037.000,4.023.000,4.024.500,12191,23701,500
2016.03.01,12:30:00,4.025.000,4.027.000,4.005.000,4.009.000,13471,27754,500
2016.03.01,13:00:00,4.009.500,4.009.500,3.983.500,3.983.500,12579,25733,500
2016.03.01,13:30:00,3.984.000,3.988.500,3.974.500,3.979.500,9095,17896,500
