<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2016.02.01;3.956.000;4.058.000;3.931.500;4.051.500;319691;631851;500
2016.03.01;4.030.500;4.050.000;3.559.000;3.622.000;4073216;8089429;500
2016.04.01;3.629.000;3.745.000;3.463.000;3.469.000;3474491;6851524;500
2016.05.01;3.490.000;3.697.000;3.451.500;3.650.500;3046157;6172408;500
2016.06.01;3.650.500;3.668.500;3.208.500;3.240.000;3622179;7549307;500
2016.07.01;3.256.500;3.397.000;3.222.000;3.281.500;3369292;7180324;500
2016.08.01;3.280.000;3.323.000;3.135.500;3.254.000;3499202;8252334;500
2016.09.01;3.248.500;3.383.500;3.189.000;3.287.000;3920476;9797493;500
2016.10.01;3.269.500;3.287.000;3.107.500;3.216.500;3508059;8816074;500
2016.11.01;3.212.000;3.529.000;3.183.500;3.412.500;4438215;10272077;500
2016.12.01;3.422.500;3.522.500;3.264.500;3.281.500;3304228;7994172;500
2017.01.01;3.285.500;3.318.500;3.113.500;3.170.000;3017792;7866039;500
2017.02.01;3.167.500;3.184.000;3.047.000;3.141.500;2639491;7674522;500
2017.03.01;3.146.000;3.219.500;3.070.500;3.140.500;4082357;12200116;500
2017.04.01;3.152.000;3.240.000;3.095.500;3.201.500;3207124;9448451;500
2017.05.01;3.193.000;3.417.500;3.100.000;3.249.500;4037351;11558349;500
2017.06.01;3.254.000;3.356.000;3.237.500;3.327.500;4393903;12696002;500
2017.07.01;3.337.000;3.349.000;3.117.000;3.146.500;4009627;12905178;500
2017.08.01;3.143.000;3.247.000;3.125.000;3.161.000;4291214;15487257;500
2017.09.01;3.155.000;3.203.500;3.086.500;3.176.000;3280359;12721519;500
2017.10.01;3.183.500;3.315.000;3.134.500;3.284.000;3892444;15471812;500
2017.11.01;3.284.500;3.346.500;3.202.000;3.282.000;4214835;14771367;500
2017.12.01;3.287.500;3.351.500;3.228.500;3.329.000;3755700;12862205;500
2018.01.01;3.306.000;3.306.000;3.123.000;3.196.000;4606980;16462677;500
2018.02.01;3.203.000;3.326.000;3.171.500;3.257.500;4526777;15703479;500
2018.03.01;3.265.000;3.344.500;3.214.000;3.312.000;4322406;15831705;500
2018.04.01;3.316.000;3.520.500;3.302.000;3.518.000;4688910;17527645;500
2018.05.01;3.535.500;3.780.500;3.523.500;3.735.500;6252410;21606495;500
2018.06.01;3.758.000;3.977.500;3.678.000;3.889.000;7796728;21700570;500
2018.07.01;3.902.500;3.963.000;3.690.500;3.769.000;6321407;19026576;500
2018.08.01;3.765.500;4.215.500;3.702.500;4.065.000;9061930;28919705;500
2018.09.01;4.103.000;4.216.500;3.966.500;4.059.000;8715293;25221440;500
2018.10.01;4.055.500;4.071.000;3.581.000;3.732.000;11747636;34526173;500
2018.11.01;3.708.000;3.949.500;3.688.000;3.866.500;8801767;26267979;500
2018.12.01;3.826.500;3.947.500;3.819.500;3.883.000;7614067;22913778;500
2019.01.01;3.890.000;3.904.000;3.643.500;3.651.000;8513437;28226124;500
2019.02.01;3.659.500;3.798.500;3.643.500;3.758.500;7555686;27154944;500
2019.03.01;3.757.000;4.018.000;3.740.000;3.930.000;8041602;29251016;500
2019.04.01;3.900.000;4.008.000;3.820.000;3.930.500;6933901;23845598;500
2019.05.01;3.943.500;4.127.000;3.918.500;3.934.500;8536447;31588284;500
2019.06.01;3.941.500;3.944.000;3.809.000;3.861.500;6467538;24636477;500
2019.07.01;3.845.000;3.890.000;3.721.000;3.823.000;6195602;26713750;500
2019.08.01;3.836.000;4.194.500;3.820.000;4.147.500;9393888;37103781;500
2019.09.01;4.149.000;4.197.500;4.031.500;4.162.500;7129594;27230995;500
2019.10.01;4.173.000;4.193.500;3.972.000;4.024.000;8045400;30548748;500
2019.11.01;4.012.500;4.278.000;3.976.500;4.243.500;7500236;28430622;500
2019.12.01;4.258.000;4.260.000;4.013.500;4.025.000;6144292;24076666;500
2020.01.01;4.016.500;4.296.000;4.008.500;4.289.000;7571968;29356211;500
2020.02.01;4.276.500;4.522.500;4.213.500;4.497.000;6543391;26384810;500
2020.03.01;4.508.500;5.260.000;4.460.500;5.214.000;16643880;41337190;500
2020.04.01;5.238.500;5.751.000;5.056.000;5.496.000;15949747;43001785;500
2020.05.01;5.612.000;5.977.500;5.270.000;5.346.500;21647296;55656957;500
2020.06.01;5.340.000;5.514.000;4.820.500;5.465.500;28977788;78151838;500
2020.07.01;5.463.000;5.482.500;5.085.000;5.231.500;26389946;76648387;500
2020.08.01;5.235.500;5.674.500;5.216.500;5.498.000;22651440;69114918;500
2020.09.01;5.452.500;5.679.000;5.213.000;5.616.000;23267745;71224476;500
2020.10.01;5.578.000;5.814.000;5.487.500;5.763.000;21339814;68332854;500
2020.11.01;5.705.000;5.772.000;5.228.000;5.335.000;21943851;70294647;500
2020.12.01;5.317.000;5.330.500;5.010.500;5.202.500;19288509;65377453;500
2021.01.01;5.131.000;5.520.000;5.122.000;5.465.500;22334626;70935521;500
2021.02.01;5.437.500;5.627.500;5.308.000;5.610.000;18397131;61795338;500
2021.03.01;5.593.000;5.882.500;5.451.500;5.541.000;17455239;59638188;0
