Date,Open,High,Low,Close,Ticks,Volume,Spread
2016.02.21,3.956.000,4.019.000,3.931.500,3.998.500,171236,332546,500
2016.02.28,4.020.000,4.058.000,3.681.500,3.786.500,960572,1896273,500
2016.03.06,3.790.000,3.823.500,3.590.000,3.605.000,946973,1928016,500
2016.03.13,3.613.500,3.867.000,3.581.500,3.638.000,1030206,2040330,500
2016.03.20,3.635.000,3.726.500,3.582.000,3.685.000,648166,1245667,500
2016.03.27,3.668.000,3.679.000,3.559.000,3.577.000,833924,1675752,500
2016.04.03,3.596.000,3.745.000,3.572.500,3.613.000,884724,1779048,500
2016.04.10,3.605.000,3.611.000,3.468.500,3.545.000,1096557,2182949,500
2016.04.17,3.489.500,3.633.500,3.484.000,3.574.000,639920,1188343,500
2016.04.24,3.566.500,3.577.000,3.463.000,3.469.000,655120,1303880,500
2016.05.01,3.490.000,3.611.000,3.484.000,3.525.000,717505,1446685,500
2016.05.08,3.520.000,3.697.000,3.451.500,3.551.500,772153,1540737,500
2016.05.15,3.543.500,3.630.000,3.496.000,3.528.500,727291,1494393,500
2016.05.22,3.567.500,3.631.000,3.548.500,3.610.000,614131,1250652,500
2016.05.29,3.605.500,3.671.500,3.552.500,3.560.000,658744,1344982,500
2016.06.05,3.554.000,3.557.500,3.379.000,3.438.000,755550,1539946,500
2016.06.12,3.441.000,3.532.000,3.426.500,3.426.500,912141,1858967,500
2016.06.19,3.400.000,3.457.000,3.345.000,3.380.000,797447,1729572,500
2016.06.26,3.399.000,3.420.500,3.208.500,3.268.000,907229,1929227,500
2016.07.03,3.263.000,3.397.000,3.260.500,3.321.000,833588,1740135,500
2016.07.10,3.326.000,3.340.000,3.233.000,3.297.500,802896,1669153,500
2016.07.17,3.275.000,3.304.500,3.250.000,3.265.000,749868,1621767,500
2016.07.24,3.270.500,3.323.000,3.261.500,3.281.500,789085,1735823,500
2016.07.31,3.280.000,3.323.000,3.187.000,3.190.000,758733,1676216,500
2016.08.07,3.190.000,3.215.000,3.135.500,3.211.000,728374,1688058,500
2016.08.14,3.197.000,3.263.000,3.171.500,3.215.500,744076,1753053,500
2016.08.21,3.227.500,3.282.500,3.193.000,3.265.000,796439,2013746,500
2016.08.28,3.280.000,3.299.000,3.221.000,3.280.000,804702,1937039,500
2016.09.04,3.277.500,3.312.000,3.189.000,3.290.000,732356,1779327,500
2016.09.11,3.317.000,3.383.500,3.260.500,3.280.000,1193239,2856162,500
2016.09.18,3.274.000,3.291.500,3.189.000,3.250.000,777706,1964734,500
2016.09.25,3.255.000,3.291.000,3.213.500,3.287.000,884053,2381492,500
2016.10.02,3.269.500,3.287.000,3.211.500,3.237.500,904818,2333924,500
2016.10.09,3.233.500,3.244.000,3.179.500,3.215.500,729770,1755202,500
2016.10.16,3.212.000,3.229.000,3.143.000,3.157.500,773691,1920970,500
2016.10.23,3.152.000,3.208.500,3.107.500,3.208.000,936676,2408764,500
2016.10.30,3.230.000,3.289.000,3.191.000,3.259.000,807424,1997092,500
2016.11.06,3.228.500,3.529.000,3.183.500,3.411.000,1378741,3177238,500
2016.11.13,3.459.500,3.492.000,3.384.500,3.396.000,984075,2100350,500
2016.11.20,3.391.000,3.474.000,3.338.000,3.415.000,907632,2143463,500
2016.11.27,3.396.500,3.522.500,3.382.000,3.507.000,994621,2374785,500
2016.12.04,3.505.000,3.509.500,3.371.000,3.400.500,919357,2191314,500
2016.12.11,3.415.000,3.427.000,3.318.000,3.406.000,927931,2197646,500
2016.12.18,3.404.000,3.415.000,3.264.500,3.278.000,695389,1714610,500
2016.12.25,3.274.500,3.301.000,3.267.500,3.281.500,290377,766965,500
2017.01.01,3.285.500,3.318.500,3.208.500,3.248.000,638659,1636365,500
2017.01.08,3.249.500,3.255.000,3.169.000,3.236.500,803709,2097023,500
2017.01.15,3.244.500,3.262.500,3.177.500,3.181.000,679719,1773513,500
2017.01.22,3.167.500,3.198.500,3.140.500,3.144.000,558069,1462076,500
2017.01.29,3.142.000,3.184.000,3.113.500,3.144.500,827505,2264542,500
2017.02.05,3.137.000,3.153.500,3.119.000,3.123.500,625453,1793151,500
2017.02.12,3.123.000,3.138.000,3.047.000,3.112.000,811204,2439266,500
2017.02.19,3.105.500,3.145.000,3.054.000,3.141.500,712965,2074625,500
2017.02.26,3.146.000,3.186.500,3.114.500,3.143.000,458273,1379751,500
2017.03.05,3.146.000,3.219.500,3.123.500,3.157.000,908543,2680572,500
2017.03.12,3.151.000,3.199.000,3.099.000,3.105.000,884471,2614985,500
2017.03.19,3.108.500,3.157.000,3.070.500,3.115.500,959805,2882447,500
2017.03.26,3.121.500,3.197.500,3.115.000,3.140.500,871265,2642361,500
2017.04.02,3.152.000,3.174.000,3.098.000,3.161.500,905546,2611782,500
2017.04.09,3.163.000,3.169.500,3.126.500,3.154.500,705279,2071214,500
2017.04.16,3.116.000,3.176.000,3.095.500,3.154.000,699857,2072526,500
2017.04.23,3.127.500,3.240.000,3.123.000,3.201.500,896442,2692929,500
