<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2011.03.01;4.82;4.94;4.80;4.82;433;370590;1
2011.03.02;4.86;5.00;4.83;4.93;568;633275;1
2011.03.03;4.94;4.98;4.94;4.94;305;941217;1
2011.03.04;4.90;4.98;4.89;4.90;754;428033;1
2011.03.09;4.87;4.98;4.87;4.98;413;1065522;1
2011.03.10;4.90;4.91;4.82;4.83;369;505313;1
2011.03.11;4.83;4.83;4.69;4.76;919;1236390;1
2011.03.14;4.74;4.87;4.71;4.78;796;430939;1
2011.03.15;4.76;4.79;4.74;4.74;693;351356;1
2011.03.16;4.74;4.77;4.69;4.69;768;1300640;1
2011.03.17;4.72;4.79;4.68;4.74;399;619765;1
2011.03.18;4.77;4.81;4.75;4.81;140;631464;1
2011.03.21;4.82;4.93;4.81;4.81;585;523510;1
2011.03.22;4.82;4.94;4.81;4.87;535;1234827;1
2011.03.23;4.93;5.00;4.85;4.85;445;558885;1
2011.03.24;4.87;5.00;4.84;4.95;853;863953;1
2011.03.25;4.98;5.17;4.97;5.09;844;982036;1
2011.03.28;5.15;5.29;5.06;5.14;1016;1159926;1
2011.03.29;5.19;5.20;5.06;5.06;674;333644;1
2011.03.30;5.15;5.15;4.98;4.99;705;849653;1
2011.03.31;4.95;5.14;4.95;5.12;1298;670435;1
2011.04.01;5.12;5.19;5.11;5.16;215;366443;1
2011.04.04;5.17;5.24;5.14;5.20;552;852253;1
2011.04.05;5.13;5.24;5.13;5.23;432;318310;1
2011.04.06;5.23;5.28;5.16;5.26;296;392968;1
2011.04.07;5.27;5.29;5.22;5.28;380;237942;1
2011.04.08;5.23;5.29;5.08;5.10;648;1029086;1
2011.04.11;5.21;5.21;5.09;5.15;430;359145;1
2011.04.12;5.20;5.23;5.01;5.12;507;283205;1
2011.04.13;5.19;5.19;5.06;5.10;506;255112;1
2011.04.14;5.05;5.07;4.94;4.95;765;545614;1
2011.04.15;5.14;5.14;4.81;4.84;897;981504;1
2011.04.18;4.89;5.03;4.82;4.91;1210;546126;1
2011.04.19;4.98;5.14;4.93;5.10;1759;1614003;1
2011.04.20;5.14;5.14;5.04;5.06;562;435874;1
2011.04.25;5.17;5.17;4.94;4.95;779;752909;1
2011.04.26;4.93;5.06;4.88;5.00;1158;696194;1
2011.04.27;4.96;4.97;4.74;4.74;1825;3294628;1
2011.04.28;4.72;4.76;4.68;4.73;781;1249920;1
2011.04.29;4.76;4.82;4.61;4.69;1313;1274878;1
2011.05.02;4.69;4.74;4.55;4.57;731;1958380;1
2011.05.03;4.55;4.55;4.42;4.43;741;905824;1
2011.05.04;4.44;4.45;4.43;4.43;469;1410383;1
2011.05.05;4.39;4.44;4.37;4.44;675;1034303;1
2011.05.06;4.45;4.53;4.44;4.47;690;689959;1
2011.05.09;4.52;4.52;4.37;4.42;502;623117;1
2011.05.10;4.42;4.46;4.41;4.44;562;2235086;1
2011.05.11;4.43;4.50;4.43;4.44;1042;364831;1
2011.05.12;4.45;4.51;4.41;4.51;461;776051;1
2011.05.13;4.51;4.64;4.50;4.56;1548;1680606;1
2011.05.16;4.58;4.66;4.57;4.60;876;1667332;1
2011.05.17;4.64;4.64;4.54;4.54;730;711025;1
2011.05.18;4.56;4.57;4.39;4.43;1351;1368244;1
2011.05.19;4.45;4.57;4.42;4.47;423;404665;1
2011.05.20;4.53;4.54;4.44;4.44;881;505290;1
2011.05.23;4.44;4.47;4.34;4.37;734;4079310;1
2011.05.24;4.41;4.46;4.32;4.37;1673;1789566;1
2011.05.25;4.36;4.38;4.26;4.32;1621;1444432;1
2011.05.26;4.35;4.37;4.31;4.33;1652;2021827;1
2011.05.27;4.35;4.35;4.28;4.28;1093;983574;1
2011.05.30;4.29;4.31;4.24;4.27;1209;711817;1
2011.05.31;4.29;4.29;4.20;4.29;822;2708168;1
2011.06.01;4.28;4.33;4.25;4.28;386;1913126;1
2011.06.02;4.29;4.29;4.21;4.21;548;615585;1
2011.06.03;4.20;4.24;4.15;4.17;647;2967731;1
2011.06.06;4.20;4.20;4.16;4.17;461;617399;1
2011.06.07;4.18;4.20;4.01;4.03;1354;2964360;1
2011.06.08;4.03;4.13;4.02;4.13;438;3934184;1
2011.06.09;4.17;4.21;4.14;4.15;736;914933;1
2011.06.10;4.17;4.19;4.07;4.11;617;2186206;1
2011.06.13;4.08;4.09;4.05;4.05;462;1330796;1
2011.06.14;4.07;4.11;4.05;4.11;581;428572;1
2011.06.15;4.07;4.16;4.07;4.13;945;554202;1
2011.06.16;4.14;4.16;4.09;4.09;560;621574;1
2011.06.17;4.09;4.16;4.09;4.11;705;1054572;1
2011.06.20;4.13;4.14;4.09;4.13;567;260038;1
2011.06.21;4.13;4.16;4.11;4.14;258;134963;1
2011.06.22;4.15;4.27;4.15;4.23;676;705569;1
2011.06.24;4.22;4.22;4.13;4.19;507;331576;1
2011.06.27;4.19;4.28;4.19;4.23;813;446018;1
2011.06.28;4.23;4.43;4.22;4.32;1220;2158636;1
2011.06.29;4.40;4.41;4.35;4.40;519;592959;1
2011.06.30;4.40;4.41;4.24;4.26;1495;1434559;1
2011.07.01;4.29;4.36;4.29;4.35;497;331056;1
2011.07.04;4.32;4.40;4.31;4.31;265;199471;1
2011.07.05;4.37;4.39;4.33;4.38;773;1062133;1
2011.07.06;4.37;4.55;4.37;4.55;636;1592191;1
2011.07.07;4.55;4.57;4.36;4.41;424;1087891;1
2011.07.08;4.47;4.47;4.32;4.44;347;361505;1
2011.07.11;4.43;4.46;4.31;4.32;271;279832;1
2011.07.12;4.27;4.30;4.16;4.16;638;914427;1
2011.07.13;4.15;4.44;4.15;4.38;483;1308444;1
2011.07.14;4.38;4.41;4.26;4.28;391;347448;1
2011.07.15;4.31;4.43;4.30;4.39;992;702720;1
2011.07.18;4.39;4.55;4.39;4.55;1279;1451485;1
2011.07.19;4.54;4.65;4.50;4.55;1162;2122228;1
2011.07.20;4.59;4.65;4.53;4.56;768;1859554;1
2011.07.21;4.56;4.62;4.54;4.59;1605;1003909;1
2011.07.22;4.61;4.68;4.28;4.28;1634;4539637;1
2011.07.25;4.31;4.33;4.11;4.14;1369;1698032;1
2011.07.26;4.15;4.23;4.11;4.17;697;1210386;1
2011.07.27;4.17;4.17;4.00;4.04;1163;950031;1
2011.07.28;4.07;4.12;4.02;4.03;1109;1454083;1
2011.07.29;4.00;4.05;3.95;4.04;662;2403621;1
2011.08.01;4.08;4.11;4.05;4.08;269;5106622;1
2011.08.02;4.08;4.19;3.99;4.12;668;630148;1
2011.08.03;4.13;4.16;4.08;4.13;722;1021563;1
2011.08.04;4.12;4.13;3.85;3.95;1089;3256156;1
2011.08.05;3.92;4.06;3.81;3.90;472;644720;1
2011.08.08;3.78;3.84;3.53;3.61;712;1118573;1
2011.08.09;3.61;3.88;3.49;3.73;827;1320133;1
2011.08.10;3.76;3.79;3.63;3.73;482;623907;1
2011.08.11;3.73;3.91;3.70;3.78;245;681136;1
2011.08.12;3.75;3.89;3.74;3.75;344;176055;1
2011.08.15;3.82;3.91;3.80;3.81;300;284254;1
2011.08.16;3.83;3.98;3.76;3.93;836;1394773;1
2011.08.17;3.94;4.04;3.85;4.03;793;1326637;1
2011.08.18;3.91;3.97;3.86;3.86;985;870709;1
2011.08.19;3.86;3.94;3.79;3.79;545;817147;1
2011.08.22;3.87;3.89;3.81;3.81;238;225485;1
2011.08.23;3.85;3.87;3.79;3.82;276;334194;1
2011.08.24;3.86;3.87;3.80;3.82;219;167739;1
2011.08.25;3.86;3.86;3.78;3.80;837;939113;1
2011.08.26;3.79;3.87;3.76;3.79;326;423914;1
2011.08.29;3.84;4.06;3.80;3.99;572;567226;1
2011.08.30;3.99;4.12;3.91;4.09;683;618192;1
2011.08.31;4.11;4.31;4.10;4.14;778;987999;1
2011.09.01;4.20;4.32;4.19;4.31;697;390863;1
2011.09.02;4.21;4.32;4.19;4.28;437;593743;1
2011.09.05;4.19;4.26;4.14;4.21;810;400209;1
2011.09.06;4.23;4.36;4.10;4.31;597;618192;1
2011.09.08;4.32;4.35;4.25;4.34;744;434295;1
2011.09.09;4.26;4.34;4.21;4.26;429;246794;1
2011.09.12;4.25;4.40;4.21;4.31;1106;1055890;1
2011.09.13;4.39;4.43;4.33;4.39;500;425213;1
2011.09.14;4.39;4.55;4.35;4.55;825;693598;1
2011.09.15;4.52;4.62;4.52;4.57;796;724798;1
2011.09.16;4.57;4.58;4.50;4.51;2750;2093323;1
2011.09.19;4.48;4.60;4.45;4.51;709;726382;1
2011.09.20;4.51;4.59;4.42;4.50;840;1088916;1
2011.09.21;4.55;4.63;4.53;4.56;736;861623;1
2011.09.22;4.50;4.52;4.33;4.40;1250;2217125;1
2011.09.23;4.40;4.48;4.31;4.31;878;1633259;1
2011.09.26;4.35;4.43;4.31;4.37;1072;606460;1
2011.09.27;4.39;4.52;4.28;4.39;1156;856410;1
2011.09.28;4.39;4.49;4.29;4.34;749;690230;1
2011.09.29;4.38;4.46;4.38;4.46;670;837680;1
2011.09.30;4.37;4.56;4.37;4.52;1038;988772;1
2011.10.03;4.45;4.65;4.45;4.53;1281;898011;1
2011.10.04;4.45;4.55;4.43;4.44;2137;1289423;1
2011.10.05;4.45;4.52;4.44;4.45;756;882675;1
2011.10.06;4.46;4.65;4.45;4.64;1769;1553666;1
2011.10.07;4.67;4.68;4.57;4.64;899;936519;1
2011.10.10;4.66;4.81;4.64;4.71;1386;3035602;1
2011.10.11;4.74;4.78;4.60;4.62;1423;1400470;1
2011.10.13;4.66;4.73;4.62;4.69;1369;1804401;1
2011.10.14;4.68;4.71;4.64;4.66;1142;917237;1
2011.10.17;4.66;4.71;4.51;4.54;1000;721683;1
2011.10.18;4.54;4.65;4.48;4.59;1291;1358359;1
2011.10.19;4.59;4.70;4.58;4.64;385;415077;1
2011.10.20;4.61;4.75;4.54;4.56;828;958097;1
2011.10.21;4.58;4.64;4.54;4.59;1019;1021821;1
2011.10.24;4.59;4.73;4.59;4.64;1545;827784;1
2011.10.25;4.68;4.68;4.51;4.60;1086;1272009;1
