Date,Time,Open,High,Low,Close,Ticks,Volume,Spread
2011.03.01,11:00:00,4.82,4.84,4.8,4.84,34,21585,1
2011.03.01,12:00:00,4.84,4.86,4.83,4.86,51,27564,1
2011.03.01,13:00:00,4.86,4.86,4.84,4.85,35,16123,1
2011.03.01,14:00:00,4.85,4.85,4.84,4.85,34,13521,1
2011.03.01,15:00:00,4.85,4.91,4.83,4.86,120,62154,1
2011.03.01,16:00:00,4.86,4.89,4.82,4.83,55,70218,1
2011.03.01,17:00:00,4.85,4.94,4.82,4.82,104,159425,1
2011.03.02,11:00:00,4.86,4.86,4.83,4.86,16,4160,1
2011.03.02,12:00:00,4.86,4.88,4.85,4.88,93,46031,1
2011.03.02,13:00:00,4.88,4.93,4.87,4.87,41,28347,1
2011.03.02,14:00:00,4.87,4.9,4.87,4.9,35,11702,1
2011.03.02,15:00:00,4.9,4.92,4.87,4.9,120,158644,1
2011.03.02,16:00:00,4.9,5.0,4.9,4.98,165,205980,1
2011.03.02,17:00:00,4.99,4.99,4.93,4.93,98,178411,1
2011.03.03,11:00:00,4.94,4.95,4.94,4.94,18,776853,1
2011.03.03,12:00:00,4.94,4.97,4.94,4.94,29,10403,1
2011.03.03,13:00:00,4.95,4.96,4.94,4.96,28,17684,1
2011.03.03,14:00:00,4.96,4.97,4.94,4.97,36,15864,1
2011.03.03,15:00:00,4.97,4.98,4.97,4.97,35,14564,1
2011.03.03,16:00:00,4.97,4.97,4.95,4.95,82,40831,1
2011.03.03,17:00:00,4.95,4.95,4.94,4.94,77,65018,1
2011.03.04,11:00:00,4.9,4.96,4.89,4.94,26,16904,1
2011.03.04,12:00:00,4.94,4.96,4.89,4.89,132,46285,1
2011.03.04,13:00:00,4.89,4.91,4.89,4.89,131,43941,1
2011.03.04,14:00:00,4.89,4.91,4.89,4.91,150,81913,1
2011.03.04,15:00:00,4.9,4.92,4.9,4.9,141,43162,1
2011.03.04,16:00:00,4.9,4.93,4.9,4.91,123,81135,1
2011.03.04,17:00:00,4.91,4.98,4.9,4.9,51,114693,1
2011.03.09,13:00:00,4.87,4.95,4.87,4.91,97,155260,1
2011.03.09,14:00:00,4.92,4.97,4.91,4.96,48,235628,1
2011.03.09,15:00:00,4.96,4.97,4.95,4.96,41,78021,1
2011.03.09,16:00:00,4.96,4.96,4.9,4.91,122,349802,1
2011.03.09,17:00:00,4.91,4.98,4.9,4.98,105,246811,1
2011.03.10,11:00:00,4.9,4.9,4.83,4.89,60,128217,1
2011.03.10,12:00:00,4.88,4.91,4.86,4.91,72,136797,1
2011.03.10,13:00:00,4.89,4.91,4.88,4.89,41,48633,1
2011.03.10,14:00:00,4.88,4.9,4.87,4.88,42,17943,1
2011.03.10,15:00:00,4.87,4.89,4.85,4.86,46,14821,1
2011.03.10,16:00:00,4.85,4.86,4.85,4.85,38,11960,1
2011.03.10,17:00:00,4.86,4.86,4.82,4.83,70,146942,1
2011.03.11,11:00:00,4.83,4.83,4.78,4.81,152,81405,1
2011.03.11,12:00:00,4.8,4.8,4.77,4.78,57,50975,1
2011.03.11,13:00:00,4.78,4.78,4.69,4.72,285,550326,1
2011.03.11,14:00:00,4.72,4.74,4.7,4.74,169,272558,1
