<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2011.03.01;08:00:00;4.82;4.84;4.80;4.84;34;21585;1
2011.03.01;12:00:00;4.84;4.91;4.83;4.86;240;119362;1
2011.03.01;16:00:00;4.86;4.94;4.82;4.82;159;229643;1
2011.03.02;08:00:00;4.86;4.86;4.83;4.86;16;4160;1
2011.03.02;12:00:00;4.86;4.93;4.85;4.90;289;244724;1
2011.03.02;16:00:00;4.90;5.00;4.90;4.93;263;384391;1
2011.03.03;08:00:00;4.94;4.95;4.94;4.94;18;776853;1
2011.03.03;12:00:00;4.94;4.98;4.94;4.97;128;58515;1
2011.03.03;16:00:00;4.97;4.97;4.94;4.94;159;105849;1
2011.03.04;08:00:00;4.90;4.96;4.89;4.94;26;16904;1
2011.03.04;12:00:00;4.94;4.96;4.89;4.90;554;215301;1
2011.03.04;16:00:00;4.90;4.98;4.90;4.90;174;195828;1
2011.03.09;12:00:00;4.87;4.97;4.87;4.96;186;468909;1
2011.03.09;16:00:00;4.96;4.98;4.90;4.98;227;596613;1
2011.03.10;08:00:00;4.90;4.90;4.83;4.89;60;128217;1
2011.03.10;12:00:00;4.88;4.91;4.85;4.86;201;218194;1
2011.03.10;16:00:00;4.85;4.86;4.82;4.83;108;158902;1
2011.03.11;08:00:00;4.83;4.83;4.78;4.81;152;81405;1
2011.03.11;12:00:00;4.80;4.80;4.69;4.74;564;920409;1
2011.03.11;16:00:00;4.74;4.78;4.74;4.76;203;234576;1
2011.03.14;08:00:00;4.74;4.75;4.71;4.74;518;207539;1
2011.03.14;12:00:00;4.74;4.87;4.74;4.84;191;119111;1
2011.03.14;16:00:00;4.84;4.87;4.78;4.78;87;104289;1
2011.03.15;08:00:00;4.76;4.79;4.75;4.75;162;91544;1
2011.03.15;12:00:00;4.76;4.78;4.74;4.75;351;162545;1
2011.03.15;16:00:00;4.75;4.76;4.74;4.74;180;97267;1
2011.03.16;08:00:00;4.74;4.77;4.72;4.74;203;229128;1
2011.03.16;12:00:00;4.73;4.75;4.69;4.70;502;852007;1
2011.03.16;16:00:00;4.70;4.74;4.69;4.69;63;219505;1
2011.03.17;08:00:00;4.72;4.72;4.68;4.72;95;121456;1
2011.03.17;12:00:00;4.72;4.79;4.68;4.75;273;260077;1
2011.03.17;16:00:00;4.75;4.75;4.72;4.74;31;238232;1
2011.03.18;08:00:00;4.77;4.79;4.75;4.77;23;16124;1
2011.03.18;12:00:00;4.77;4.80;4.77;4.78;68;448372;1
2011.03.18;16:00:00;4.78;4.81;4.77;4.81;49;166968;1
2011.03.21;08:00:00;4.82;4.91;4.81;4.91;241;177366;1
