<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2011.03.01;11:00:00;4.82;4.83;4.80;4.82;19;9882;1
2011.03.01;11:30:00;4.83;4.84;4.83;4.84;15;11703;1
2011.03.01;12:00:00;4.84;4.85;4.83;4.85;21;11962;1
2011.03.01;12:30:00;4.84;4.86;4.84;4.86;30;15602;1
2011.03.01;13:00:00;4.86;4.86;4.84;4.86;19;11183;1
2011.03.01;13:30:00;4.86;4.86;4.84;4.85;16;4940;1
2011.03.01;14:00:00;4.85;4.85;4.84;4.84;12;4160;1
2011.03.01;14:30:00;4.85;4.85;4.84;4.85;22;9361;1
2011.03.01;15:00:00;4.85;4.86;4.85;4.86;25;8320;1
2011.03.01;15:30:00;4.86;4.91;4.83;4.86;95;53834;1
2011.03.01;16:00:00;4.86;4.88;4.85;4.88;27;10922;1
2011.03.01;16:30:00;4.89;4.89;4.82;4.83;28;59296;1
2011.03.01;17:00:00;4.85;4.86;4.84;4.85;35;21845;1
2011.03.01;17:30:00;4.88;4.94;4.82;4.82;69;137580;1
2011.03.02;11:00:00;4.86;4.86;4.83;4.85;3;780;1
2011.03.02;11:30:00;4.85;4.86;4.85;4.86;13;3380;1
2011.03.02;12:00:00;4.86;4.86;4.85;4.86;61;17684;1
2011.03.02;12:30:00;4.86;4.88;4.85;4.88;32;28347;1
2011.03.02;13:00:00;4.88;4.92;4.88;4.91;20;22626;1
2011.03.02;13:30:00;4.92;4.93;4.87;4.87;21;5721;1
2011.03.02;14:00:00;4.87;4.90;4.87;4.90;21;7802;1
2011.03.02;14:30:00;4.90;4.90;4.89;4.90;14;3900;1
2011.03.02;15:00:00;4.90;4.91;4.90;4.91;27;8581;1
2011.03.02;15:30:00;4.91;4.92;4.87;4.90;93;150063;1
2011.03.02;16:00:00;4.90;5.00;4.90;4.96;121;190637;1
2011.03.02;16:30:00;4.98;4.99;4.97;4.98;44;15343;1
2011.03.02;17:00:00;4.99;4.99;4.95;4.96;20;14823;1
2011.03.02;17:30:00;4.95;4.96;4.93;4.93;78;163588;1
2011.03.03;11:00:00;4.94;4.94;4.94;4.94;2;771391;1
2011.03.03;11:30:00;4.95;4.95;4.94;4.94;16;5462;1
2011.03.03;12:00:00;4.94;4.96;4.94;4.95;11;3901;1
2011.03.03;12:30:00;4.97;4.97;4.94;4.94;18;6502;1
2011.03.03;13:00:00;4.95;4.95;4.94;4.94;21;14043;1
2011.03.03;13:30:00;4.95;4.96;4.94;4.96;7;3641;1
2011.03.03;14:00:00;4.96;4.96;4.94;4.94;20;7021;1
2011.03.03;14:30:00;4.95;4.97;4.95;4.97;16;8843;1
2011.03.03;15:00:00;4.97;4.98;4.97;4.97;19;9623;1
2011.03.03;15:30:00;4.97;4.97;4.97;4.97;16;4941;1
2011.03.03;16:00:00;4.97;4.97;4.96;4.96;73;35110;1
2011.03.03;16:30:00;4.96;4.96;4.95;4.95;9;5721;1
2011.03.03;17:00:00;4.95;4.95;4.94;4.94;42;18205;1
2011.03.03;17:30:00;4.94;4.95;4.94;4.94;35;46813;1
2011.03.04;11:00:00;4.90;4.94;4.89;4.94;9;10403;1
2011.03.04;11:30:00;4.95;4.96;4.93;4.94;17;6501;1
2011.03.04;12:00:00;4.94;4.96;4.90;4.91;52;18982;1
2011.03.04;12:30:00;4.91;4.92;4.89;4.89;80;27303;1
2011.03.04;13:00:00;4.89;4.90;4.89;4.89;63;20280;1
2011.03.04;13:30:00;4.89;4.91;4.89;4.89;68;23661;1
2011.03.04;14:00:00;4.89;4.90;4.89;4.89;83;45768;1
2011.03.04;14:30:00;4.90;4.91;4.89;4.91;67;36145;1
2011.03.04;15:00:00;4.90;4.91;4.90;4.91;63;19500;1
2011.03.04;15:30:00;4.90;4.92;4.90;4.90;78;23662;1
2011.03.04;16:00:00;4.90;4.93;4.90;4.90;81;67095;1
2011.03.04;16:30:00;4.90;4.91;4.90;4.91;42;14040;1
2011.03.04;17:00:00;4.91;4.92;4.91;4.92;18;5201;1
2011.03.04;17:30:00;4.92;4.98;4.90;4.90;33;109492;1
2011.03.09;13:00:00;4.87;4.95;4.87;4.90;37;134719;1
2011.03.09;13:30:00;4.90;4.95;4.89;4.91;60;20541;1
2011.03.09;14:00:00;4.92;4.95;4.91;4.95;37;232768;1
2011.03.09;14:30:00;4.95;4.97;4.95;4.96;11;2860;1
2011.03.09;15:00:00;4.96;4.97;4.95;4.97;22;73081;1
2011.03.09;15:30:00;4.97;4.97;4.96;4.96;19;4940;1
2011.03.09;16:00:00;4.96;4.96;4.95;4.95;58;26267;1
2011.03.09;16:30:00;4.95;4.95;4.90;4.91;64;323535;1
2011.03.09;17:00:00;4.91;4.94;4.90;4.94;63;96747;1
2011.03.09;17:30:00;4.94;4.98;4.93;4.98;42;150064;1
2011.03.10;11:00:00;4.90;4.90;4.90;4.90;1;260;1
2011.03.10;11:30:00;4.90;4.90;4.83;4.89;59;127957;1
2011.03.10;12:00:00;4.88;4.89;4.86;4.88;36;98307;1
2011.03.10;12:30:00;4.87;4.91;4.87;4.91;36;38490;1
2011.03.10;13:00:00;4.89;4.90;4.89;4.90;11;3120;1
2011.03.10;13:30:00;4.90;4.91;4.88;4.89;30;45513;1
2011.03.10;14:00:00;4.88;4.90;4.88;4.88;20;7281;1
2011.03.10;14:30:00;4.88;4.89;4.87;4.88;22;10662;1
2011.03.10;15:00:00;4.87;4.89;4.86;4.87;27;8841;1
2011.03.10;15:30:00;4.86;4.87;4.85;4.86;19;5980;1
2011.03.10;16:00:00;4.85;4.86;4.85;4.85;20;6240;1
2011.03.10;16:30:00;4.86;4.86;4.85;4.85;18;5720;1
2011.03.10;17:00:00;4.86;4.86;4.85;4.85;20;5720;1
2011.03.10;17:30:00;4.85;4.86;4.82;4.83;50;141222;1
2011.03.11;11:00:00;4.83;4.83;4.83;4.83;1;260;1
2011.03.11;11:30:00;4.80;4.82;4.78;4.81;151;81145;1
2011.03.11;12:00:00;4.80;4.80;4.77;4.77;31;19245;1
2011.03.11;12:30:00;4.78;4.80;4.77;4.78;26;31730;1
2011.03.11;13:00:00;4.78;4.78;4.69;4.72;163;428088;1
2011.03.11;13:30:00;4.73;4.73;4.69;4.72;122;122238;1
2011.03.11;14:00:00;4.72;4.74;4.71;4.72;95;203380;1
2011.03.11;14:30:00;4.72;4.74;4.70;4.74;74;69178;1
2011.03.11;15:00:00;4.74;4.74;4.74;4.74;23;16123;1
2011.03.11;15:30:00;4.74;4.75;4.74;4.74;30;30427;1
2011.03.11;16:00:00;4.74;4.76;4.74;4.74;53;58254;1
2011.03.11;16:30:00;4.74;4.75;4.74;4.74;54;55653;1
2011.03.11;17:00:00;4.74;4.75;4.74;4.74;38;31465;1
2011.03.11;17:30:00;4.74;4.78;4.74;4.76;58;89204;1
2011.03.14;10:00:00;4.74;4.75;4.74;4.75;5;1820;1
2011.03.14;10:30:00;4.75;4.75;4.74;4.74;118;53314;1
2011.03.14;11:00:00;4.74;4.74;4.71;4.72;173;63718;1
2011.03.14;11:30:00;4.72;4.74;4.71;4.74;222;88687;1
2011.03.14;12:00:00;4.74;4.78;4.74;4.78;34;11183;1
2011.03.14;12:30:00;4.77;4.81;4.77;4.81;35;23406;1
2011.03.14;13:00:00;4.81;4.82;4.81;4.82;5;1560;1
2011.03.14;13:30:00;4.83;4.84;4.79;4.84;21;9101;1
2011.03.14;14:00:00;4.84;4.85;4.84;4.85;13;4161;1
2011.03.14;14:30:00;4.84;4.85;4.83;4.85;18;8322;1
2011.03.14;15:00:00;4.85;4.87;4.85;4.87;29;9621;1
2011.03.14;15:30:00;4.85;4.87;4.84;4.84;36;51757;1
2011.03.14;16:00:00;4.84;4.85;4.84;4.85;42;43173;1
2011.03.14;16:30:00;4.85;4.87;4.78;4.78;45;61116;1
2011.03.15;10:00:00;4.76;4.77;4.75;4.76;18;21586;1
2011.03.15;10:30:00;4.76;4.79;4.76;4.78;32;14823;1
2011.03.15;11:00:00;4.77;4.78;4.76;4.76;16;11182;1
2011.03.15;11:30:00;4.76;4.78;4.75;4.75;96;43953;1
2011.03.15;12:00:00;4.76;4.78;4.75;4.75;83;32248;1
2011.03.15;12:30:00;4.77;4.77;4.75;4.77;38;13263;1
2011.03.15;13:00:00;4.76;4.76;4.75;4.75;24;7802;1
2011.03.15;13:30:00;4.76;4.76;4.76;4.76;5;1300;1
2011.03.15;14:00:00;4.76;4.76;4.74;4.74;114;71002;1
2011.03.15;14:30:00;4.74;4.75;4.74;4.75;18;7802;1
2011.03.15;15:00:00;4.75;4.77;4.74;4.77;54;24187;1
2011.03.15;15:30:00;4.77;4.77;4.75;4.75;15;4941;1
2011.03.15;16:00:00;4.75;4.76;4.74;4.75;64;21585;1
2011.03.15;16:30:00;4.75;4.76;4.74;4.74;116;75682;1
