<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2011.03.01;4.82;5.29;4.68;5.12;13512;15691373;1
2011.04.01;5.12;5.29;4.61;4.69;15015;15486114;1
2011.05.01;4.69;4.74;4.20;4.29;20486;30073790;1
2011.06.01;4.28;4.43;4.01;4.26;14495;26167558;1
2011.07.01;4.29;4.68;3.95;4.04;17165;26880084;1
2011.08.01;4.08;4.31;3.49;4.14;13218;23536395;1
2011.09.01;4.20;4.63;4.10;4.52;18789;18183775;1
2011.10.01;4.45;4.81;4.43;4.60;23383;23088530;1
2011.11.01;4.49;4.66;4.10;4.33;12559;11004465;1
2011.12.01;4.33;4.64;4.13;4.56;11511;11833444;1
2012.01.01;4.63;4.88;4.53;4.73;10572;13200948;1
2012.02.01;4.78;5.02;4.54;4.67;15845;18718400;1
2012.03.01;4.67;5.01;4.63;4.86;16226;19062757;1
2012.04.01;4.89;5.04;4.63;4.95;12984;12975239;1
2012.05.01;4.88;5.15;4.83;5.11;11115;14861042;1
2012.06.01;5.08;5.14;4.55;4.81;15812;13007338;1
2012.07.01;4.79;4.79;4.41;4.59;12829;14811895;1
2012.08.01;4.63;5.04;4.59;4.99;12527;10789204;1
2012.09.01;4.96;6.00;4.95;5.88;19709;14357630;1
2012.10.01;5.93;5.97;5.66;5.81;15254;13341872;1
2012.11.01;5.78;6.78;5.75;6.78;68872;135798681;1
2012.12.01;6.71;7.10;6.42;6.74;52545;41659215;1
2013.01.01;6.80;7.41;6.30;6.30;36049;27498764;1
2013.02.01;6.30;6.69;5.94;6.67;43439;38367867;1
2013.03.01;6.60;6.90;6.36;6.57;35464;23338091;1
2013.04.01;6.51;6.78;6.03;6.61;41095;33853710;1
2013.05.01;6.52;7.32;6.52;7.15;46291;36775485;1
2013.06.01;7.15;7.23;6.78;7.12;46580;37301666;1
2013.07.01;7.11;7.30;6.94;7.14;40541;25967624;1
2013.08.01;7.14;7.36;6.66;7.14;54099;31442901;1
2013.09.01;7.18;7.29;6.90;6.90;45155;26466083;1
2013.10.01;6.90;7.53;6.81;7.44;49201;29692781;1
2013.11.01;7.44;8.19;7.37;8.05;50797;30089788;1
2013.12.01;7.99;8.33;7.90;7.99;47826;29152990;1
2014.01.01;8.01;8.03;6.99;7.02;47393;27404151;1
2014.02.01;7.02;8.09;6.87;7.99;44150;27126215;1
2014.03.01;7.98;8.39;7.70;8.30;36446;28084506;1
2014.04.01;8.29;9.21;8.28;9.16;54225;30042164;1
2014.05.01;9.19;9.51;8.85;8.86;42646;21386000;1
2014.06.01;8.89;9.84;8.85;9.66;36525;18725800;1
2014.07.01;9.68;9.91;9.10;9.34;57790;31083000;1
2014.08.01;9.40;9.62;8.91;9.61;55922;30737200;1
2014.09.01;9.61;9.99;9.45;9.84;63048;36553400;1
2014.10.01;9.78;10.24;9.06;10.06;92582;47907600;1
2014.11.01;10.11;10.69;10.00;10.46;53133;25410800;1
2014.12.01;10.39;10.99;10.01;10.56;52424;23683200;1
2015.01.01;10.61;11.53;10.28;11.04;50923;23714000;1
2015.02.01;11.18;11.74;10.66;10.66;47522;23461400;1
2015.03.01;10.67;11.25;10.35;11.07;69050;36340400;1
2015.04.01;11.14;11.54;10.80;11.18;95690;26926000;1
2015.05.01;11.17;12.44;11.17;11.99;84424;24088700;1
2015.06.01;12.14;13.51;11.84;13.31;87477;28765800;1
2015.07.01;13.38;14.10;12.70;13.19;133325;39379800;1
