Date,Open,High,Low,Close,Ticks,Volume,Spread
2011.02.27,4.82,5.0,4.8,4.9,2060,2373115,1
2011.03.06,4.87,4.98,4.69,4.76,1701,2807225,1
2011.03.13,4.74,4.87,4.68,4.81,2796,3334164,1
2011.03.20,4.82,5.17,4.81,5.09,3262,4163211,1
2011.03.27,5.15,5.29,4.95,5.16,3908,3380101,1
2011.04.03,5.17,5.29,5.08,5.1,2308,2830559,1
2011.04.10,5.21,5.23,4.81,4.84,3105,2424580,1
2011.04.17,4.89,5.14,4.82,5.06,3531,2596003,1
2011.04.24,5.17,5.17,4.61,4.69,5856,7268529,1
2011.05.01,4.69,4.74,4.37,4.47,3306,5998849,1
2011.05.08,4.52,4.64,4.37,4.56,4115,5679691,1
2011.05.15,4.58,4.66,4.39,4.44,4261,4656556,1
2011.05.22,4.44,4.47,4.26,4.28,6773,10318709,1
2011.05.29,4.29,4.33,4.15,4.17,3612,8916427,1
2011.06.05,4.2,4.21,4.01,4.11,3606,10617082,1
2011.06.12,4.08,4.16,4.05,4.11,3253,3989716,1
2011.06.19,4.13,4.27,4.09,4.19,2008,1432146,1
2011.06.26,4.19,4.43,4.19,4.35,4544,4963228,1
2011.07.03,4.32,4.57,4.31,4.44,2445,4303191,1
2011.07.10,4.43,4.46,4.15,4.39,2775,3552871,1
2011.07.17,4.39,4.68,4.28,4.28,6448,10976813,1
2011.07.24,4.31,4.33,3.95,4.04,5000,7716153,1
2011.07.31,4.08,4.19,3.81,3.9,3220,10659209,1
2011.08.07,3.78,3.91,3.49,3.75,2610,3919804,1
2011.08.14,3.82,4.04,3.76,3.79,3459,4693520,1
2011.08.21,3.87,3.89,3.76,3.79,1896,2090445,1
2011.08.28,3.84,4.32,3.8,4.28,3167,3158023,1
2011.09.04,4.19,4.36,4.1,4.26,2580,1699490,1
2011.09.11,4.25,4.62,4.21,4.51,5977,4992822,1
2011.09.18,4.48,4.63,4.31,4.31,4413,6527305,1
2011.09.25,4.35,4.56,4.28,4.52,4685,3979552,1
2011.10.02,4.45,4.68,4.43,4.64,6842,5560294,1
2011.10.09,4.66,4.81,4.6,4.66,5320,7157710,1
2011.10.16,4.66,4.75,4.48,4.59,4523,4475037,1
2011.10.23,4.59,4.78,4.51,4.66,5925,5287470,1
2011.10.30,4.66,4.74,4.42,4.59,2977,2831069,1
2011.11.06,4.57,4.65,4.48,4.6,3095,2876335,1
2011.11.13,4.6,4.6,4.34,4.35,2272,1800446,1
2011.11.20,4.32,4.38,4.1,4.16,2991,2278427,1
2011.11.27,4.21,4.41,4.1,4.29,2891,2668562,1
2011.12.04,4.29,4.41,4.13,4.19,2942,2251109,1
2011.12.11,4.19,4.32,4.15,4.23,2783,2418645,1
2011.12.18,4.26,4.64,4.24,4.56,3382,4264675,1
2011.12.25,4.5,4.63,4.44,4.56,1510,2056660,1
2012.01.01,4.63,4.88,4.53,4.64,2448,4605646,1
2012.01.08,4.64,4.67,4.56,4.64,1863,2449602,1
2012.01.15,4.64,4.71,4.62,4.65,1226,1137544,1
2012.01.22,4.65,4.86,4.64,4.76,3582,3068806,1
2012.01.29,4.74,4.79,4.64,4.66,4272,4057837,1
2012.02.05,4.7,5.02,4.62,4.68,5712,7408474,1
2012.02.12,4.69,4.82,4.54,4.71,3962,4144215,1
2012.02.19,4.68,4.8,4.63,4.74,1378,1263410,1
2012.02.26,4.75,4.86,4.63,4.83,2984,6348139,1
2012.03.04,4.83,4.92,4.7,4.75,3847,3815203,1
2012.03.11,4.79,5.01,4.73,4.84,4939,5919023,1
2012.03.18,4.89,4.93,4.77,4.81,2761,1932565,1
2012.03.25,4.83,4.98,4.79,4.86,3669,4831641,1
2012.04.01,4.89,4.92,4.63,4.76,5398,4391067,1
2012.04.08,4.72,4.9,4.72,4.78,2466,2999966,1
2012.04.15,4.79,5.04,4.77,4.97,2061,3241536,1
2012.04.22,5.01,5.01,4.79,4.95,2907,2223821,1
2012.04.29,4.91,5.03,4.85,4.91,2099,2078722,1
2012.05.06,4.86,5.03,4.86,5.03,2265,2097458,1
2012.05.13,5.03,5.03,4.83,4.91,3305,4500558,1
2012.05.20,4.93,4.98,4.86,4.98,1900,3915670,1
2012.05.27,4.97,5.15,4.93,4.98,2293,3108393,1
2012.06.03,5.01,5.14,4.87,4.92,3550,3831858,1
2012.06.10,5.01,5.01,4.64,4.69,4462,3114837,1
2012.06.17,4.69,4.78,4.55,4.69,3781,3129669,1
2012.06.24,4.71,4.87,4.6,4.81,3424,2210064,1
2012.07.01,4.79,4.79,4.58,4.61,2878,3798112,1
2012.07.08,4.63,4.78,4.56,4.63,3924,2968194,1
2012.07.15,4.6,4.7,4.56,4.6,2079,2792126,1
2012.07.22,4.57,4.68,4.41,4.65,2602,4389529,1
2012.07.29,4.66,4.76,4.59,4.72,2750,1835544,1
2012.08.05,4.67,4.84,4.67,4.71,2264,2256351,1
2012.08.12,4.71,4.98,4.71,4.78,3952,3342423,1
2012.08.19,4.79,4.94,4.78,4.84,2365,1753103,1
2012.08.26,4.86,5.04,4.8,4.99,2542,2465717,1
2012.09.02,4.96,5.5,4.95,5.43,4560,3317992,1
2012.09.09,5.43,5.67,5.28,5.58,4848,3046128,1
2012.09.16,5.53,5.75,5.49,5.7,5765,4228487,1
2012.09.23,5.71,6.0,5.5,5.88,4536,3765023,1
2012.09.30,5.93,5.97,5.73,5.78,3690,2769433,1
2012.10.07,5.78,5.87,5.66,5.84,2223,1204096,1
2012.10.14,5.84,5.89,5.67,5.85,3397,3402782,1
2012.10.21,5.82,5.85,5.73,5.79,3829,4280287,1
2012.10.28,5.83,5.88,5.71,5.83,2989,2624400,1
2012.11.04,5.83,6.08,5.75,5.85,7109,9953612,1
2012.11.11,5.83,6.55,5.8,6.29,9528,9240003,1
2012.11.18,6.17,6.39,6.17,6.28,12664,18673810,1
2012.11.25,6.27,6.78,6.22,6.78,38697,96992130,1
2012.12.02,6.71,7.07,6.6,6.79,21562,20623588,1
2012.12.09,6.72,7.09,6.42,6.86,18226,12368444,1
2012.12.16,6.86,6.99,6.7,6.8,10239,6063625,1
2012.12.23,6.82,7.1,6.74,6.74,2518,2603558,1
2012.12.30,6.8,7.41,6.79,7.25,7665,6799426,1
2013.01.06,7.19,7.23,6.75,6.86,7002,4908289,1
2013.01.13,6.87,6.94,6.55,6.74,7235,6011565,1
2013.01.20,6.72,6.86,6.63,6.71,6203,4005867,1
