<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2016.02.17;41675;43065;41675;42100;191277;515734;5
2016.02.18;41900;42340;41780;42040;174725;443230;5
2016.02.19;41950;42530;41590;42070;164095;438603;5
2016.02.22;43110;44050;42805;43955;173293;454031;5
2016.02.23;43900;44265;42970;43060;177655;459918;5
2016.02.24;42400;42800;41775;42700;179664;453432;5
2016.02.25;42600;42945;42000;42490;180474;458195;5
2016.02.26;42955;43195;41915;42030;167731;441907;5
2016.02.29;42205;43640;42145;43260;193836;527162;5
2016.03.01;43780;44780;43640;44780;206019;569664;5
2016.03.02;44750;45525;44330;45350;233828;653679;5
2016.03.03;45655;47990;45610;47770;291270;807171;5
2016.03.04;50690;50690;48850;49700;324375;806255;5
2016.03.07;49400;50465;49215;49790;286950;700463;5
2016.03.08;49300;50495;49130;49760;253670;610006;5
2016.03.09;49880;50570;49075;49275;233658;565864;5
2016.03.10;50055;50560;48370;50100;300094;714473;5
2016.03.11;50370;50630;49590;50100;238456;592339;5
2016.03.14;50235;50970;48715;48800;262547;610482;5
2016.03.15;47870;48450;47050;47610;269244;627110;5
2016.03.16;47565;48630;46805;48560;261844;620530;5
2016.03.17;50500;51800;49815;51800;296444;683244;5
2016.03.18;51600;51920;50555;51030;203271;457412;5
2016.03.21;51200;51760;51080;51500;169355;387446;5
2016.03.22;50920;51600;50845;51600;169746;374370;5
2016.03.23;51275;51275;49580;49580;184986;438950;5
2016.03.24;49075;50080;48985;50050;152032;351478;5
2016.03.28;50430;51440;50400;51290;155692;366947;5
2016.03.29;51310;52060;50585;51430;215738;484025;5
2016.03.30;51955;52515;51080;51310;227942;556748;5
2016.03.31;51100;51140;49765;50310;197203;479502;5
2016.04.01;49945;50960;49425;50700;199796;483181;5
2016.04.04;50440;50480;48535;48535;178095;439051;5
2016.04.05;48255;49785;48130;48905;224603;577711;5
2016.04.06;48900;49100;47930;48355;196144;479587;5
2016.04.07;48035;49040;48030;48600;197848;492392;5
2016.04.08;49770;50580;49630;50510;166278;375022;5
2016.04.11;50600;51145;50055;50075;177571;422894;5
2016.04.12;50850;52425;50570;52275;222456;529708;5
2016.04.13;54000;54925;53515;53515;216334;492478;5
2016.04.14;53760;54780;53205;53700;244778;585803;5
2016.04.15;54250;54445;53615;54185;198164;483853;5
2016.04.18;54855;54975;53215;53700;191731;442042;5
2016.04.19;54385;55055;53975;54665;177731;399866;5
2016.04.20;54300;54795;54035;54515;153944;351793;5
2016.04.22;53900;54240;53265;53950;155245;352915;5
2016.04.25;53775;53830;52550;52670;148959;344255;5
2016.04.26;53000;54200;52675;54200;182283;419471;5
2016.04.27;53935;55670;53910;55670;179382;424787;5
2016.04.28;55050;55850;54815;55450;181331;423652;5
2016.04.29;55335;55555;54360;54550;201667;475894;5
2016.05.02;54800;54990;54025;54250;173443;397538;5
2016.05.03;53670;53710;52910;53070;159966;376912;5
2016.05.04;52620;53435;52380;53400;178105;437022;5
2016.05.05;53545;53790;51975;52555;213955;517140;5
2016.05.06;52400;52870;51765;52385;202185;454252;5
2016.05.09;52485;52575;50120;51650;240017;564743;5
2016.05.10;52080;54155;52070;54155;190648;457467;5
2016.05.11;54000;54740;53160;53160;252604;593091;5
2016.05.12;53820;54490;52965;53730;272886;663815;5
2016.05.13;53340;53855;51790;51880;243871;594982;5
2016.05.16;52295;52855;51735;52300;192509;444084;5
2016.05.17;52565;52820;51125;51400;211774;504785;5
2016.05.18;51100;51855;50615;50920;241423;567447;5
2016.05.19;50700;50770;49955;50540;220891;528718;5
2016.05.20;50800;51250;50000;50140;191890;464957;5
2016.05.23;49320;49975;48955;49390;205249;489925;5
2016.05.24;49720;50355;49460;49795;182642;431065;5
2016.05.25;50100;50720;49625;49860;204621;483024;5
2016.05.27;50000;50140;49135;49490;156059;386582;5
2016.05.30;49585;49625;49065;49150;94623;236470;5
2016.05.31;49235;49545;48515;48610;209727;517701;5
2016.06.01;48500;49325;48225;49100;184776;480220;5
