Date,Time,Open,High,Low,Close,Ticks,Volume,Spread
2016.02.17,09:00:00,41675,42045,41675,41990,9837,25197,5
2016.02.17,10:00:00,41995,42310,41880,42250,14619,37593,5
2016.02.17,11:00:00,42255,42255,42075,42160,12832,32977,5
2016.02.17,12:00:00,42160,42425,42155,42360,22126,57140,5
2016.02.17,13:00:00,42365,42485,42305,42420,19350,51266,5
2016.02.17,14:00:00,42420,42715,42340,42710,20786,56942,5
2016.02.17,15:00:00,42710,43065,42710,43045,25017,71285,5
2016.02.17,16:00:00,43040,43040,41735,42310,44850,124231,5
2016.02.17,17:00:00,42325,42590,42125,42240,21077,56235,5
2016.02.17,18:00:00,42245,42280,42070,42100,783,2868,5
2016.02.18,09:00:00,41900,42340,41870,42025,18714,43617,5
2016.02.18,10:00:00,42020,42315,41840,41950,27986,68011,5
2016.02.18,11:00:00,41950,42275,41810,42225,20042,51619,5
2016.02.18,12:00:00,42225,42335,41975,42185,24783,66937,5
2016.02.18,13:00:00,42175,42280,42025,42075,17616,46740,5
2016.02.18,14:00:00,42075,42075,41780,41935,24423,62605,5
2016.02.18,15:00:00,41940,42135,41920,42010,15321,37833,5
2016.02.18,16:00:00,42010,42180,42005,42025,11656,29979,5
2016.02.18,17:00:00,42020,42210,41950,42155,13050,31368,5
2016.02.18,18:00:00,42155,42190,42040,42040,1134,4521,5
2016.02.19,09:00:00,41950,41965,41710,41790,13952,33983,5
2016.02.19,10:00:00,41780,41840,41590,41815,17222,45455,5
2016.02.19,11:00:00,41815,41885,41630,41685,15820,40972,5
2016.02.19,12:00:00,41685,41930,41665,41835,21660,59776,5
2016.02.19,13:00:00,41835,41975,41720,41775,19937,53903,5
2016.02.19,14:00:00,41775,42130,41755,42090,21193,58440,5
2016.02.19,15:00:00,42085,42100,41855,41910,13551,37211,5
2016.02.19,16:00:00,41910,41945,41810,41940,11746,32712,5
2016.02.19,17:00:00,41940,42530,41940,42175,28198,72507,5
2016.02.19,18:00:00,42190,42190,42070,42070,816,3644,5
2016.02.22,09:00:00,43110,43365,42805,43320,19074,50307,5
2016.02.22,10:00:00,43320,43470,43135,43295,24996,65032,5
2016.02.22,11:00:00,43290,43545,43215,43385,26388,67349,5
2016.02.22,12:00:00,43395,43655,43395,43590,20164,52681,5
2016.02.22,13:00:00,43590,43665,43475,43595,16593,41689,5
2016.02.22,14:00:00,43595,43815,43570,43780,15981,42071,5
2016.02.22,15:00:00,43780,43990,43755,43925,20779,55751,5
2016.02.22,16:00:00,43930,43965,43815,43840,13722,35522,5
2016.02.22,17:00:00,43835,44050,43760,44000,14413,37997,5
2016.02.22,18:00:00,44015,44015,43900,43955,1183,5632,5
2016.02.23,09:00:00,43900,43900,43650,43775,12711,30437,5
2016.02.23,10:00:00,43780,44265,43610,44015,35059,91692,5
2016.02.23,11:00:00,44010,44060,43615,43690,31067,79632,5
2016.02.23,12:00:00,43685,43720,43285,43320,24693,64761,5
2016.02.23,13:00:00,43320,43425,43225,43285,16196,42936,5
2016.02.23,14:00:00,43280,43320,43045,43110,16667,44551,5
2016.02.23,15:00:00,43110,43275,43100,43245,14037,36030,5
2016.02.23,16:00:00,43240,43345,43135,43150,14191,35912,5
2016.02.23,17:00:00,43155,43165,42970,43040,12182,30129,5
2016.02.23,18:00:00,43035,43125,43030,43060,852,3838,5
2016.02.24,09:00:00,42400,42460,41990,42270,18209,46883,5
2016.02.24,10:00:00,42270,42345,42105,42160,21813,54023,5
2016.02.24,11:00:00,42155,42165,41815,41840,24563,60947,5
2016.02.24,12:00:00,41830,42125,41775,42005,23758,58630,5
2016.02.24,13:00:00,42005,42190,41905,42165,15897,40376,5
2016.02.24,14:00:00,42170,42360,42150,42275,19456,52226,5
2016.02.24,15:00:00,42275,42485,42220,42230,19425,48884,5
2016.02.24,16:00:00,42230,42455,42200,42380,15528,39286,5
2016.02.24,17:00:00,42385,42800,42300,42665,20086,48715,5
2016.02.24,18:00:00,42675,42740,42635,42700,929,3462,5
2016.02.25,09:00:00,42600,42675,42140,42245,19125,46034,5
2016.02.25,10:00:00,42245,42700,42105,42660,26336,68384,5
2016.02.25,11:00:00,42655,42945,42460,42475,31256,79534,5
2016.02.25,12:00:00,42475,42525,42235,42250,19957,49476,5
2016.02.25,13:00:00,42250,42470,42185,42440,15408,37961,5
2016.02.25,14:00:00,42445,42465,42000,42055,19101,48890,5
2016.02.25,15:00:00,42060,42450,42035,42440,19808,52252,5
2016.02.25,16:00:00,42440,42545,42275,42385,17233,44297,5
2016.02.25,17:00:00,42385,42565,42305,42480,11475,28508,5
2016.02.25,18:00:00,42490,42520,42420,42490,775,2859,5
2016.02.26,09:00:00,42955,43125,42825,43005,14427,35667,5
2016.02.26,10:00:00,43010,43195,42835,42970,23949,59283,5
2016.02.26,11:00:00,42975,43025,42445,42460,30670,81239,5
2016.02.26,12:00:00,42460,42500,42120,42200,23714,63546,5
2016.02.26,13:00:00,42200,42365,42055,42100,17829,46043,5
2016.02.26,14:00:00,42100,42245,42030,42100,15738,40889,5
2016.02.26,15:00:00,42100,42285,41960,42030,16064,42609,5
2016.02.26,16:00:00,42025,42090,41915,42035,12606,36504,5
2016.02.26,17:00:00,42040,42265,42030,42165,11826,32371,5
2016.02.26,18:00:00,42170,42195,42030,42030,908,3756,5
2016.02.29,09:00:00,42205,42620,42145,42520,13978,35571,5
2016.02.29,10:00:00,42525,42950,42505,42910,24790,63249,5
2016.02.29,11:00:00,42910,43135,42825,42900,28240,77039,5
2016.02.29,12:00:00,42895,43355,42830,43335,23033,62962,5
2016.02.29,13:00:00,43340,43640,43340,43505,23692,66996,5
2016.02.29,14:00:00,43505,43560,43365,43475,15676,43327,5
2016.02.29,15:00:00,43480,43625,43355,43555,17778,49991,5
2016.02.29,16:00:00,43555,43565,43180,43260,21601,59551,5
2016.02.29,17:00:00,43255,43380,42955,43300,23962,64449,5
2016.02.29,18:00:00,43310,43330,43220,43260,1086,4027,5
2016.03.01,09:00:00,43780,44135,43745,43940,21173,55338,5
2016.03.01,10:00:00,43945,44085,43865,43970,23049,59527,5
2016.03.01,11:00:00,43970,44040,43640,43935,32207,89416,5
2016.03.01,12:00:00,43940,44275,43790,44170,27622,79304,5
2016.03.01,13:00:00,44175,44535,44100,44480,23827,66860,5
2016.03.01,14:00:00,44475,44675,44345,44475,26645,74227,5
2016.03.01,15:00:00,44480,44680,44440,44590,20339,57615,5
2016.03.01,16:00:00,44590,44760,44505,44575,18420,50524,5
2016.03.01,17:00:00,44575,44715,44510,44700,11661,31307,5
2016.03.01,18:00:00,44705,44780,44645,44780,1076,5546,5
2016.03.02,09:00:00,44750,44915,44695,44830,15616,41349,5
2016.03.02,10:00:00,44825,44950,44470,44640,33013,89594,5
2016.03.02,11:00:00,44635,44685,44330,44630,36209,96811,5
2016.03.02,12:00:00,44635,44975,44545,44900,32796,91030,5
2016.03.02,13:00:00,44900,45300,44830,45195,30878,92244,5
2016.03.02,14:00:00,45195,45220,44935,45205,21345,61937,5
2016.03.02,15:00:00,45205,45380,45065,45245,22469,63399,5
2016.03.02,16:00:00,45240,45525,45085,45360,24110,67197,5
2016.03.02,17:00:00,45360,45440,45130,45370,16567,45867,5
2016.03.02,18:00:00,45380,45400,45340,45350,825,4251,5
2016.03.03,09:00:00,45655,46235,45610,46005,26304,70088,5
2016.03.03,10:00:00,46010,46475,45890,46355,33106,91596,5
2016.03.03,11:00:00,46355,46435,45955,46190,31936,88083,5
2016.03.03,12:00:00,46195,46395,46050,46305,26105,72230,5
2016.03.03,13:00:00,46300,46725,46215,46680,33038,92185,5
2016.03.03,14:00:00,46685,47055,46640,47005,26075,70034,5
2016.03.03,15:00:00,47010,47655,47005,47380,41894,121437,5
2016.03.03,16:00:00,47380,47560,46765,47460,43858,121675,5
2016.03.03,17:00:00,47460,47990,47455,47785,27810,73638,5
2016.03.03,18:00:00,47785,47820,47700,47770,1144,6205,5
2016.03.04,09:00:00,50690,50690,49150,49960,39487,106250,5
2016.03.04,10:00:00,49960,50630,49515,49555,49667,134896,5
2016.03.04,11:00:00,49560,49850,48920,49025,60863,149123,5
2016.03.04,12:00:00,49025,49635,48850,49550,39505,96461,5
2016.03.04,13:00:00,49550,49885,49440,49660,28206,70128,5
2016.03.04,14:00:00,49655,49845,49400,49795,24089,54981,5
2016.03.04,15:00:00,49800,49955,49575,49895,24622,58642,5
2016.03.04,16:00:00,49900,50085,49175,49475,35813,80222,5
2016.03.04,17:00:00,49480,49835,49410,49745,21151,49886,5
2016.03.04,18:00:00,49745,49780,49585,49700,972,5666,5
2016.03.07,09:00:00,49400,50465,49265,50275,32185,74372,5
2016.03.07,10:00:00,50270,50295,49215,49270,47537,113750,5
2016.03.07,11:00:00,49270,49910,49245,49520,52075,125197,5
2016.03.07,12:00:00,49515,49840,49375,49710,36491,85904,5
2016.03.07,13:00:00,49710,50180,49680,50045,30871,78816,5
2016.03.07,14:00:00,50050,50120,49830,49910,20399,50223,5
2016.03.07,15:00:00,49910,49975,49540,49585,22251,56566,5
2016.03.07,16:00:00,49585,49900,49335,49565,27614,68861,5
2016.03.07,17:00:00,49560,49870,49500,49815,16852,42959,5
2016.03.07,18:00:00,49820,49830,49750,49790,675,3815,5
2016.03.08,09:00:00,49300,49660,49130,49575,25992,58746,5
2016.03.08,10:00:00,49580,50495,49435,50335,49445,116644,5
2016.03.08,11:00:00,50335,50370,49515,49535,43225,107938,5
2016.03.08,12:00:00,49535,49900,49470,49515,27288,67281,5
2016.03.08,13:00:00,49510,49740,49405,49520,22251,52332,5
2016.03.08,14:00:00,49510,49795,49465,49735,18729,43613,5
2016.03.08,15:00:00,49735,50040,49585,49995,23558,58449,5
2016.03.08,16:00:00,49990,50170,49805,49925,26844,65533,5
2016.03.08,17:00:00,49930,49945,49600,49735,15573,36703,5
2016.03.08,18:00:00,49735,49780,49650,49760,765,2767,5
2016.03.09,09:00:00,49880,50435,49880,50370,23601,57800,5
2016.03.09,10:00:00,50370,50570,50255,50425,26581,62092,5
2016.03.09,11:00:00,50425,50495,49665,49885,42717,105347,5
2016.03.09,12:00:00,49885,49930,49230,49435,41759,98562,5
2016.03.09,13:00:00,49435,49830,49400,49760,23370,56590,5
2016.03.09,14:00:00,49760,49795,49555,49575,18076,44501,5
2016.03.09,15:00:00,49575,49630,49265,49400,18994,46251,5
2016.03.09,16:00:00,49400,49535,49075,49305,25728,62183,5
2016.03.09,17:00:00,49295,49375,49170,49285,11765,27532,5
2016.03.09,18:00:00,49285,49330,49105,49275,1067,5006,5
2016.03.10,09:00:00,50055,50560,49855,50135,29454,66173,5
2016.03.10,10:00:00,50135,50285,49410,49670,37432,86159,5
2016.03.10,11:00:00,49675,49910,49270,49595,44885,103871,5
2016.03.10,12:00:00,49605,49840,49355,49550,26067,61873,5
2016.03.10,13:00:00,49555,49630,49095,49110,22816,53678,5
2016.03.10,14:00:00,49110,49150,48370,48780,35792,88857,5
2016.03.10,15:00:00,48785,49095,48670,49065,23613,59487,5
2016.03.10,16:00:00,49065,49935,48950,49530,38441,94954,5
2016.03.10,17:00:00,49525,50560,49525,50110,40987,96064,5
2016.03.10,18:00:00,50125,50170,50070,50100,607,3357,5
2016.03.11,09:00:00,50370,50630,49700,50120,27528,61762,5
2016.03.11,10:00:00,50115,50175,49590,49830,34633,81747,5
2016.03.11,11:00:00,49835,50325,49835,50095,39267,94745,5
2016.03.11,12:00:00,50090,50465,50000,50265,26703,69786,5
2016.03.11,13:00:00,50265,50330,49890,50065,22802,59709,5
2016.03.11,14:00:00,50070,50440,49930,50265,24063,62160,5
2016.03.11,15:00:00,50265,50450,50110,50410,19028,49686,5
2016.03.11,16:00:00,50405,50435,49835,49925,26434,65352,5
