<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2016.02.17;08:00:00;41675;42310;41675;42160;37288;95767;5
2016.02.17;12:00:00;42160;43065;42155;43045;87279;236633;5
2016.02.17;16:00:00;43040;43040;41735;42100;66710;183334;5
2016.02.18;08:00:00;41900;42340;41810;42225;66742;163247;5
2016.02.18;12:00:00;42225;42335;41780;42010;82143;214115;5
2016.02.18;16:00:00;42010;42210;41950;42040;25840;65868;5
2016.02.19;08:00:00;41950;41965;41590;41685;46994;120410;5
2016.02.19;12:00:00;41685;42130;41665;41910;76341;209330;5
2016.02.19;16:00:00;41910;42530;41810;42070;40760;108863;5
2016.02.22;08:00:00;43110;43545;42805;43385;70458;182688;5
2016.02.22;12:00:00;43395;43990;43395;43925;73517;192192;5
2016.02.22;16:00:00;43930;44050;43760;43955;29318;79151;5
2016.02.23;08:00:00;43900;44265;43610;43690;78837;201761;5
2016.02.23;12:00:00;43685;43720;43045;43245;71593;188278;5
2016.02.23;16:00:00;43240;43345;42970;43060;27225;69879;5
2016.02.24;08:00:00;42400;42460;41815;41840;64585;161853;5
2016.02.24;12:00:00;41830;42485;41775;42230;78536;200116;5
2016.02.24;16:00:00;42230;42800;42200;42700;36543;91463;5
2016.02.25;08:00:00;42600;42945;42105;42475;76717;193952;5
2016.02.25;12:00:00;42475;42525;42000;42440;74274;188579;5
2016.02.25;16:00:00;42440;42565;42275;42490;29483;75664;5
2016.02.26;08:00:00;42955;43195;42445;42460;69046;176189;5
2016.02.26;12:00:00;42460;42500;41960;42030;73345;193087;5
2016.02.26;16:00:00;42025;42265;41915;42030;25340;72631;5
2016.02.29;08:00:00;42205;43135;42145;42900;67008;175859;5
2016.02.29;12:00:00;42895;43640;42830;43555;80179;223276;5
2016.02.29;16:00:00;43555;43565;42955;43260;46649;128027;5
2016.03.01;08:00:00;43780;44135;43640;43935;76429;204281;5
2016.03.01;12:00:00;43940;44680;43790;44590;98433;278006;5
2016.03.01;16:00:00;44590;44780;44505;44780;31157;87377;5
2016.03.02;08:00:00;44750;44950;44330;44630;84838;227754;5
2016.03.02;12:00:00;44635;45380;44545;45245;107488;308610;5
2016.03.02;16:00:00;45240;45525;45085;45350;41502;117315;5
2016.03.03;08:00:00;45655;46475;45610;46190;91346;249767;5
2016.03.03;12:00:00;46195;47655;46050;47380;127112;355886;5
2016.03.03;16:00:00;47380;47990;46765;47770;72812;201518;5
2016.03.04;08:00:00;50690;50690;48920;49025;150017;390269;5
2016.03.04;12:00:00;49025;49955;48850;49895;116422;280212;5
2016.03.04;16:00:00;49900;50085;49175;49700;57936;135774;5
2016.03.07;08:00:00;49400;50465;49215;49520;131797;313319;5
2016.03.07;12:00:00;49515;50180;49375;49585;110012;271509;5
2016.03.07;16:00:00;49585;49900;49335;49790;45141;115635;5
2016.03.08;08:00:00;49300;50495;49130;49535;118662;283328;5
2016.03.08;12:00:00;49535;50040;49405;49995;91826;221675;5
2016.03.08;16:00:00;49990;50170;49600;49760;43182;105003;5
2016.03.09;08:00:00;49880;50570;49665;49885;92899;225239;5
2016.03.09;12:00:00;49885;49930;49230;49400;102199;245904;5
2016.03.09;16:00:00;49400;49535;49075;49275;38560;94721;5
2016.03.10;08:00:00;50055;50560;49270;49595;111771;256203;5
2016.03.10;12:00:00;49605;49840;48370;49065;108288;263895;5
2016.03.10;16:00:00;49065;50560;48950;50100;80035;194375;5
2016.03.11;08:00:00;50370;50630;49590;50095;101428;238254;5
2016.03.11;12:00:00;50090;50465;49890;50410;92596;241341;5
2016.03.11;16:00:00;50405;50435;49835;50100;44432;112744;5
2016.03.14;08:00:00;50235;50970;49530;50045;110414;250287;5
2016.03.14;12:00:00;50045;50375;49800;50015;89407;214008;5
2016.03.14;16:00:00;50020;50235;48715;48800;62726;146187;5
2016.03.15;08:00:00;47870;48450;47255;47365;127031;297992;5
2016.03.15;12:00:00;47365;47800;47050;47540;118174;269904;5
2016.03.15;16:00:00;47545;47620;47240;47610;24039;59214;5
2016.03.16;08:00:00;47565;47580;46805;47195;112418;251496;5
2016.03.16;12:00:00;47190;48180;46910;47820;106524;265555;5
2016.03.16;16:00:00;47825;48630;47765;48560;42902;103479;5
2016.03.17;08:00:00;50500;51165;49815;50875;145339;334548;5
2016.03.17;12:00:00;50875;51730;50820;51220;112470;256069;5
2016.03.17;16:00:00;51220;51800;51205;51800;38635;92627;5
2016.03.18;08:00:00;51600;51920;50725;50950;86262;188741;5
2016.03.18;12:00:00;50950;51355;50555;50990;77025;173430;5
2016.03.18;16:00:00;50980;51300;50560;51030;39984;95241;5
2016.03.21;08:00:00;51200;51745;51080;51300;78012;174536;5
2016.03.21;12:00:00;51305;51645;51155;51625;64334;148798;5
2016.03.21;16:00:00;51625;51760;51465;51500;27009;64112;5
2016.03.22;08:00:00;50920;51580;50845;51320;83121;179033;5
2016.03.22;12:00:00;51320;51600;51160;51360;62479;138107;5
2016.03.22;16:00:00;51355;51600;51220;51600;24146;57230;5
2016.03.23;08:00:00;51275;51275;50115;50155;81555;186780;5
2016.03.23;12:00:00;50150;50165;49805;49845;72350;172834;5
2016.03.23;16:00:00;49845;50045;49580;49580;31081;79336;5
2016.03.24;08:00:00;49075;49530;48985;49530;68766;156946;5
2016.03.24;12:00:00;49530;49950;49320;49900;62921;145278;5
2016.03.24;16:00:00;49900;50080;49720;50050;20345;49254;5
2016.03.28;08:00:00;50430;51195;50400;50875;70050;162234;5
2016.03.28;12:00:00;50870;51440;50635;51325;64250;152985;5
2016.03.28;16:00:00;51315;51355;51100;51290;21392;51728;5
2016.03.29;08:00:00;51310;51615;50585;51040;81155;176523;5
2016.03.29;12:00:00;51050;52060;50935;51380;104249;234572;5
2016.03.29;16:00:00;51375;51620;51220;51430;30334;72930;5
2016.03.30;08:00:00;51955;52450;51600;52410;92655;218109;5
2016.03.30;12:00:00;52405;52515;51255;51390;95281;236913;5
2016.03.30;16:00:00;51385;51550;51080;51310;40006;101726;5
2016.03.31;08:00:00;51100;51140;50295;50495;91557;220380;5
2016.03.31;12:00:00;50495;50640;49950;50055;68308;164069;5
2016.03.31;16:00:00;50060;50340;49765;50310;37338;95053;5
2016.04.01;08:00:00;49945;50390;49425;50145;92384;219488;5
2016.04.01;12:00:00;50155;50960;50130;50805;77263;187713;5
2016.04.01;16:00:00;50800;50900;50640;50700;30149;75980;5
2016.04.04;08:00:00;50440;50480;49680;49795;83314;199059;5
2016.04.04;12:00:00;49795;49805;48705;48815;71631;179355;5
2016.04.04;16:00:00;48815;48910;48535;48535;23150;60637;5
2016.04.05;08:00:00;48255;48900;48130;48790;90707;222959;5
2016.04.05;12:00:00;48790;49785;48750;49430;104271;274386;5
2016.04.05;16:00:00;49435;49485;48800;48905;29625;80366;5
