<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2016.02.17;09:00:00;41675;42000;41675;41950;3103;8558;5
2016.02.17;09:15:00;41960;42045;41930;41985;2539;6112;5
2016.02.17;09:30:00;41985;42015;41915;41935;2196;5403;5
2016.02.17;09:45:00;41940;42025;41930;41990;1999;5124;5
2016.02.17;10:00:00;41995;42120;41880;42115;5777;13803;5
2016.02.17;10:15:00;42115;42190;42070;42160;3119;8492;5
2016.02.17;10:30:00;42170;42310;42155;42285;3369;9232;5
2016.02.17;10:45:00;42285;42300;42220;42250;2354;6066;5
2016.02.17;11:00:00;42255;42255;42175;42190;2762;7217;5
2016.02.17;11:15:00;42200;42240;42085;42130;3952;9946;5
2016.02.17;11:30:00;42130;42195;42075;42190;3091;7792;5
2016.02.17;11:45:00;42185;42215;42135;42160;3027;8022;5
2016.02.17;12:00:00;42160;42265;42155;42235;3655;9767;5
2016.02.17;12:15:00;42235;42280;42220;42270;2980;7885;5
2016.02.17;12:30:00;42275;42390;42165;42320;9540;24533;5
2016.02.17;12:45:00;42325;42425;42275;42360;5951;14955;5
2016.02.17;13:00:00;42365;42460;42305;42435;5422;13763;5
2016.02.17;13:15:00;42430;42485;42385;42415;5231;13578;5
2016.02.17;13:30:00;42415;42475;42390;42470;3688;10784;5
2016.02.17;13:45:00;42465;42485;42405;42420;5009;13141;5
2016.02.17;14:00:00;42420;42425;42340;42385;5348;14177;5
2016.02.17;14:15:00;42385;42535;42370;42520;4897;13462;5
2016.02.17;14:30:00;42520;42610;42495;42570;4941;13830;5
2016.02.17;14:45:00;42570;42715;42505;42710;5600;15473;5
2016.02.17;15:00:00;42710;42870;42710;42805;8187;22980;5
2016.02.17;15:15:00;42805;42980;42760;42930;7590;21488;5
2016.02.17;15:30:00;42935;43040;42915;43020;4869;14145;5
2016.02.17;15:45:00;43025;43065;42950;43045;4371;12672;5
2016.02.17;16:00:00;43040;43040;42790;42830;5566;16074;5
2016.02.17;16:15:00;42825;42845;42610;42700;5967;16959;5
2016.02.17;16:30:00;42705;42715;41735;42060;22579;62410;5
2016.02.17;16:45:00;42065;42355;42065;42310;10738;28788;5
2016.02.17;17:00:00;42325;42590;42245;42525;7903;20373;5
2016.02.17;17:15:00;42530;42590;42275;42285;6259;16510;5
2016.02.17;17:30:00;42290;42385;42125;42335;4810;12830;5
2016.02.17;17:45:00;42340;42360;42165;42240;2105;6522;5
2016.02.17;18:00:00;42245;42280;42070;42100;783;2868;5
2016.02.18;09:00:00;41900;42220;41870;42080;4201;10305;5
2016.02.18;09:15:00;42085;42310;42070;42255;4667;10396;5
2016.02.18;09:30:00;42260;42340;42205;42230;4045;9572;5
2016.02.18;09:45:00;42230;42245;41980;42025;5801;13344;5
2016.02.18;10:00:00;42020;42175;41930;42010;7507;18471;5
2016.02.18;10:15:00;42005;42315;41950;42145;7377;17309;5
2016.02.18;10:30:00;42140;42200;41840;41955;8527;21320;5
2016.02.18;10:45:00;41960;42085;41900;41950;4575;10911;5
2016.02.18;11:00:00;41950;41980;41810;41925;6023;14777;5
2016.02.18;11:15:00;41930;42130;41880;42030;3975;9974;5
2016.02.18;11:30:00;42030;42220;42030;42145;4964;13579;5
2016.02.18;11:45:00;42145;42275;42055;42225;5080;13289;5
2016.02.18;12:00:00;42225;42300;42140;42165;4342;11299;5
2016.02.18;12:15:00;42165;42295;42140;42280;3010;9216;5
2016.02.18;12:30:00;42285;42335;42070;42085;11030;29482;5
2016.02.18;12:45:00;42085;42230;41975;42185;6401;16940;5
2016.02.18;13:00:00;42175;42175;42025;42065;4692;12614;5
2016.02.18;13:15:00;42070;42260;42025;42250;4558;11446;5
2016.02.18;13:30:00;42250;42280;42090;42140;4541;12652;5
2016.02.18;13:45:00;42140;42180;42030;42075;3825;10028;5
2016.02.18;14:00:00;42075;42075;41825;41930;9116;22526;5
2016.02.18;14:15:00;41925;41980;41780;41880;7359;19600;5
2016.02.18;14:30:00;41890;41980;41825;41965;4235;10579;5
2016.02.18;14:45:00;41960;41980;41850;41935;3713;9900;5
2016.02.18;15:00:00;41940;42030;41920;41980;3465;8523;5
2016.02.18;15:15:00;41975;42090;41945;42045;3868;9712;5
2016.02.18;15:30:00;42045;42135;42025;42055;4246;10727;5
2016.02.18;15:45:00;42055;42110;41980;42010;3742;8871;5
2016.02.18;16:00:00;42010;42130;42005;42075;2821;7639;5
2016.02.18;16:15:00;42075;42125;42045;42120;1992;4749;5
2016.02.18;16:30:00;42115;42180;42090;42095;3240;8514;5
2016.02.18;16:45:00;42095;42120;42005;42025;3603;9077;5
2016.02.18;17:00:00;42020;42065;41955;42015;3390;8482;5
2016.02.18;17:15:00;42020;42020;41950;42015;2345;5247;5
2016.02.18;17:30:00;42010;42145;42005;42085;4729;11134;5
2016.02.18;17:45:00;42085;42210;42065;42155;2586;6505;5
2016.02.18;18:00:00;42155;42190;42040;42040;1134;4521;5
2016.02.19;09:00:00;41950;41965;41810;41880;2819;7579;5
2016.02.19;09:15:00;41875;41890;41790;41890;3400;8146;5
2016.02.19;09:30:00;41885;41925;41825;41840;3132;7338;5
2016.02.19;09:45:00;41840;41850;41710;41790;4601;10920;5
2016.02.19;10:00:00;41780;41795;41590;41710;5047;13748;5
2016.02.19;10:15:00;41715;41750;41600;41725;4586;12397;5
2016.02.19;10:30:00;41730;41810;41690;41790;4018;10312;5
2016.02.19;10:45:00;41790;41840;41710;41815;3571;8998;5
2016.02.19;11:00:00;41815;41885;41785;41800;4176;10550;5
2016.02.19;11:15:00;41810;41845;41720;41750;3744;9645;5
2016.02.19;11:30:00;41750;41770;41690;41750;3431;8483;5
2016.02.19;11:45:00;41750;41760;41630;41685;4469;12294;5
2016.02.19;12:00:00;41685;41775;41665;41770;3537;9232;5
2016.02.19;12:15:00;41765;41825;41710;41790;3548;9831;5
2016.02.19;12:30:00;41790;41865;41675;41845;8072;22072;5
2016.02.19;12:45:00;41850;41930;41825;41835;6503;18641;5
2016.02.19;13:00:00;41835;41835;41720;41795;5784;15337;5
2016.02.19;13:15:00;41800;41925;41775;41895;4537;11921;5
2016.02.19;13:30:00;41895;41975;41830;41860;4737;13050;5
2016.02.19;13:45:00;41855;41890;41765;41775;4879;13595;5
2016.02.19;14:00:00;41775;41905;41755;41885;4423;11875;5
2016.02.19;14:15:00;41885;42040;41870;42005;6496;18435;5
2016.02.19;14:30:00;42005;42115;41950;42060;5897;16305;5
2016.02.19;14:45:00;42065;42130;41980;42090;4377;11825;5
2016.02.19;15:00:00;42085;42100;41970;42020;3184;8396;5
2016.02.19;15:15:00;42020;42050;41905;41940;3306;8790;5
2016.02.19;15:30:00;41935;41990;41890;41925;3669;10103;5
2016.02.19;15:45:00;41925;41960;41855;41910;3392;9922;5
2016.02.19;16:00:00;41910;41935;41820;41840;3869;11210;5
2016.02.19;16:15:00;41845;41890;41810;41875;2800;8028;5
2016.02.19;16:30:00;41875;41935;41825;41890;3041;8231;5
2016.02.19;16:45:00;41890;41945;41870;41940;2036;5243;5
2016.02.19;17:00:00;41940;42530;41940;42100;15294;39951;5
2016.02.19;17:15:00;42100;42215;41980;42155;6180;15957;5
2016.02.19;17:30:00;42160;42200;42060;42100;4006;9886;5
2016.02.19;17:45:00;42110;42250;42085;42175;2718;6713;5
2016.02.19;18:00:00;42190;42190;42070;42070;816;3644;5
2016.02.22;09:00:00;43110;43125;42805;42980;4827;13879;5
2016.02.22;09:15:00;42975;43280;42955;43255;6502;16792;5
2016.02.22;09:30:00;43260;43300;43195;43210;4090;9886;5
2016.02.22;09:45:00;43210;43365;43185;43320;3655;9750;5
2016.02.22;10:00:00;43320;43470;43215;43250;9549;24730;5
2016.02.22;10:15:00;43255;43300;43135;43145;5751;15437;5
2016.02.22;10:30:00;43140;43365;43135;43360;5888;14996;5
2016.02.22;10:45:00;43355;43360;43260;43295;3808;9869;5
2016.02.22;11:00:00;43290;43380;43245;43305;4639;11755;5
2016.02.22;11:15:00;43300;43350;43290;43340;2732;6341;5
2016.02.22;11:30:00;43335;43545;43215;43425;13570;36268;5
2016.02.22;11:45:00;43420;43515;43380;43385;5447;12985;5
2016.02.22;12:00:00;43395;43535;43395;43480;5540;14160;5
2016.02.22;12:15:00;43480;43575;43470;43485;5378;13515;5
2016.02.22;12:30:00;43485;43600;43445;43600;5223;14062;5
2016.02.22;12:45:00;43595;43655;43540;43590;4023;10944;5
2016.02.22;13:00:00;43590;43650;43515;43520;4230;10389;5
2016.02.22;13:15:00;43515;43550;43475;43525;3469;8977;5
2016.02.22;13:30:00;43530;43665;43495;43520;5662;14429;5
2016.02.22;13:45:00;43515;43640;43510;43595;3232;7894;5
2016.02.22;14:00:00;43595;43650;43570;43610;2858;6931;5
2016.02.22;14:15:00;43615;43685;43595;43670;3463;9172;5
2016.02.22;14:30:00;43675;43770;43665;43760;5281;14530;5
2016.02.22;14:45:00;43760;43815;43720;43780;4379;11438;5
2016.02.22;15:00:00;43780;43945;43755;43930;6003;16451;5
2016.02.22;15:15:00;43925;43960;43825;43830;4578;12168;5
2016.02.22;15:30:00;43835;43990;43810;43965;5629;14899;5
2016.02.22;15:45:00;43970;43985;43855;43925;4569;12233;5
2016.02.22;16:00:00;43930;43950;43870;43930;3523;9145;5
2016.02.22;16:15:00;43925;43940;43815;43870;3666;9626;5
2016.02.22;16:30:00;43865;43965;43865;43910;3722;9622;5
2016.02.22;16:45:00;43910;43930;43830;43840;2811;7129;5
2016.02.22;17:00:00;43835;43840;43780;43805;2869;8531;5
2016.02.22;17:15:00;43800;43885;43760;43840;4209;9951;5
2016.02.22;17:30:00;43845;43935;43825;43915;3061;6741;5
2016.02.22;17:45:00;43920;44050;43915;44000;4274;12774;5
2016.02.22;18:00:00;44015;44015;43900;43955;1183;5632;5
2016.02.23;09:00:00;43900;43900;43650;43715;3317;8562;5
2016.02.23;09:15:00;43720;43815;43710;43790;2686;6574;5
2016.02.23;09:30:00;43795;43855;43720;43835;3716;8602;5
2016.02.23;09:45:00;43835;43885;43760;43775;2992;6699;5
2016.02.23;10:00:00;43780;43800;43610;43705;6385;16267;5
2016.02.23;10:15:00;43705;43845;43630;43810;5422;13428;5
2016.02.23;10:30:00;43810;44265;43805;44225;14707;39096;5
2016.02.23;10:45:00;44215;44220;43950;44015;8545;22901;5
2016.02.23;11:00:00;44010;44060;43690;43785;8807;23516;5
2016.02.23;11:15:00;43780;43870;43725;43770;6079;15819;5
2016.02.23;11:30:00;43770;43855;43655;43725;9723;23856;5
2016.02.23;11:45:00;43730;43790;43615;43690;6458;16441;5
2016.02.23;12:00:00;43685;43720;43465;43470;7333;18704;5
2016.02.23;12:15:00;43470;43495;43390;43485;6440;17166;5
2016.02.23;12:30:00;43485;43575;43425;43440;4612;11891;5
2016.02.23;12:45:00;43440;43440;43285;43320;6308;17000;5
2016.02.23;13:00:00;43320;43385;43255;43290;5767;15010;5
2016.02.23;13:15:00;43290;43360;43250;43285;3490;9538;5
2016.02.23;13:30:00;43285;43415;43225;43400;4050;10624;5
2016.02.23;13:45:00;43395;43425;43275;43285;2889;7764;5
2016.02.23;14:00:00;43280;43320;43045;43080;6989;19758;5
2016.02.23;14:15:00;43080;43165;43060;43150;4034;10768;5
2016.02.23;14:30:00;43145;43175;43060;43135;2536;6525;5
2016.02.23;14:45:00;43125;43155;43045;43110;3108;7500;5
2016.02.23;15:00:00;43110;43190;43100;43165;2345;5611;5
2016.02.23;15:15:00;43165;43260;43115;43230;4217;11055;5
2016.02.23;15:30:00;43230;43275;43145;43175;4710;12356;5
2016.02.23;15:45:00;43175;43265;43150;43245;2765;7008;5
2016.02.23;16:00:00;43240;43325;43230;43305;3848;9616;5
2016.02.23;16:15:00;43310;43345;43225;43230;3899;9934;5
2016.02.23;16:30:00;43230;43275;43200;43235;3055;7679;5
2016.02.23;16:45:00;43240;43240;43135;43150;3389;8683;5
2016.02.23;17:00:00;43155;43165;43020;43035;3174;8077;5
2016.02.23;17:15:00;43035;43095;42970;43065;3172;8041;5
2016.02.23;17:30:00;43065;43160;43020;43115;3291;7954;5
