Date,Time,Open,High,Low,Close,Ticks,Volume,Spread
2016.02.17,09:00:00,41675,42045,41675,41985,5642,14670,5
2016.02.17,09:30:00,41985,42025,41915,41990,4195,10527,5
2016.02.17,10:00:00,41995,42190,41880,42160,8896,22295,5
2016.02.17,10:30:00,42170,42310,42155,42250,5723,15298,5
2016.02.17,11:00:00,42255,42255,42085,42130,6714,17163,5
2016.02.17,11:30:00,42130,42215,42075,42160,6118,15814,5
2016.02.17,12:00:00,42160,42280,42155,42270,6635,17652,5
2016.02.17,12:30:00,42275,42425,42165,42360,15491,39488,5
2016.02.17,13:00:00,42365,42485,42305,42415,10653,27341,5
2016.02.17,13:30:00,42415,42485,42390,42420,8697,23925,5
2016.02.17,14:00:00,42420,42535,42340,42520,10245,27639,5
2016.02.17,14:30:00,42520,42715,42495,42710,10541,29303,5
2016.02.17,15:00:00,42710,42980,42710,42930,15777,44468,5
2016.02.17,15:30:00,42935,43065,42915,43045,9240,26817,5
2016.02.17,16:00:00,43040,43040,42610,42700,11533,33033,5
2016.02.17,16:30:00,42705,42715,41735,42310,33317,91198,5
2016.02.17,17:00:00,42325,42590,42245,42285,14162,36883,5
2016.02.17,17:30:00,42290,42385,42125,42240,6915,19352,5
2016.02.17,18:00:00,42245,42280,42070,42100,783,2868,5
2016.02.18,09:00:00,41900,42310,41870,42255,8868,20701,5
2016.02.18,09:30:00,42260,42340,41980,42025,9846,22916,5
2016.02.18,10:00:00,42020,42315,41930,42145,14884,35780,5
2016.02.18,10:30:00,42140,42200,41840,41950,13102,32231,5
2016.02.18,11:00:00,41950,42130,41810,42030,9998,24751,5
2016.02.18,11:30:00,42030,42275,42030,42225,10044,26868,5
2016.02.18,12:00:00,42225,42300,42140,42280,7352,20515,5
2016.02.18,12:30:00,42285,42335,41975,42185,17431,46422,5
2016.02.18,13:00:00,42175,42260,42025,42250,9250,24060,5
2016.02.18,13:30:00,42250,42280,42030,42075,8366,22680,5
2016.02.18,14:00:00,42075,42075,41780,41880,16475,42126,5
2016.02.18,14:30:00,41890,41980,41825,41935,7948,20479,5
2016.02.18,15:00:00,41940,42090,41920,42045,7333,18235,5
2016.02.18,15:30:00,42045,42135,41980,42010,7988,19598,5
2016.02.18,16:00:00,42010,42130,42005,42120,4813,12388,5
2016.02.18,16:30:00,42115,42180,42005,42025,6843,17591,5
2016.02.18,17:00:00,42020,42065,41950,42015,5735,13729,5
2016.02.18,17:30:00,42010,42210,42005,42155,7315,17639,5
2016.02.18,18:00:00,42155,42190,42040,42040,1134,4521,5
2016.02.19,09:00:00,41950,41965,41790,41890,6219,15725,5
2016.02.19,09:30:00,41885,41925,41710,41790,7733,18258,5
2016.02.19,10:00:00,41780,41795,41590,41725,9633,26145,5
2016.02.19,10:30:00,41730,41840,41690,41815,7589,19310,5
2016.02.19,11:00:00,41815,41885,41720,41750,7920,20195,5
2016.02.19,11:30:00,41750,41770,41630,41685,7900,20777,5
2016.02.19,12:00:00,41685,41825,41665,41790,7085,19063,5
2016.02.19,12:30:00,41790,41930,41675,41835,14575,40713,5
2016.02.19,13:00:00,41835,41925,41720,41895,10321,27258,5
2016.02.19,13:30:00,41895,41975,41765,41775,9616,26645,5
2016.02.19,14:00:00,41775,42040,41755,42005,10919,30310,5
2016.02.19,14:30:00,42005,42130,41950,42090,10274,28130,5
2016.02.19,15:00:00,42085,42100,41905,41940,6490,17186,5
2016.02.19,15:30:00,41935,41990,41855,41910,7061,20025,5
2016.02.19,16:00:00,41910,41935,41810,41875,6669,19238,5
2016.02.19,16:30:00,41875,41945,41825,41940,5077,13474,5
2016.02.19,17:00:00,41940,42530,41940,42155,21474,55908,5
2016.02.19,17:30:00,42160,42250,42060,42175,6724,16599,5
2016.02.19,18:00:00,42190,42190,42070,42070,816,3644,5
2016.02.22,09:00:00,43110,43280,42805,43255,11329,30671,5
2016.02.22,09:30:00,43260,43365,43185,43320,7745,19636,5
2016.02.22,10:00:00,43320,43470,43135,43145,15300,40167,5
2016.02.22,10:30:00,43140,43365,43135,43295,9696,24865,5
2016.02.22,11:00:00,43290,43380,43245,43340,7371,18096,5
2016.02.22,11:30:00,43335,43545,43215,43385,19017,49253,5
2016.02.22,12:00:00,43395,43575,43395,43485,10918,27675,5
2016.02.22,12:30:00,43485,43655,43445,43590,9246,25006,5
2016.02.22,13:00:00,43590,43650,43475,43525,7699,19366,5
2016.02.22,13:30:00,43530,43665,43495,43595,8894,22323,5
2016.02.22,14:00:00,43595,43685,43570,43670,6321,16103,5
2016.02.22,14:30:00,43675,43815,43665,43780,9660,25968,5
2016.02.22,15:00:00,43780,43960,43755,43830,10581,28619,5
2016.02.22,15:30:00,43835,43990,43810,43925,10198,27132,5
2016.02.22,16:00:00,43930,43950,43815,43870,7189,18771,5
2016.02.22,16:30:00,43865,43965,43830,43840,6533,16751,5
2016.02.22,17:00:00,43835,43885,43760,43840,7078,18482,5
2016.02.22,17:30:00,43845,44050,43825,44000,7335,19515,5
2016.02.22,18:00:00,44015,44015,43900,43955,1183,5632,5
2016.02.23,09:00:00,43900,43900,43650,43790,6003,15136,5
2016.02.23,09:30:00,43795,43885,43720,43775,6708,15301,5
2016.02.23,10:00:00,43780,43845,43610,43810,11807,29695,5
2016.02.23,10:30:00,43810,44265,43805,44015,23252,61997,5
2016.02.23,11:00:00,44010,44060,43690,43770,14886,39335,5
2016.02.23,11:30:00,43770,43855,43615,43690,16181,40297,5
2016.02.23,12:00:00,43685,43720,43390,43485,13773,35870,5
2016.02.23,12:30:00,43485,43575,43285,43320,10920,28891,5
2016.02.23,13:00:00,43320,43385,43250,43285,9257,24548,5
2016.02.23,13:30:00,43285,43425,43225,43285,6939,18388,5
2016.02.23,14:00:00,43280,43320,43045,43150,11023,30526,5
2016.02.23,14:30:00,43145,43175,43045,43110,5644,14025,5
2016.02.23,15:00:00,43110,43260,43100,43230,6562,16666,5
2016.02.23,15:30:00,43230,43275,43145,43245,7475,19364,5
2016.02.23,16:00:00,43240,43345,43225,43230,7747,19550,5
2016.02.23,16:30:00,43230,43275,43135,43150,6444,16362,5
2016.02.23,17:00:00,43155,43165,42970,43065,6346,16118,5
2016.02.23,17:30:00,43065,43160,42980,43040,5836,14011,5
2016.02.23,18:00:00,43035,43125,43030,43060,852,3838,5
2016.02.24,09:00:00,42400,42460,41990,42155,11241,29902,5
2016.02.24,09:30:00,42150,42285,42085,42270,6968,16981,5
2016.02.24,10:00:00,42270,42345,42175,42250,10430,25375,5
2016.02.24,10:30:00,42250,42325,42105,42160,11383,28648,5
2016.02.24,11:00:00,42155,42165,42015,42150,7798,20019,5
2016.02.24,11:30:00,42150,42155,41815,41840,16765,40928,5
2016.02.24,12:00:00,41830,41990,41775,41950,11069,26729,5
2016.02.24,12:30:00,41955,42125,41870,42005,12689,31901,5
2016.02.24,13:00:00,42005,42045,41905,41930,6920,16914,5
2016.02.24,13:30:00,41925,42190,41915,42165,8977,23462,5
2016.02.24,14:00:00,42170,42360,42150,42245,10996,29938,5
2016.02.24,14:30:00,42240,42355,42165,42275,8460,22288,5
2016.02.24,15:00:00,42275,42485,42275,42365,11065,28388,5
2016.02.24,15:30:00,42365,42375,42220,42230,8360,20496,5
2016.02.24,16:00:00,42230,42440,42200,42390,9828,24726,5
2016.02.24,16:30:00,42390,42455,42360,42380,5700,14560,5
2016.02.24,17:00:00,42385,42700,42300,42655,9771,23012,5
2016.02.24,17:30:00,42660,42800,42580,42665,10315,25703,5
2016.02.24,18:00:00,42675,42740,42635,42700,929,3462,5
2016.02.25,09:00:00,42600,42675,42140,42200,10030,24872,5
2016.02.25,09:30:00,42200,42390,42165,42245,9095,21162,5
2016.02.25,10:00:00,42245,42480,42105,42460,13937,35394,5
2016.02.25,10:30:00,42465,42700,42355,42660,12399,32990,5
2016.02.25,11:00:00,42655,42945,42615,42705,15531,41163,5
