Date,Open,High,Low,Close,Ticks,Volume,Spread
2016.02.14,41675,43065,41590,42070,530097,1397567,5
2016.02.21,43110,44265,41775,42030,878817,2267483,5
2016.02.28,42205,50690,42145,49700,1249328,3363931,5
2016.03.06,49400,50630,48370,50100,1312828,3183145,5
2016.03.13,50235,51920,46805,51030,1293350,2998778,5
2016.03.20,51200,51760,48985,50050,676119,1552244,5
2016.03.27,50430,52515,49425,50700,996371,2370403,5
2016.04.03,50440,50580,47930,50510,962968,2363763,5
2016.04.10,50600,54925,50055,54185,1059303,2514736,5
2016.04.17,54855,55055,53215,53950,678651,1546616,5
2016.04.24,53775,55850,52550,54550,893622,2088059,5
2016.05.01,54800,54990,51765,52385,927654,2182864,5
2016.05.08,52485,54740,50120,51880,1200026,2874098,5
2016.05.15,52295,52855,49955,50140,1058487,2509991,5
2016.05.22,49320,50720,48955,49490,748571,1790596,5
2016.05.29,49585,50895,48225,50720,878325,2201139,5
2016.06.05,51025,51960,49265,49265,1031483,2689915,5
2016.06.12,49000,51225,48195,50555,1133276,2940922,5
2016.06.19,51530,53065,49915,50645,1133439,2973885,5
2016.06.26,50390,53230,49785,53070,1035643,2647000,5
2016.07.03,53355,53955,51520,53860,985774,2564673,5
2016.07.10,53955,56275,53950,55800,1016835,2788980,5
2016.07.17,55935,57685,55855,57440,1037411,2874357,5
2016.07.24,57360,57850,56315,57845,1031881,2908141,5
2016.07.31,57560,58330,55970,57820,1177703,3328127,5
2016.08.07,57935,58815,56820,58180,1038080,2982208,5
2016.08.14,58300,60610,58295,60300,1074427,3022780,5
2016.08.21,59875,59950,58080,58750,1157313,3260624,5
2016.08.28,58665,60560,58260,60410,1124521,3088256,5
2016.09.04,60405,61050,58145,58200,797989,2227632,5
2016.09.11,57820,59260,57005,57700,1342528,3595056,5
2016.09.18,58160,59920,57545,59050,1040418,2933935,5
2016.09.25,58550,59890,57685,58570,1111377,3225698,5
2016.10.02,58805,61405,58530,61280,1145934,3336084,5
2016.10.09,61450,63315,60900,63175,822831,2424274,5
2016.10.16,62950,65545,62905,65150,1268551,3833190,5
2016.10.23,65560,65810,64065,65280,1425927,4246492,5
2016.10.30,65235,66320,62250,62435,1275416,3877469,5
2016.11.06,63665,65620,59405,59900,2088869,5850016,5
